retention_minutes,abs_254nm,abs_280nm
0.003533333,1.475811005,1.691818237
0.0102,1.551628113,1.760482788
0.016866667,1.482486725,1.708507538
0.023533333,1.287937164,1.548290253
0.0302,0.978946686,1.283168793
0.036866667,0.56552887,0.924110413
0.043533333,0.127792358,0.539779663
0.0502,-0.231742859,0.217914581
0.056866667,-0.444889069,0.018119812
0.063533333,-0.521659851,-0.056743622
0.0702,-0.492095947,-0.021457672
0.076866667,-0.386714935,0.099182129
0.083533333,-0.250339508,0.259399414
0.0902,-0.121116638,0.413894653
0.096866667,-0.027656555,0.527858734
0.103533333,0.005722046,0.573635101
0.1102,-0.036239624,0.531673431
0.116866667,-0.148296356,0.40769577
0.123533333,-0.299453735,0.23651123
0.1302,-0.44965744,0.064373016
0.136866667,-0.575065613,-0.078201294
0.143533333,-0.667572021,-0.183582306
0.1502,-0.730991364,-0.25510788
0.156866667,-0.773429871,-0.301361084
0.163533333,-0.801563263,-0.330448151
0.1702,-0.821113586,-0.3490448
0.176866667,-0.835895538,-0.36239624
0.183533333,-0.847816467,-0.371932983
0.1902,-0.856876373,-0.379085541
0.196866667,-0.864028931,-0.385761261
0.203533333,-0.869750977,-0.391960144
0.2102,-0.874996185,-0.396251678
0.216866667,-0.879764557,-0.400543213
0.223533333,-0.884056091,-0.404834747
0.2302,-0.887870789,-0.409126282
0.236866667,-0.891208649,-0.413417816
0.243533333,-0.894546509,-0.417232513
0.2502,-0.897407532,-0.421524048
0.256866667,-0.899791718,-0.424861908
0.263533333,-0.901699066,-0.428199768
0.2702,-0.904083252,-0.431060791
0.276866667,-0.906467438,-0.433921814
0.283533333,-0.908851624,-0.436782837
0.2902,-0.910758972,-0.43964386
0.296866667,-0.912189484,-0.442028046
0.303533333,-0.913619995,-0.443935394
0.3102,-0.914096832,-0.445365906
0.316866667,-0.914573669,-0.44631958
0.323533333,-0.914573669,-0.447750092
0.3302,-0.915527344,-0.44965744
0.336866667,-0.916481018,-0.452041626
0.343533333,-0.917434692,-0.454902649
0.3502,-0.918388367,-0.457286835
0.356866667,-0.919342041,-0.458717346
0.363533333,-0.920772552,-0.460147858
0.3702,-0.92124939,-0.461578369
0.376866667,-0.922203064,-0.462532043
0.383533333,-0.922679901,-0.463962555
0.3902,-0.923633575,-0.465869904
0.396866667,-0.924110413,-0.467777252
0.403533333,-0.92458725,-0.469684601
0.4102,-0.924110413,-0.471591949
0.416866667,-0.924110413,-0.473022461
0.423533333,-0.923633575,-0.473499298
0.4302,-0.923633575,-0.473976135
0.436866667,-0.92458725,-0.47492981
0.443533333,-0.925540924,-0.476837158
0.4502,-0.926971436,-0.478744507
0.456866667,-0.928401947,-0.480651855
0.463533333,-0.929832458,-0.482559204
0.4702,-0.931739807,-0.485420227
0.476866667,-0.933170319,-0.487804413
0.483533333,-0.933647156,-0.489234924
0.4902,-0.93460083,-0.490188599
0.496866667,-0.93460083,-0.49161911
0.503533333,-0.935077667,-0.492572784
0.5102,-0.935554504,-0.493526459
0.516866667,-0.936508179,-0.493526459
0.523533333,-0.938415527,-0.494003296
0.5302,-0.939846039,-0.49495697
0.536866667,-0.941753387,-0.496387482
0.543533333,-0.943660736,-0.497817993
0.5502,-0.945568085,-0.500679016
0.556866667,-0.946998596,-0.503540039
0.563533333,-0.947952271,-0.505447388
0.5702,-0.948429108,-0.506877899
0.576866667,-0.948905945,-0.508308411
0.583533333,-0.949859619,-0.509738922
0.5902,-0.950813293,-0.510215759
0.596866667,-0.951290131,-0.510692596
0.603533333,-0.952720642,-0.511646271
0.6102,-0.953674316,-0.513553619
0.616866667,-0.954627991,-0.514984131
0.623533333,-0.955104828,-0.516414642
0.6302,-0.954627991,-0.516891479
0.636866667,-0.954151154,-0.516414642
0.643533333,-0.954151154,-0.515460968
0.6502,-0.953674316,-0.514030457
0.656866667,-0.953674316,-0.513553619
0.663533333,-0.954151154,-0.514030457
0.6702,-0.954151154,-0.515937805
0.676866667,-0.954151154,-0.518321991
0.683533333,-0.954151154,-0.521183014
0.6902,-0.954627991,-0.5235672
0.696866667,-0.955104828,-0.524997711
0.703533333,-0.954627991,-0.524997711
0.7102,-0.953674316,-0.524044037
0.716866667,-0.953674316,-0.523090363
0.723533333,-0.953674316,-0.522613525
0.7302,-0.953197479,-0.523090363
0.736866667,-0.952720642,-0.5235672
0.743533333,-0.952720642,-0.524997711
0.7502,-0.953674316,-0.52690506
0.756866667,-0.954151154,-0.528335571
0.763533333,-0.954627991,-0.528335571
0.7702,-0.955581665,-0.52690506
0.776866667,-0.956535339,-0.525951385
0.783533333,-0.957012177,-0.524997711
0.7902,-0.957489014,-0.524997711
0.796866667,-0.957489014,-0.524520874
0.803533333,-0.957489014,-0.524997711
0.8102,-0.957965851,-0.526428223
0.816866667,-0.958919525,-0.528335571
0.823533333,-0.960350037,-0.529289246
0.8302,-0.961780548,-0.529766083
0.836866667,-0.96321106,-0.529766083
0.843533333,-0.964164734,-0.529766083
0.8502,-0.965118408,-0.529289246
0.856866667,-0.965118408,-0.528335571
0.863533333,-0.964641571,-0.527381897
0.8702,-0.965118408,-0.52690506
0.876866667,-0.965118408,-0.527858734
0.883533333,-0.965595245,-0.528812408
0.8902,-0.965595245,-0.528812408
0.896866667,-0.966072083,-0.529289246
0.903533333,-0.967502594,-0.529289246
0.9102,-0.968933105,-0.529289246
0.916866667,-0.970363617,-0.529289246
0.923533333,-0.972270966,-0.528812408
0.9302,-0.97322464,-0.528335571
0.936866667,-0.974178314,-0.528335571
0.943533333,-0.975131989,-0.528335571
0.9502,-0.976085663,-0.529289246
0.956866667,-0.9765625,-0.530719757
0.963533333,-0.977039337,-0.531673431
0.9702,-0.977993011,-0.532150269
0.976866667,-0.979423523,-0.531673431
0.983533333,-0.980854034,-0.53024292
0.9902,-0.981330872,-0.528812408
0.996866667,-0.980854034,-0.52690506
1.003533333,-0.980377197,-0.524997711
1.0102,-0.97990036,-0.524520874
1.016866667,-0.97990036,-0.524997711
1.023533333,-0.979423523,-0.525951385
1.0302,-0.978469849,-0.526428223
1.036866667,-0.977993011,-0.52690506
1.043533333,-0.977993011,-0.527858734
1.0502,-0.977516174,-0.528812408
1.056866667,-0.977039337,-0.529766083
1.063533333,-0.9765625,-0.530719757
1.0702,-0.976085663,-0.531196594
1.076866667,-0.976085663,-0.531673431
1.083533333,-0.976085663,-0.532627106
1.0902,-0.975608826,-0.532627106
1.096866667,-0.975131989,-0.533103943
1.103533333,-0.975608826,-0.533103943
1.1102,-0.976085663,-0.533103943
1.116866667,-0.9765625,-0.532627106
1.123533333,-0.977516174,-0.532627106
1.1302,-0.977993011,-0.532627106
1.136866667,-0.978469849,-0.532627106
1.143533333,-0.978469849,-0.532627106
1.1502,-0.977993011,-0.532627106
1.156866667,-0.977993011,-0.532627106
1.163533333,-0.977516174,-0.532150269
1.1702,-0.977516174,-0.532150269
1.176866667,-0.977516174,-0.532150269
1.183533333,-0.978469849,-0.533103943
1.1902,-0.978469849,-0.534057617
1.196866667,-0.978946686,-0.535964966
1.203533333,-0.979423523,-0.537872314
1.2102,-0.979423523,-0.539779663
1.216866667,-0.979423523,-0.541210175
1.223533333,-0.978469849,-0.541687012
1.2302,-0.977516174,-0.542163849
1.236866667,-0.9765625,-0.542640686
1.243533333,-0.976085663,-0.543117523
1.2502,-0.976085663,-0.54359436
1.256866667,-0.976085663,-0.544071198
1.263533333,-0.975608826,-0.545024872
1.2702,-0.975131989,-0.545501709
1.276866667,-0.974178314,-0.545978546
1.283533333,-0.97322464,-0.545501709
1.2902,-0.971794128,-0.545501709
1.296866667,-0.970363617,-0.545978546
1.303533333,-0.968933105,-0.546455383
1.3102,-0.967979431,-0.546455383
1.316866667,-0.96654892,-0.54693222
1.323533333,-0.965595245,-0.547885895
1.3302,-0.964164734,-0.549316406
1.336866667,-0.96321106,-0.549793243
1.343533333,-0.961780548,-0.550270081
1.3502,-0.960826874,-0.551223755
1.356866667,-0.959873199,-0.552177429
1.363533333,-0.958442688,-0.552654266
1.3702,-0.956058502,-0.552177429
1.376866667,-0.954151154,-0.550746918
1.383533333,-0.951766968,-0.549316406
1.3902,-0.949859619,-0.547409058
1.396866667,-0.948429108,-0.545024872
1.403533333,-0.947475433,-0.542163849
1.4102,-0.946998596,-0.540733337
1.416866667,-0.946998596,-0.5402565
1.423533333,-0.946998596,-0.540733337
1.4302,-0.946521759,-0.541687012
1.436866667,-0.945568085,-0.543117523
1.443533333,-0.945091248,-0.544548035
1.4502,-0.944137573,-0.545978546
1.456866667,-0.943183899,-0.546455383
