retention_minutes,abs_254nm,abs_280nm
0.00625,1.504421234,1.740932465
0.012916667,1.602172852,1.825332642
0.019583333,1.559257507,1.793384552
0.02625,1.385211945,1.649856567
0.032916667,1.098155975,1.403331757
0.039583333,0.699043274,1.055240631
0.04625,0.255584717,0.665664673
0.052916667,-0.127792358,0.32377243
0.059583333,-0.370979309,0.098705292
0.06625,-0.468254089,0.005722046
0.072916667,-0.448226929,0.034332275
0.079583333,-0.336647034,0.166416168
0.08625,-0.179767609,0.354290009
0.092916667,-0.023365021,0.54359436
0.099583333,0.095844269,0.691413879
0.10625,0.150203705,0.761985779
0.112916667,0.117301941,0.730991364
0.119583333,-0.000953674,0.598430634
0.12625,-0.173568726,0.401973724
0.132916667,-0.353813171,0.195980072
0.139583333,-0.508308411,0.020503998
0.14625,-0.623703003,-0.110149384
0.152916667,-0.702857971,-0.198364258
0.159583333,-0.754356384,-0.25510788
0.16625,-0.787734985,-0.290393829
0.172916667,-0.809669495,-0.313282013
0.179583333,-0.825405121,-0.328540802
0.18625,-0.83732605,-0.339508057
0.192916667,-0.847816467,-0.348091125
0.199583333,-0.856399536,-0.355243683
0.20625,-0.863552094,-0.361442566
0.212916667,-0.868797302,-0.367641449
0.219583333,-0.873565674,-0.372409821
0.22625,-0.878334045,-0.377178192
0.232916667,-0.88262558,-0.381469727
0.239583333,-0.887393951,-0.385761261
0.24625,-0.891685486,-0.389099121
0.252916667,-0.896453857,-0.392436981
0.259583333,-0.900745392,-0.395298004
0.26625,-0.904083252,-0.398159027
0.272916667,-0.907421112,-0.401973724
0.279583333,-0.909805298,-0.403881073
0.28625,-0.912189484,-0.405788422
0.292916667,-0.915050507,-0.407218933
0.299583333,-0.917434692,-0.408172607
0.30625,-0.918865204,-0.408172607
0.312916667,-0.920295715,-0.408649445
0.319583333,-0.92124939,-0.410556793
0.32625,-0.922679901,-0.412940979
0.332916667,-0.924110413,-0.416278839
0.339583333,-0.925540924,-0.419616699
0.34625,-0.926971436,-0.422477722
0.352916667,-0.928401947,-0.424861908
0.359583333,-0.929355621,-0.425815582
0.36625,-0.930309296,-0.426292419
0.372916667,-0.930309296,-0.427246094
0.379583333,-0.930786133,-0.427722931
0.38625,-0.93126297,-0.428199768
0.392916667,-0.931739807,-0.428676605
0.399583333,-0.932216644,-0.430107117
0.40625,-0.932216644,-0.432014465
0.412916667,-0.932693481,-0.43296814
0.419583333,-0.933647156,-0.434875488
0.42625,-0.935554504,-0.437736511
0.432916667,-0.936985016,-0.440597534
0.439583333,-0.938415527,-0.44298172
0.44625,-0.939369202,-0.444889069
0.452916667,-0.939846039,-0.447273254
0.459583333,-0.939369202,-0.449180603
0.46625,-0.938415527,-0.450611115
0.472916667,-0.93793869,-0.452041626
0.479583333,-0.937461853,-0.453472137
0.48625,-0.937461853,-0.454425812
0.492916667,-0.93793869,-0.454425812
0.499583333,-0.93793869,-0.453948975
0.50625,-0.936985016,-0.453472137
0.512916667,-0.936508179,-0.4529953
0.519583333,-0.936031342,-0.452041626
0.52625,-0.936031342,-0.451564789
0.532916667,-0.936031342,-0.452518463
0.539583333,-0.936031342,-0.453472137
0.54625,-0.936031342,-0.454902649
0.552916667,-0.935077667,-0.45633316
0.559583333,-0.933170319,-0.457763672
0.56625,-0.930786133,-0.459194183
0.572916667,-0.92792511,-0.460147858
0.579583333,-0.925540924,-0.461101532
0.58625,-0.924110413,-0.461101532
0.592916667,-0.923156738,-0.461578369
0.599583333,-0.922203064,-0.462532043
0.60625,-0.921726227,-0.463485718
0.612916667,-0.920772552,-0.464916229
0.619583333,-0.919342041,-0.465869904
0.62625,-0.918388367,-0.467300415
0.632916667,-0.916957855,-0.467300415
0.639583333,-0.916004181,-0.466823578
0.64625,-0.914096832,-0.465393066
0.652916667,-0.912666321,-0.463962555
0.659583333,-0.911235809,-0.462532043
0.66625,-0.908851624,-0.461101532
0.672916667,-0.905990601,-0.460624695
0.679583333,-0.903129578,-0.461101532
0.68625,-0.901222229,-0.462055206
0.692916667,-0.89931488,-0.463485718
0.699583333,-0.898361206,-0.464916229
0.70625,-0.896930695,-0.465869904
0.712916667,-0.896453857,-0.465869904
0.719583333,-0.89597702,-0.465393066
0.72625,-0.896453857,-0.465393066
0.732916667,-0.895500183,-0.464916229
0.739583333,-0.894546509,-0.463962555
0.74625,-0.893592834,-0.463962555
0.752916667,-0.893115997,-0.463962555
0.759583333,-0.893115997,-0.465393066
0.76625,-0.89263916,-0.465869904
0.772916667,-0.89263916,-0.466823578
0.779583333,-0.893592834,-0.467777252
0.78625,-0.894546509,-0.469207764
0.792916667,-0.895023346,-0.470161438
0.799583333,-0.89597702,-0.471591949
0.80625,-0.897407532,-0.472545624
0.812916667,-0.898838043,-0.473499298
0.819583333,-0.900745392,-0.474452972
0.82625,-0.902175903,-0.475406647
0.832916667,-0.904083252,-0.475883484
0.839583333,-0.905990601,-0.476837158
0.84625,-0.907897949,-0.477313995
0.852916667,-0.909805298,-0.477313995
0.859583333,-0.911235809,-0.477313995
0.86625,-0.913143158,-0.477313995
0.872916667,-0.914573669,-0.477313995
0.879583333,-0.916004181,-0.477313995
0.88625,-0.916957855,-0.47826767
0.892916667,-0.918388367,-0.478744507
