retention_minutes,abs_254nm,abs_280nm
0.002083333,1.459121704,1.697540283
0.00875,1.557350159,1.783847809
0.015416667,1.519680023,1.755237579
0.022083333,1.348972321,1.61075592
0.02875,1.067638397,1.365184784
0.035416667,0.67615509,1.01852417
0.042083333,0.237464905,0.627040863
0.04875,-0.146389008,0.280380249
0.055416667,-0.395774841,0.047683716
0.062083333,-0.502586365,-0.057220459
0.06875,-0.499248505,-0.049591064
0.075416667,-0.412940979,0.051021576
0.082083333,-0.285148621,0.203609467
0.08875,-0.155448914,0.360488892
0.095416667,-0.053882599,0.485897064
0.102083333,-0.003814697,0.551700592
0.10875,-0.023841858,0.535488129
0.115416667,-0.115871429,0.433921814
0.122083333,-0.255584717,0.275611877
0.12875,-0.40435791,0.105381012
0.135416667,-0.534057617,-0.041484833
0.142083333,-0.632286072,-0.152111053
0.14875,-0.700950623,-0.227928162
0.155416667,-0.747203827,-0.276565552
0.162083333,-0.777721405,-0.30708313
0.16875,-0.79870224,-0.327110291
0.175416667,-0.814437866,-0.340938568
0.182083333,-0.826358795,-0.351905823
0.18875,-0.836849213,-0.360488892
0.195416667,-0.845909119,-0.366687775
0.202083333,-0.853538513,-0.372409821
0.20875,-0.860214233,-0.377178192
0.215416667,-0.866889954,-0.382423401
0.222083333,-0.873088837,-0.386238098
0.22875,-0.878334045,-0.390052795
0.235416667,-0.883579254,-0.393867493
0.242083333,-0.888347626,-0.396728516
0.24875,-0.893115997,-0.398635864
0.255416667,-0.896930695,-0.400543213
0.262083333,-0.900268555,-0.403404236
0.26875,-0.903606415,-0.406265259
0.275416667,-0.906467438,-0.409603119
0.282083333,-0.908374786,-0.412940979
0.28875,-0.910282135,-0.415325165
0.295416667,-0.912189484,-0.417232513
0.302083333,-0.913619995,-0.418663025
0.30875,-0.914573669,-0.420093536
0.315416667,-0.916481018,-0.422477722
0.322083333,-0.918388367,-0.424861908
0.32875,-0.920295715,-0.426292419
0.335416667,-0.921726227,-0.428199768
0.342083333,-0.924110413,-0.42963028
0.34875,-0.926494598,-0.431537628
0.355416667,-0.928401947,-0.433444977
0.362083333,-0.930786133,-0.435829163
0.36875,-0.932693481,-0.438213348
0.375416667,-0.93460083,-0.43964386
0.382083333,-0.936508179,-0.440597534
0.38875,-0.937461853,-0.441074371
0.395416667,-0.938415527,-0.441551208
0.402083333,-0.939369202,-0.442504883
0.40875,-0.940799713,-0.443935394
0.415416667,-0.941753387,-0.44631958
0.422083333,-0.943183899,-0.449180603
0.42875,-0.945091248,-0.452041626
0.435416667,-0.946998596,-0.453948975
0.442083333,-0.948905945,-0.455379486
0.44875,-0.950813293,-0.45633316
0.455416667,-0.952720642,-0.456809998
0.462083333,-0.954151154,-0.457286835
0.46875,-0.956058502,-0.457286835
0.475416667,-0.957965851,-0.457763672
0.482083333,-0.959873199,-0.459194183
0.48875,-0.961303711,-0.461101532
0.495416667,-0.96321106,-0.463485718
0.502083333,-0.965595245,-0.465393066
0.50875,-0.968456268,-0.467300415
0.515416667,-0.970840454,-0.468730927
0.522083333,-0.97322464,-0.469207764
0.52875,-0.974655151,-0.469684601
0.535416667,-0.975608826,-0.470161438
0.542083333,-0.975608826,-0.470638275
0.54875,-0.975608826,-0.472068787
0.555416667,-0.976085663,-0.473499298
0.562083333,-0.9765625,-0.47492981
0.56875,-0.977993011,-0.475406647
0.575416667,-0.979423523,-0.475883484
0.582083333,-0.981330872,-0.476360321
0.58875,-0.982284546,-0.476360321
0.595416667,-0.982284546,-0.476837158
0.602083333,-0.982761383,-0.477313995
0.60875,-0.98323822,-0.478744507
0.615416667,-0.983715057,-0.480651855
0.622083333,-0.984191895,-0.482559204
0.62875,-0.985145569,-0.483036041
0.635416667,-0.985145569,-0.483512878
0.642083333,-0.984668732,-0.483989716
0.64875,-0.984668732,-0.484466553
0.655416667,-0.984668732,-0.48494339
0.662083333,-0.985145569,-0.485897064
0.66875,-0.985145569,-0.487327576
0.675416667,-0.985145569,-0.48828125
0.682083333,-0.985622406,-0.489711761
0.68875,-0.985622406,-0.491142273
0.695416667,-0.985145569,-0.49161911
0.702083333,-0.985145569,-0.491142273
0.70875,-0.984668732,-0.490188599
0.715416667,-0.984668732,-0.489711761
0.722083333,-0.984668732,-0.489234924
0.72875,-0.984191895,-0.489711761
0.735416667,-0.984191895,-0.490665436
0.742083333,-0.98323822,-0.492572784
0.74875,-0.982284546,-0.494480133
0.755416667,-0.981807709,-0.49495697
0.762083333,-0.980854034,-0.49495697
0.76875,-0.97990036,-0.494003296
0.775416667,-0.978946686,-0.493049622
0.782083333,-0.977993011,-0.492095947
0.78875,-0.977516174,-0.49161911
0.795416667,-0.977516174,-0.492095947
0.802083333,-0.977993011,-0.492095947
0.80875,-0.978469849,-0.492095947
0.815416667,-0.97990036,-0.49161911
0.822083333,-0.980854034,-0.491142273
0.82875,-0.981807709,-0.491142273
0.835416667,-0.982761383,-0.49161911
0.842083333,-0.983715057,-0.492095947
0.84875,-0.984191895,-0.492572784
0.855416667,-0.985622406,-0.492572784
0.862083333,-0.98657608,-0.493049622
0.86875,-0.988483429,-0.494003296
0.875416667,-0.990390778,-0.494480133
0.882083333,-0.992298126,-0.49495697
0.88875,-0.994205475,-0.49495697
0.895416667,-0.994682312,-0.49495697
0.902083333,-0.995159149,-0.494003296
0.90875,-0.995635986,-0.493049622
0.915416667,-0.996589661,-0.492572784
0.922083333,-0.997543335,-0.492095947
0.92875,-0.998973846,-0.492095947
0.935416667,-1.000881195,-0.492572784
0.942083333,-1.003265381,-0.493049622
0.94875,-1.005649567,-0.493049622
0.955416667,-1.008033752,-0.493049622
0.962083333,-1.009941101,-0.492572784
0.96875,-1.012802124,-0.492572784
0.975416667,-1.016139984,-0.492572784
0.982083333,-1.019477844,-0.492095947
0.98875,-1.022815704,-0.490665436
0.995416667,-1.026153564,-0.489234924
1.002083333,-1.029491425,-0.48828125
1.00875,-1.032829285,-0.486850739
