

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190214_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/14/2019
Time	1:57:53 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	C2..C10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C		SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11			Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C2	C3	C4	C5	C6	C7	C8	C9	C10
0:00:00	30.0	5844	6162	6126	5616	5932	5755	4730	4826	4783
0:00:05	30.0	5874	6286	6270	5607	6074	5954	4754	4840	4831
0:00:10	30.0	5912	6418	6419	5629	6247	5997	4771	4904	4874
0:00:15	30.0	5880	6494	6517	5591	6299	6153	4736	4958	4865
0:00:20	30.0	5877	6580	6635	5704	6489	6221	4728	5004	4867
0:00:25	30.0	5957	6721	6746	5709	6415	6305	4745	4958	4926
0:00:30	30.0	5977	6857	6959	5723	6583	6465	4792	5047	4941
0:00:35	30.0	5912	6921	7037	5666	6711	6519	4750	5045	5005
0:00:40	30.0	5981	7105	7109	5745	6727	6672	4747	5040	5101
0:00:45	30.0	5971	7222	7209	5723	6901	6768	4767	5125	5085
0:00:50	30.0	6004	7258	7256	5752	6973	6843	4739	5143	5044
0:00:55	30.0	5949	7342	7401	5681	7013	6946	4747	5191	5161
0:01:00	30.0	5959	7527	7522	5650	7143	7032	4773	5199	5135
0:01:05	30.0	5971	7524	7566	5688	7211	7110	4773	5215	5145
0:01:10	30.0	5981	7767	7780	5711	7318	7272	4810	5224	5220
0:01:15	30.1	5989	7756	7852	5787	7452	7303	4801	5287	5243
0:01:20	30.0	6073	7890	7906	5720	7583	7425	4792	5245	5250
0:01:25	30.0	6083	8009	8067	5735	7676	7591	4751	5312	5287
0:01:30	30.0	6076	8094	8161	5732	7837	7685	4840	5333	5257
0:01:35	30.0	6030	8189	8251	5750	7865	7785	4755	5332	5272
0:01:40	30.0	6107	8320	8381	5753	7984	7934	4800	5405	5284
0:01:45	29.9	6106	8530	8523	5783	8137	7984	4764	5371	5299
0:01:50	30.0	6158	8594	8585	5791	8186	8082	4754	5408	5422
0:01:55	30.0	6155	8714	8643	5753	8246	8290	4798	5445	5371
0:02:00	30.0	6112	8715	8820	5779	8389	8294	4828	5494	5500
0:02:05	30.0	6201	8953	8906	5751	8518	8501	4814	5442	5552
0:02:10	30.0	6124	8981	8972	5757	8621	8628	4772	5505	5491
0:02:15	30.0	6194	9112	9109	5775	8683	8677	4825	5513	5536
0:02:20	30.0	6161	9274	9278	5810	8889	8730	4805	5568	5536
0:02:25	30.0	6152	9387	9363	5754	8879	8810	4789	5584	5571
0:02:30	30.0	6153	9474	9447	5817	9036	8927	4799	5638	5584
0:02:35	30.0	6202	9604	9600	5782	9100	9034	4811	5654	5655
0:02:40	30.0	6147	9721	9747	5827	9204	9225	4867	5682	5653
0:02:45	30.1	6247	9908	9891	5780	9217	9266	4860	5690	5698
0:02:50	30.0	6216	10047	9973	5828	9352	9317	4877	5723	5722
0:02:55	30.0	6219	10124	10065	5829	9416	9490	4816	5758	5717
0:03:00	30.0	6181	10223	10154	5866	9605	9563	4827	5785	5790
0:03:05	30.0	6234	10338	10273	5794	9706	9612	4813	5827	5782
0:03:10	30.0	6245	10449	10313	5822	9791	9748	4816	5847	5873
0:03:15	30.0	6271	10557	10579	5845	10000	9804	4851	5862	5775
0:03:20	30.0	6234	10589	10633	5784	10002	9859	4843	5828	5835
0:03:25	30.0	6285	10715	10779	5835	10003	9966	4854	5936	5881
0:03:30	30.0	6209	10840	10877	5834	10203	10172	4814	5965	5914
0:03:35	30.0	6266	10860	11051	5845	10242	10248	4782	5991	5916
0:03:40	30.0	6203	11053	11129	5838	10274	10370	4825	6012	6042
0:03:45	30.0	6244	11246	11130	5841	10407	10412	4866	6104	6043
0:03:50	30.0	6252	11344	11358	5849	10558	10463	4826	6095	5991
0:03:55	30.0	6259	11257	11505	5875	10549	10485	4864	6127	6063
0:04:00	30.0	6230	11436	11628	5869	10673	10598	4808	6184	6122
0:04:05	30.0	6275	11573	11749	5855	10747	10685	4828	6199	6103
0:04:10	30.0	6309	11642	11778	5863	10841	10814	4874	6186	6122
0:04:15	30.0	6299	11795	11869	5883	10895	10857	4870	6207	6107
0:04:20	30.0	6320	11977	11985	5845	11038	10988	4834	6253	6204
0:04:25	30.0	6301	11803	12135	5866	11106	11014	4803	6276	6217
0:04:30	30.0	6288	12069	12224	5816	11248	11053	4889	6283	6259
0:04:35	30.0	6334	12244	12332	5810	11271	11142	4854	6309	6302
0:04:40	30.0	6269	12310	12507	5907	11413	11256	4836	6420	6267
0:04:45	30.0	6292	12531	12558	5887	11396	11375	4867	6401	6331
0:04:50	30.0	6285	12628	12725	5873	11618	11447	4853	6392	6367
0:04:55	30.0	6267	12770	12737	5845	11566	11486	4862	6392	6444
0:05:00	30.0	6316	12843	12876	5854	11600	11461	4848	6493	6355
0:05:05	30.0	6301	12855	13070	5881	11728	11591	4883	6552	6496
0:05:10	30.0	6283	12991	13170	5881	11813	11626	4845	6547	6424
0:05:15	30.0	6217	12995	13180	5874	11850	11840	4875	6512	6427
0:05:20	30.0	6288	13207	13378	5876	12032	11838	4813	6594	6529
0:05:25	30.0	6316	13372	13423	5909	12054	11910	4823	6561	6470
0:05:30	30.0	6304	13447	13465	5849	12093	11938	4841	6581	6553
0:05:35	30.0	6303	13701	13662	5901	12273	12146	4824	6643	6569
0:05:40	30.0	6307	13681	13658	5901	12261	12170	4852	6657	6566
0:05:45	30.0	6328	13809	13821	5882	12422	12154	4829	6689	6556
0:05:50	30.0	6257	13799	13937	5918	12512	12346	4838	6721	6597
0:05:55	30.0	6276	13997	14100	5851	12560	12402	4838	6720	6672
0:06:00	30.0	6250	14094	14174	5893	12624	12413	4836	6786	6697
0:06:05	30.0	6275	14109	14250	5825	12791	12533	4861	6747	6695
0:06:10	30.0	6329	14268	14455	5880	12771	12579	4833	6810	6683
0:06:15	30.0	6300	14571	14592	5845	12863	12744	4849	6856	6713
0:06:20	30.0	6265	14429	14634	5863	12878	12702	4868	6869	6786
0:06:25	30.0	6319	14754	14820	5887	12970	12927	4829	6908	6824
