

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190214_GAP_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/14/2019
Time	5:01:36 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	A2..A10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9			Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A2	A3	A4	A5	A6	A7	A8	A9	A10
0:00:00	30.0	5344	5395	5423	5652	5803	5711	5713	5814	5773
0:00:05	30.0	5380	5455	5482	5709	5872	5769	5798	5879	5862
0:00:10	30.0	5381	5489	5542	5725	5846	5759	5812	5927	5880
0:00:15	30.0	5382	5522	5521	5735	5908	5826	5796	6000	5917
0:00:20	30.0	5392	5547	5600	5726	5939	5827	5836	6102	5931
0:00:25	30.0	5400	5589	5548	5812	6022	5912	5827	6101	5994
0:00:30	30.0	5418	5623	5662	5783	6095	5920	5853	6110	6026
0:00:35	30.0	5418	5621	5701	5819	5999	5937	5803	6145	6039
0:00:40	30.0	5408	5658	5623	5790	6125	5983	5791	6128	6077
0:00:45	30.0	5391	5707	5719	5840	6117	6067	5834	6164	6152
0:00:50	30.0	5386	5720	5764	5852	6180	6052	5847	6232	6163
0:00:55	30.0	5346	5768	5764	5783	6185	6084	5837	6224	6213
0:01:00	30.0	5461	5791	5885	5809	6190	6115	5836	6283	6247
0:01:05	30.0	5399	5820	5771	5850	6234	6098	5870	6318	6252
0:01:10	30.0	5469	5846	5816	5820	6235	6205	5881	6328	6308
0:01:15	30.0	5422	5880	5833	5806	6280	6207	5868	6379	6349
0:01:20	30.0	5506	5949	5945	5802	6300	6264	5819	6445	6383
0:01:25	30.0	5424	5922	5974	5827	6331	6277	5905	6481	6379
0:01:30	30.0	5459	5990	5937	5781	6381	6269	5877	6531	6408
0:01:35	30.0	5413	6046	5968	5836	6409	6331	5856	6551	6432
0:01:40	30.0	5496	6048	5970	5827	6443	6339	5833	6508	6485
0:01:45	30.0	5487	6060	6015	5827	6498	6286	5891	6655	6514
0:01:50	30.0	5434	6137	6029	5837	6524	6396	5851	6641	6536
0:01:55	30.0	5438	6137	6103	5861	6503	6423	5798	6658	6586
0:02:00	30.0	5459	6150	6114	5826	6604	6436	5831	6730	6624
0:02:05	30.0	5403	6176	6163	5847	6662	6450	5854	6736	6670
0:02:10	30.0	5519	6213	6156	5856	6601	6482	5853	6767	6673
0:02:15	30.0	5495	6281	6140	5807	6659	6526	5898	6842	6722
0:02:20	30.0	5538	6351	6240	5779	6714	6526	5865	6879	6748
0:02:25	30.0	5510	6357	6291	5823	6709	6587	5868	6896	6835
0:02:30	30.0	5509	6370	6268	5747	6763	6604	5889	6945	6832
0:02:35	30.0	5467	6407	6267	5785	6864	6637	5930	6944	6812
0:02:40	30.0	5474	6412	6302	5791	6830	6640	5901	6942	6919
0:02:45	30.0	5464	6429	6306	5844	6859	6691	5926	6956	6923
0:02:50	30.0	5493	6454	6379	5842	6839	6653	5894	7088	6897
0:02:55	30.0	5478	6558	6453	5873	6973	6693	5889	7098	6997
0:03:00	30.0	5532	6594	6399	5864	6975	6775	5900	7102	7018
0:03:05	30.0	5512	6566	6437	5849	6971	6785	5909	7094	7047
0:03:10	30.0	5529	6634	6472	5835	7021	6865	5912	7253	7104
0:03:15	30.0	5528	6604	6485	5855	7063	6864	5953	7251	7160
0:03:20	30.0	5572	6687	6474	5902	7111	6903	5912	7249	7154
0:03:25	30.0	5512	6722	6561	5888	7039	6892	5892	7329	7254
0:03:30	30.0	5523	6722	6569	5894	7122	6923	5939	7338	7259
0:03:35	30.0	5514	6778	6608	5879	7167	7053	5947	7351	7295
0:03:40	30.1	5513	6796	6642	5872	7231	7004	5913	7422	7303
0:03:45	30.0	5508	6844	6689	5847	7279	7058	5929	7486	7376
0:03:50	30.0	5531	6913	6717	5824	7291	7063	5927	7561	7338
0:03:55	30.0	5539	6937	6619	5865	7341	7057	5924	7548	7402
0:04:00	30.0	5490	6924	6750	5932	7315	7072	5892	7479	7370
0:04:05	30.0	5511	6998	6791	5918	7346	7197	5889	7570	7499
0:04:10	30.0	5536	7021	6810	5881	7386	7181	5974	7684	7529
0:04:15	30.0	5523	7052	6850	5874	7433	7282	5980	7673	7523
0:04:20	30.0	5510	7077	6841	5853	7503	7256	5945	7749	7558
0:04:25	30.0	5543	7071	6883	5889	7548	7262	5944	7765	7615
0:04:30	30.0	5518	7112	6914	5890	7561	7353	5963	7840	7677
