

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190215_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/15/2019
Time	3:45:25 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	G2..G10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9			Well ID
H													Well ID

425,457

Time	T° 425,457	G2	G3	G4	G5	G6	G7	G8	G9	G10
0:00:00	30.0	5829	6412	6372	5592	5889	6029	5796	6099	6182
0:00:05	30.0	5872	6551	6426	5600	6012	6049	5785	6150	6207
0:00:10	30.0	5881	6613	6524	5671	6112	6179	5861	6262	6370
0:00:15	30.0	5879	6768	6665	5640	6110	6239	5839	6291	6360
0:00:20	30.0	5901	6829	6683	5622	6181	6357	5791	6400	6467
0:00:25	30.0	5975	6729	6853	5640	6276	6325	5894	6451	6515
0:00:30	30.0	5913	6844	6847	5648	6333	6423	5853	6598	6588
0:00:35	30.0	5958	6912	6966	5661	6404	6520	5900	6634	6660
0:00:40	30.1	5927	7047	7042	5649	6471	6661	5886	6691	6780
0:00:45	30.0	5976	7126	7081	5597	6535	6666	5817	6786	6875
0:00:50	30.0	5925	7210	7200	5603	6681	6735	5856	6880	6888
0:00:55	30.0	5999	7362	7269	5688	6717	6803	5910	6981	7030
0:01:00	30.0	5964	7395	7468	5641	6804	6931	5933	7021	7048
0:01:05	30.0	5949	7536	7502	5644	6859	6915	5884	7132	7086
0:01:10	30.0	6019	7710	7560	5685	6955	6997	5909	7175	7163
0:01:15	30.0	5959	7678	7666	5593	7046	7143	5885	7227	7267
0:01:20	30.0	5982	7806	7745	5646	7097	7156	5915	7310	7357
0:01:25	30.0	6002	7849	7918	5662	7103	7301	5849	7351	7381
0:01:30	30.0	5960	7935	7904	5663	7278	7372	5896	7448	7437
0:01:35	30.0	6020	7980	8052	5718	7297	7403	5895	7494	7549
