

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190215_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/15/2019
Time	5:51:23 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	C2..C10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9			Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C2	C3	C4	C5	C6	C7	C8	C9	C10
0:00:00	30.0	6129	6318	6290	5525	5748	5803	5222	5565	5554
0:00:05	30.0	6173	6397	6288	5475	5805	5836	5250	5492	5576
0:00:10	30.0	6217	6460	6379	5570	5818	5922	5307	5597	5718
0:00:15	30.0	6221	6540	6458	5520	6007	5955	5241	5677	5781
0:00:20	30.0	6298	6538	6565	5510	5973	5964	5287	5696	5729
0:00:25	30.0	6228	6601	6619	5585	6081	6058	5283	5797	5862
0:00:30	30.0	6293	6680	6593	5554	6168	6116	5312	5823	5966
0:00:35	30.0	6350	6673	6657	5532	6183	6091	5316	5892	5925
0:00:40	30.0	6391	6797	6741	5597	6225	6215	5275	5971	5999
0:00:45	30.0	6360	6805	6717	5573	6328	6246	5315	5987	6075
0:00:50	30.0	6297	6914	6779	5595	6421	6293	5337	6053	6158
0:00:55	30.0	6370	6836	6791	5575	6424	6383	5312	6102	6191
0:01:00	30.0	6346	6871	6932	5544	6491	6448	5278	6128	6228
0:01:05	30.0	6338	7008	6969	5579	6602	6442	5297	6248	6252
0:01:10	30.0	6382	7038	6997	5504	6607	6544	5341	6304	6354
