

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190220_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/20/2019
Time	3:32:21 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	E2..E6
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E		SPL2	SPL3	SPL4	SPL5	SPL6							Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E2	E3	E4	E5	E6
0:00:00	30.0	6201	6461	6433	5858	6282
0:00:05	30.0	6248	6547	6463	5931	6324
0:00:10	30.0	6213	6580	6556	5928	6275
0:00:15	30.0	6233	6714	6584	5923	6386
0:00:20	30.0	6169	6785	6719	5898	6377
0:00:25	30.0	6185	6796	6752	5918	6417
0:00:30	30.0	6272	6898	6870	5917	6464
0:00:35	30.0	6234	6980	6954	5920	6498
0:00:40	29.9	6310	6998	6950	5936	6617
0:00:45	30.0	6213	7128	7039	5935	6669
0:00:50	30.0	6225	7212	7006	5897	6732
0:00:55	30.0	6238	7195	7205	5909	6776
0:01:00	30.0	6264	7367	7271	5927	6822
0:01:05	30.0	6272	7363	7241	5891	6908
0:01:10	30.0	6219	7414	7387	5933	6895
0:01:15	30.0	6224	7433	7430	5896	7014
0:01:20	30.0	6216	7543	7607	5907	7025
0:01:25	30.0	6275	7638	7585	5901	7027
0:01:30	30.0	6258	7623	7568	6027	7092
0:01:35	30.0	6261	7737	7675	5928	7174
0:01:40	30.0	6282	7750	7762	5891	7221
0:01:45	30.0	6301	7841	7827	5914	7229
0:01:50	30.0	6224	7898	7859	5970	7374
0:01:55	30.0	6267	8027	7923	5941	7353
0:02:00	30.0	6297	8038	8106	5901	7450
0:02:05	30.0	6220	8152	8095	5939	7451
