

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190314_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	3/14/2019
Time	3:32:26 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	A2..A9
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8				Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A2	A3	A4	A5	A6	A7	A8	A9
0:00:00	30.0	6207	6351	6189	6625	6842	7213	6332	6555
0:00:05	30.0	6255	6469	6196	6842	6889	7310	6351	6662
0:00:10	30.0	6242	6524	6257	6916	6914	7435	6353	6768
0:00:15	30.0	6242	6655	6260	6974	6902	7558	6376	6842
0:00:20	30.0	6282	6650	6251	7033	6893	7572	6352	7021
0:00:25	30.0	6246	6796	6245	7143	6939	7603	6411	7141
0:00:30	30.0	6281	6861	6262	7172	6964	7824	6345	7147
0:00:35	30.0	6275	6925	6292	7262	6940	7824	6379	7231
0:00:40	30.0	6309	7056	6275	7368	6888	7973	6456	7310
0:00:45	30.0	6256	7062	6253	7405	6923	7991	6428	7351
0:00:50	30.0	6288	7205	6281	7573	6954	8077	6377	7489
0:00:55	30.0	6273	7260	6260	7567	6943	8155	6371	7593
0:01:00	30.0	6332	7340	6244	7723	6912	8290	6379	7778
0:01:05	30.0	6334	7540	6288	7734	6970	8306	6438	7765
0:01:10	30.0	6306	7522	6247	7893	6977	8440	6394	7903
0:01:15	30.0	6292	7636	6329	7934	6964	8524	6432	8007
0:01:20	30.0	6261	7673	6273	8030	7020	8657	6396	8052
0:01:25	30.0	6330	7773	6263	8166	6982	8591	6412	8238
0:01:30	30.0	6283	7883	6256	8178	6954	8822	6402	8183
0:01:35	30.0	6319	7971	6279	8365	6944	8729	6414	8372
0:01:40	30.0	6318	8121	6323	8430	7003	8859	6415	8509
0:01:45	30.0	6363	8149	6305	8393	6912	8947	6378	8632
0:01:50	30.0	6350	8223	6240	8573	6995	9063	6430	8656
0:01:55	30.0	6321	8264	6305	8715	6971	9125	6445	8717
0:02:00	30.0	6292	8374	6368	8751	6955	9219	6441	8917
0:02:05	30.0	6397	8491	6285	8833	7005	9256	6361	8973
0:02:10	30.0	6372	8497	6289	8959	6983	9411	6498	9097
0:02:15	30.0	6333	8657	6338	9009	6987	9404	6425	9179
0:02:20	30.0	6373	8690	6354	9122	7037	9557	6476	9238
0:02:25	29.9	6335	8846	6322	9120	7019	9669	6457	9357
0:02:30	30.0	6343	8921	6323	9223	7033	9711	6438	9401
0:02:35	30.0	6329	8972	6304	9342	7082	9899	6450	9570
0:02:40	30.1	6344	9045	6333	9346	7002	9955	6403	9737
0:02:45	30.0	6377	9251	6344	9568	6994	10090	6470	9857
0:02:50	30.0	6309	9279	6322	9548	7026	10085	6461	9834
0:02:55	30.0	6311	9343	6281	9760	7029	10130	6392	10000
0:03:00	30.0	6322	9479	6353	9837	7107	10195	6408	10063
0:03:05	30.0	6316	9599	6402	9867	7052	10299	6457	10268
0:03:10	30.0	6333	9651	6379	9910	7035	10482	6450	10323
0:03:15	30.0	6307	9712	6331	10040	7057	10544	6462	10429
0:03:20	30.0	6367	9806	6374	10128	7112	10569	6538	10453
0:03:25	30.0	6386	9900	6319	10184	7073	10645	6441	10640
0:03:30	30.0	6341	10029	6355	10315	7069	10794	6507	10682
0:03:35	30.0	6309	10079	6344	10453	7107	10859	6507	10764
0:03:40	30.0	6310	10194	6378	10546	7121	10977	6500	10868
0:03:45	30.0	6303	10290	6403	10634	7133	11143	6465	10999
0:03:50	30.0	6352	10359	6369	10706	7057	11114	6513	11078
0:03:55	30.0	6282	10396	6373	10846	7081	11278	6544	11150
0:04:00	30.0	6359	10489	6396	10928	7114	11374	6508	11355
0:04:05	30.0	6330	10500	6370	10930	7081	11402	6510	11504
0:04:10	30.0	6334	10701	6359	11082	7120	11454	6466	11488
0:04:15	30.0	6329	10724	6413	11203	7100	11625	6519	11723
0:04:20	30.0	6301	10883	6319	11271	7164	11640	6532	11729
0:04:25	30.0	6374	10882	6361	11355	7122	11767	6492	11869
0:04:30	30.0	6331	10997	6401	11377	7198	11818	6500	11914
0:04:35	30.0	6349	11060	6414	11549	7152	11935	6533	12061
0:04:40	30.0	6362	11102	6420	11614	7108	12016	6526	12091
0:04:45	30.0	6382	11256	6341	11718	7168	11995	6522	12288
0:04:50	30.0	6383	11358	6353	11794	7239	12283	6516	12408
0:04:55	30.0	6309	11382	6425	11884	7119	12348	6485	12468
0:05:00	30.0	6374	11608	6362	12023	7222	12381	6551	12593
0:05:05	30.0	6379	11605	6366	12046	7126	12549	6503	12714
0:05:10	30.0	6305	11661	6418	12123	7156	12522	6533	12722
0:05:15	30.0	6396	11790	6426	12246	7234	12543	6522	12900
0:05:20	30.0	6358	11839	6345	12343	7143	12699	6497	12981
0:05:25	30.0	6314	11969	6436	12370	7144	12864	6485	13053
0:05:30	30.0	6371	11959	6412	12466	7157	12857	6564	13158
0:05:35	30.0	6348	12107	6418	12618	7147	12963	6553	13265
0:05:40	30.0	6339	12225	6477	12694	7111	13060	6600	13535
0:05:45	30.0	6384	12360	6438	12902	7190	13318	6486	13510
0:05:50	30.0	6334	12426	6433	12800	7208	13217	6566	13723
0:05:55	30.0	6344	12488	6408	13042	7160	13358	6525	13760
0:06:00	30.0	6337	12613	6445	12968	7260	13459	6497	13789
0:06:05	30.0	6353	12613	6377	13130	7153	13510	6596	13852
