

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190515_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay_50uM_sensor.prt



Plate Number	Plate 1
Date	5/15/2019
Time	4:42:53 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	A3..A4
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 55
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A			SPL1	SPL2									Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A3	A4
0:00:00	30.0	17762	14787
0:00:05	30.0	17843	14931
0:00:10	30.0	17809	15221
0:00:15	30.0	17968	15308
0:00:20	30.0	17882	15489
0:00:25	30.0	18006	15732
0:00:30	30.0	18032	16102
0:00:35	30.0	18132	16293
0:00:40	30.0	18222	16430
0:00:45	30.0	18156	16565
0:00:50	30.0	18193	16760
0:00:55	30.0	18206	16996
0:01:00	30.0	18085	17326
0:01:05	30.0	18264	17464
0:01:10	30.0	18226	17651
0:01:15	30.0	18184	17850
0:01:20	30.0	18331	18046
0:01:25	30.0	18225	18279
0:01:30	30.0	18443	18505
0:01:35	30.0	18401	18641
0:01:40	30.0	18359	18765
0:01:45	30.0	18545	18977
0:01:50	30.0	18481	19424
0:01:55	30.0	18604	19576
0:02:00	30.0	18637	19630
0:02:05	30.0	18604	19808
0:02:10	30.0	18554	20024
0:02:15	30.0	18503	20198
0:02:20	30.0	18625	20435
0:02:25	30.0	18678	20719
0:02:30	30.0	18693	20809
0:02:35	30.0	18827	21070
0:02:40	30.0	18767	21242
0:02:45	30.0	18824	21327
0:02:50	30.0	18878	21597
0:02:55	30.0	18734	21741
0:03:00	30.0	18897	22021
0:03:05	30.0	18787	22212
0:03:10	30.0	18863	22216
0:03:15	30.0	18920	22587
0:03:20	30.0	19033	22725
0:03:25	30.1	19003	23090
0:03:30	30.0	19077	23253
0:03:35	30.0	19180	23497
0:03:40	30.0	19046	23724
0:03:45	30.0	19033	23783
0:03:50	30.0	19003	23928
0:03:55	30.0	19149	24189
0:04:00	30.0	19211	24445
0:04:05	30.0	19184	24777
0:04:10	30.0	19175	24758
0:04:15	30.0	19266	25044
0:04:20	30.0	19256	25370
0:04:25	30.0	19266	25550
0:04:30	30.0	19504	25682
0:04:35	30.0	19396	25973
0:04:40	30.0	19526	26002
0:04:45	30.0	19532	26237
0:04:50	30.0	19448	26598
0:04:55	30.0	19492	26584
0:05:00	30.0	19633	26948
0:05:05	30.0	19385	27173
0:05:10	30.0	19668	27614
0:05:15	30.0	19547	27412
0:05:20	30.0	19568	27670
0:05:25	30.0	19574	27791
0:05:30	30.0	19685	28220
0:05:35	30.0	19775	28232
0:05:40	30.0	19601	28365
0:05:45	30.0	19779	28668
0:05:50	30.0	19853	28963
0:05:55	30.0	19802	29239
0:06:00	30.0	19788	29329
0:06:05	30.0	19808	29673
0:06:10	30.0	19937	29673
0:06:15	30.0	19867	29962
0:06:20	30.1	19935	30107
0:06:25	30.0	20012	30386
0:06:30	30.0	20182	30408
0:06:35	30.0	20214	30654
0:06:40	30.0	20019	30759
0:06:45	30.0	20271	30985
0:06:50	30.0	20143	31214
0:06:55	30.0	20220	31484
0:07:00	30.0	20193	31664
0:07:05	30.0	20209	31792
0:07:10	30.0	20299	31895
0:07:15	30.0	20113	32239
0:07:20	30.0	20368	32466
0:07:25	30.0	20541	32614
0:07:30	30.0	20434	32771
0:07:35	30.0	20352	33057
0:07:40	30.0	20310	33251
0:07:45	30.0	20482	33472
0:07:50	30.0	20549	33519
0:07:55	30.0	20542	33829
0:08:00	30.0	20394	33796
0:08:05	30.0	20522	34271
0:08:10	30.0	20451	34314
0:08:15	30.0	20659	34674
0:08:20	30.0	20813	34800
0:08:25	30.0	20666	34846
0:08:30	30.0	20826	34934
0:08:35	30.0	20769	35543
0:08:40	30.0	20693	35338
0:08:45	30.0	20700	35637
0:08:50	30.0	20765	35807
0:08:55	30.0	20872	35789
0:09:00	30.0	20884	36092
0:09:05	30.0	20990	36255
0:09:10	30.0	21020	36617
0:09:15	30.0	20894	36708
0:09:20	30.0	21002	36932
0:09:25	30.0	21220	37159
0:09:30	30.0	21022	37275
0:09:35	30.0	21091	37315
0:09:40	30.0	21152	37530
0:09:45	30.0	21157	37720
0:09:50	30.0	21144	37687
0:09:55	30.0	21202	37995
0:10:00	30.0	21198	38209
0:10:05	30.0	21246	38252
0:10:10	30.0	21294	38528
0:10:15	30.0	21348	38649
0:10:20	30.0	21434	38689
0:10:25	30.0	21339	39211
0:10:30	30.0	21377	39107
0:10:35	30.0	21327	39084
0:10:40	30.0	21473	39240
0:10:45	30.0	21538	39768
0:10:50	30.0	21538	39923
0:10:55	30.0	21513	40165
0:11:00	30.1	21560	40250
0:11:05	30.0	21515	40419
0:11:10	30.0	21722	40485
0:11:15	30.0	21729	40806
0:11:20	30.0	21624	40576
0:11:25	30.0	21770	40709
0:11:30	30.0	21698	41084
0:11:35	30.0	21820	41280
0:11:40	30.0	21802	41283
0:11:45	30.0	21796	41579
0:11:50	30.1	21786	41870
0:11:55	30.0	21896	41746
0:12:00	30.1	22033	41949
0:12:05	30.0	21917	42123
0:12:10	30.0	22001	42174
0:12:15	30.0	21941	42260
0:12:20	30.0	22125	42325
0:12:25	30.0	22063	42562
0:12:30	30.0	22137	42760
0:12:35	30.0	22228	42568
0:12:40	30.0	22236	43174
0:12:45	30.0	22181	43186
0:12:50	30.1	22257	43014
0:12:55	30.0	22252	43557
0:13:00	30.0	22266	43497
0:13:05	30.0	22261	43794
0:13:10	30.0	22329	44107
0:13:15	30.0	22525	43943
0:13:20	30.0	22358	43983
0:13:25	30.0	22281	44078
0:13:30	30.0	22373	44242
0:13:35	30.0	22536	44449
0:13:40	30.0	22612	44797
0:13:45	30.0	22531	44772
0:13:50	30.0	22550	44651
0:13:55	30.0	22689	44793
0:14:00	30.0	22694	44662
0:14:05	30.0	22698	45414
0:14:10	30.0	22724	45222
0:14:15	30.0	22763	45417
0:14:20	30.0	22620	45482
0:14:25	30.0	22811	45552
0:14:30	30.0	22733	45700
0:14:35	30.0	22938	45810
0:14:40	30.0	22901	45693
0:14:45	30.0	22970	45953
0:14:50	30.0	22919	46108
0:14:55	30.0	23125	46442
0:15:00	30.0	23034	46246
0:15:05	30.0	22934	46518
0:15:10	30.0	22985	46489
0:15:15	30.0	23003	46636
0:15:20	30.0	23047	46388
0:15:25	30.0	23046	46772
0:15:30	30.0	23171	46700
0:15:35	30.0	23131	46861
0:15:40	30.0	23163	46907
0:15:45	30.0	23338	47346
0:15:50	30.0	23427	47242
0:15:55	30.0	23408	47720
0:16:00	30.0	23179	47236
0:16:05	30.0	23419	47184
0:16:10	30.0	23481	47591
0:16:15	30.0	23471	47645
0:16:20	30.0	23551	47355
0:16:25	30.0	23509	47782
0:16:30	30.0	23558	47526
0:16:35	30.0	23492	47663
0:16:40	30.0	23568	47727
0:16:45	30.1	23637	48299
0:16:50	30.0	23658	48005
0:16:55	30.0	23865	47876
0:17:00	30.0	23803	48252
0:17:05	30.0	23911	48195
0:17:10	30.0	23814	48163
0:17:15	30.0	23815	48213
0:17:20	30.0	23792	48306
0:17:25	30.0	23856	48493
0:17:30	30.0	23909	48292
0:17:35	30.0	23854	48562
0:17:40	30.0	23843	48693
0:17:45	30.0	23917	48485
0:17:50	30.0	24075	48430
0:17:55	30.0	24148	48969
0:18:00	30.0	24114	49194
0:18:05	30.0	24083	48516
0:18:10	30.0	24081	48791
0:18:15	30.0	24199	49186
0:18:20	30.0	24299	48782
0:18:25	30.0	24148	49315
0:18:30	30.0	24245	48995
0:18:35	30.0	24245	49057
0:18:40	30.0	24432	49171
0:18:45	30.0	24371	49590
0:18:50	30.0	24465	49236
0:18:55	30.0	24348	49222
0:19:00	30.0	24558	49599
0:19:05	30.0	24485	49298
0:19:10	30.0	24573	49106
0:19:15	30.0	24542	49502
0:19:20	30.0	24546	49336
0:19:25	30.0	24543	49242
0:19:30	30.0	24735	49480
0:19:35	30.0	24678	49284
0:19:40	30.0	24651	49598
0:19:45	30.0	24744	49661
0:19:50	30.0	24582	49828
0:19:55	30.0	24768	49761
0:20:00	30.1	24809	49601
0:20:05	30.0	24860	49782
0:20:10	30.0	24830	49599
0:20:15	30.0	24825	49733
0:20:20	30.0	24729	49823
0:20:25	30.0	24938	50120
0:20:30	30.0	24913	49902
0:20:35	30.0	25087	49895
0:20:40	30.0	24977	49971
0:20:45	30.0	25066	49810
0:20:50	30.0	25172	49755
0:20:55	30.0	24978	50020
0:21:00	30.0	25164	49885
0:21:05	30.0	25098	49872
0:21:10	30.0	25129	50168
0:21:15	30.0	25368	50344
0:21:20	30.0	25186	49782
0:21:25	30.0	25368	50072
0:21:30	30.0	25318	49918
0:21:35	30.0	25329	50012
0:21:40	30.0	25349	50037
0:21:45	30.0	25400	50066
0:21:50	30.0	25623	50116
0:21:55	30.0	25326	50247
0:22:00	30.0	25565	50033
0:22:05	30.0	25667	50229
0:22:10	30.0	25628	50012
0:22:15	30.0	25720	50117
0:22:20	30.0	25604	50220
0:22:25	30.0	25719	50211
0:22:30	30.0	25711	50045
0:22:35	30.0	25831	50232
0:22:40	30.0	25644	50118
0:22:45	30.0	25761	50531
0:22:50	30.0	25635	49990
0:22:55	30.0	25886	50709
0:23:00	30.0	25970	50381
0:23:05	30.0	25848	50520
0:23:10	30.0	25804	50205
0:23:15	30.1	25938	50257
0:23:20	30.1	25822	50021
0:23:25	30.0	26034	50323
0:23:30	30.0	26119	50096
0:23:35	30.0	26123	50274
0:23:40	30.0	26032	50164
0:23:45	30.0	26121	50383
0:23:50	30.0	26193	50163
0:23:55	30.0	26042	50392
0:24:00	30.0	26226	50183
0:24:05	30.0	26129	50381
0:24:10	30.0	26213	50451
0:24:15	30.0	26317	50392
0:24:20	30.0	26490	50225
0:24:25	30.0	26388	50599
0:24:30	30.0	26539	50333
0:24:35	30.0	26430	50361
0:24:40	30.0	26532	50612
0:24:45	30.0	26600	50324
0:24:50	30.0	26556	50148
0:24:55	30.0	26656	50383
0:25:00	30.0	26553	50520
0:25:05	30.0	26486	50402
0:25:10	30.0	26601	50469
0:25:15	30.0	26635	50470
0:25:20	30.0	26808	50388
0:25:25	30.0	26693	50096
0:25:30	30.0	26725	50535
0:25:35	30.0	26821	50343
0:25:40	30.0	26743	50376
0:25:45	30.0	26872	50466
0:25:50	30.0	26769	50171
0:25:55	30.0	26852	50662
0:26:00	30.0	26971	50385
0:26:05	30.0	27058	50613
0:26:10	30.0	27165	50071
0:26:15	30.0	26909	50422
0:26:20	30.0	27083	50782
0:26:25	30.0	27050	50633
0:26:30	30.0	26926	50334
0:26:35	30.0	26964	50323
0:26:40	30.0	27126	50379
0:26:45	30.0	27162	50511
0:26:50	30.1	27273	50537
0:26:55	30.0	27133	50556
0:27:00	30.0	27110	50290
0:27:05	30.0	27242	50455
0:27:10	30.0	27376	50519
0:27:15	30.0	27199	50251
0:27:20	30.0	27350	50371
0:27:25	30.0	27371	50460
0:27:30	30.0	27334	50379
0:27:35	30.0	27229	50353
0:27:40	30.0	27395	50154
0:27:45	30.0	27661	50443
0:27:50	30.0	27563	50431
0:27:55	30.0	27500	50348
0:28:00	30.0	27468	50382
0:28:05	30.0	27711	50613
0:28:10	30.0	27758	50864
0:28:15	30.0	27665	50478
0:28:20	30.0	27709	50594
0:28:25	30.0	27834	50588
0:28:30	30.0	27597	50516
0:28:35	30.0	27650	50288
0:28:40	30.0	27607	50095
0:28:45	30.0	27839	50410
0:28:50	30.0	27871	50471
0:28:55	30.0	27956	50491
0:29:00	30.0	27759	50398
0:29:05	30.0	27900	50419
0:29:10	30.0	28040	50338
0:29:15	29.9	28088	50528
0:29:20	30.0	28167	50349
0:29:25	30.0	27945	50230
0:29:30	30.0	28205	50427
0:29:35	30.0	28263	50481
0:29:40	30.0	28225	50475
0:29:45	30.0	28182	50314
0:29:50	30.0	28275	50573
0:29:55	30.0	28301	50448
0:30:00	30.0	28200	50613
0:30:05	30.0	28231	50231
0:30:10	30.0	28345	50452
0:30:15	30.0	28460	50399
0:30:20	30.0	28386	50465
