

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190520_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	5/20/2019
Time	4:58:17 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	C5..C6
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C					SPL1	SPL2							Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C5	C6
0:00:00	30.0	6056	6362
0:00:05	30.0	6024	6465
0:00:10	30.0	6036	6407
0:00:15	30.0	6088	6535
0:00:20	30.0	6079	6619
0:00:25	30.0	6061	6612
0:00:30	30.0	6070	6636
0:00:35	30.0	6103	6737
0:00:40	30.0	6123	6731
0:00:45	30.0	6095	6742
0:00:50	30.0	6040	6771
0:00:55	30.0	6079	6836
0:01:00	30.0	6067	6907
0:01:05	30.0	6006	6979
0:01:10	30.0	6098	6963
0:01:15	30.0	6040	7075
0:01:20	30.0	6093	6995
0:01:25	30.0	6089	7054
0:01:30	30.0	6058	7069
0:01:35	30.0	6089	7174
0:01:40	30.0	6092	7203
0:01:45	30.0	6114	7212
0:01:50	30.0	6105	7247
0:01:55	30.0	6066	7281
0:02:00	30.0	6109	7336
0:02:05	30.0	6139	7397
0:02:10	30.0	6165	7434
0:02:15	30.0	6141	7478
0:02:20	30.0	6158	7490
0:02:25	30.0	6174	7503
0:02:30	30.0	6145	7592
0:02:35	30.1	6163	7623
0:02:40	30.1	6163	7614
0:02:45	30.1	6111	7695
0:02:50	30.0	6151	7690
0:02:55	30.0	6068	7727
0:03:00	30.0	6146	7794
0:03:05	30.0	6178	7843
0:03:10	30.0	6142	7871
0:03:15	30.0	6198	7907
0:03:20	30.0	6177	7961
0:03:25	30.0	6137	7998
0:03:30	30.0	6135	8053
0:03:35	30.0	6209	8037
0:03:40	30.0	6135	8137
0:03:45	30.0	6201	8171
0:03:50	30.0	6149	8241
0:03:55	30.0	6180	8265
0:04:00	30.0	6200	8310
0:04:05	30.0	6173	8344
0:04:10	30.0	6169	8442
0:04:15	30.0	6157	8456
0:04:20	30.0	6175	8510
0:04:25	30.0	6195	8536
0:04:30	30.0	6139	8601
0:04:35	30.0	6140	8709
0:04:40	30.0	6198	8751
0:04:45	30.0	6203	8773
0:04:50	30.0	6210	8850
0:04:55	30.0	6177	8809
0:05:00	30.0	6185	8854
0:05:05	30.0	6220	8911
0:05:10	30.0	6191	8944
0:05:15	30.0	6203	9087
0:05:20	30.0	6199	9011
0:05:25	30.0	6206	9119
0:05:30	30.0	6270	9078
0:05:35	30.0	6224	9125
0:05:40	30.0	6212	9235
0:05:45	30.0	6292	9186
0:05:50	30.0	6284	9322
0:05:55	30.0	6270	9327
0:06:00	30.0	6230	9369
0:06:05	30.0	6222	9447
0:06:10	30.0	6242	9523
0:06:15	30.0	6241	9512
0:06:20	30.0	6230	9609
0:06:25	30.0	6287	9594
0:06:30	30.0	6274	9619
0:06:35	30.0	6281	9681
0:06:40	30.0	6282	9761
0:06:45	30.0	6285	9744
0:06:50	30.0	6257	9868
0:06:55	30.0	6269	9826
0:07:00	30.0	6270	9994
0:07:05	30.0	6291	9996
0:07:10	30.0	6288	9987
0:07:15	30.0	6272	10042
0:07:20	30.0	6286	10157
0:07:25	30.0	6330	10110
0:07:30	30.0	6294	10127
0:07:35	30.0	6283	10236
0:07:40	30.0	6304	10309
0:07:45	30.0	6307	10314
0:07:50	30.0	6347	10337
0:07:55	30.0	6281	10472
0:08:00	30.0	6302	10415
0:08:05	30.0	6264	10437
0:08:10	30.0	6312	10420
0:08:15	30.0	6261	10487
0:08:20	30.0	6278	10638
0:08:25	30.0	6315	10631
0:08:30	30.0	6298	10616
0:08:35	30.0	6265	10655
0:08:40	30.0	6302	10747
0:08:45	30.0	6268	10717
0:08:50	30.0	6254	10889
0:08:55	30.0	6322	10954
0:09:00	30.0	6281	10892
0:09:05	30.0	6349	10954
0:09:10	30.0	6326	10978
0:09:15	30.0	6342	11021
0:09:20	30.0	6322	11076
0:09:25	30.0	6325	11141
0:09:30	30.0	6315	11086
0:09:35	30.0	6370	11108
0:09:40	30.0	6322	11257
0:09:45	30.0	6251	11363
0:09:50	30.0	6319	11338
0:09:55	30.0	6321	11405
0:10:00	30.0	6336	11411
0:10:05	30.0	6352	11514
0:10:10	30.0	6320	11445
0:10:15	30.0	6310	11548
0:10:20	30.0	6337	11497
0:10:25	30.0	6355	11695
0:10:30	30.0	6333	11698
0:10:35	30.0	6365	11747
0:10:40	30.0	6368	11679
0:10:45	30.0	6333	11804
0:10:50	30.0	6334	11793
0:10:55	30.0	6329	11875
0:11:00	30.0	6368	11930
