

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190530_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay_50uM_sensor.prt



Plate Number	Plate 1
Date	5/30/2019
Time	3:48:01 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E1..E6
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 55
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6							Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6
0:00:00	30.0	6175	6310	6552	6889	6118	6198
0:00:05	30.0	6216	6375	6514	6962	6113	6276
0:00:10	30.0	6168	6535	6543	7052	6173	6459
0:00:15	30.0	6242	6574	6599	7158	6160	6532
0:00:20	30.0	6220	6723	6588	7181	6174	6603
0:00:25	30.0	6264	6774	6618	7283	6176	6707
0:00:30	30.0	6260	6832	6655	7319	6199	6838
0:00:35	30.0	6247	6984	6629	7436	6184	6898
0:00:40	30.0	6242	6989	6600	7494	6159	6988
0:00:45	30.0	6280	7143	6603	7593	6216	7156
0:00:50	30.0	6286	7196	6645	7698	6206	7200
0:00:55	30.0	6260	7257	6622	7723	6209	7332
0:01:00	30.0	6260	7344	6654	7882	6191	7503
0:01:05	30.0	6276	7420	6643	7920	6226	7563
0:01:10	30.0	6264	7578	6623	8001	6187	7614
0:01:15	30.0	6265	7662	6645	8092	6128	7797
0:01:20	30.0	6259	7774	6613	8224	6249	7834
0:01:25	30.0	6232	7782	6614	8260	6226	7919
0:01:30	30.0	6256	7883	6649	8352	6212	8072
0:01:35	30.0	6269	7941	6603	8447	6205	8174
0:01:40	30.0	6250	8031	6654	8487	6243	8290
0:01:45	30.0	6243	8065	6608	8545	6192	8337
0:01:50	30.0	6208	8219	6623	8599	6232	8472
0:01:55	30.0	6263	8334	6657	8659	6154	8535
0:02:00	30.1	6231	8418	6684	8752	6198	8745
0:02:05	30.0	6295	8443	6704	8860	6229	8737
0:02:10	30.0	6295	8599	6669	8960	6268	8932
0:02:15	30.0	6287	8755	6656	9016	6239	9045
0:02:20	30.0	6272	8778	6688	9017	6204	9081
0:02:25	30.0	6260	8892	6690	9165	6193	9278
0:02:30	30.0	6280	8986	6633	9225	6191	9266
0:02:35	30.0	6255	9085	6704	9380	6209	9464
0:02:40	30.0	6261	9089	6708	9448	6227	9548
0:02:45	30.0	6284	9232	6681	9461	6177	9703
0:02:50	30.0	6257	9303	6667	9541	6222	9755
0:02:55	30.0	6302	9375	6677	9635	6277	9879
0:03:00	30.0	6325	9454	6648	9756	6240	9913
0:03:05	30.0	6282	9662	6752	9828	6242	10126
0:03:10	30.0	6256	9621	6695	9817	6212	10121
0:03:15	30.0	6288	9768	6741	9906	6271	10305
0:03:20	30.0	6253	9891	6716	10072	6202	10388
0:03:25	30.0	6289	9934	6709	10030	6266	10514
0:03:30	30.0	6317	10029	6741	10209	6258	10563
0:03:35	30.0	6302	10117	6746	10241	6277	10743
0:03:40	30.0	6277	10205	6733	10320	6216	10928
0:03:45	30.0	6267	10227	6690	10428	6233	10922
0:03:50	30.0	6331	10334	6757	10432	6257	11074
0:03:55	30.0	6223	10368	6745	10609	6279	11237
0:04:00	30.0	6307	10495	6734	10732	6224	11184
0:04:05	30.0	6304	10638	6741	10706	6276	11299
0:04:10	30.0	6320	10775	6764	10846	6230	11412
0:04:15	30.0	6306	10739	6760	10864	6235	11476
0:04:20	30.0	6334	10844	6791	10930	6276	11634
0:04:25	30.0	6298	10927	6734	11019	6248	11774
0:04:30	30.0	6275	11054	6788	11085	6267	11847
0:04:35	30.0	6283	11203	6781	11294	6208	11995
0:04:40	30.0	6258	11167	6758	11368	6238	12065
0:04:45	30.0	6241	11306	6796	11274	6242	12327
0:04:50	30.0	6334	11400	6778	11448	6219	12218
0:04:55	30.0	6262	11461	6730	11531	6231	12428
0:05:00	30.0	6272	11573	6779	11641	6235	12544
0:05:05	30.0	6253	11659	6781	11692	6245	12700
0:05:10	30.0	6300	11760	6774	11690	6296	12672
0:05:15	30.0	6218	11749	6817	11913	6290	12801
0:05:20	30.0	6281	11909	6824	11898	6267	12956
0:05:25	30.0	6285	11931	6846	11975	6247	12951
0:05:30	30.0	6284	12015	6746	12052	6235	13129
0:05:35	30.0	6225	12091	6830	12054	6323	13269
0:05:40	30.0	6266	12218	6819	12196	6228	13351
0:05:45	30.0	6247	12333	6776	12272	6278	13525
0:05:50	30.1	6277	12425	6803	12327	6312	13583
0:05:55	30.0	6249	12469	6759	12581	6280	13702
0:06:00	30.0	6304	12513	6792	12606	6268	13842
0:06:05	30.0	6275	12629	6847	12607	6337	13959
0:06:10	30.0	6293	12788	6792	12643	6274	14025
0:06:15	30.0	6293	12877	6849	12796	6257	14031
0:06:20	30.0	6339	12835	6800	12903	6333	14276
0:06:25	30.0	6351	13059	6818	12944	6328	14294
0:06:30	30.0	6280	13140	6789	13036	6349	14384
0:06:35	30.0	6260	13067	6832	13042	6331	14578
0:06:40	30.0	6305	13171	6801	13204	6313	14662
0:06:45	30.0	6290	13272	6794	13255	6339	14841
0:06:50	30.0	6291	13355	6816	13458	6318	14843
0:06:55	30.0	6279	13355	6918	13443	6294	14958
0:07:00	30.0	6284	13545	6795	13560	6324	15036
0:07:05	30.0	6312	13643	6776	13607	6337	15242
0:07:10	30.0	6332	13799	6829	13680	6324	15409
0:07:15	30.0	6325	13795	6789	13706	6286	15359
0:07:20	30.0	6317	13743	6816	13727	6330	15606
0:07:25	30.0	6291	13910	6861	13872	6279	15595
