

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190530_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay_50uM_sensor.prt



Plate Number	Plate 1
Date	5/30/2019
Time	5:00:58 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E7..E8
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 55
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E							SPL1	SPL2					Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E7	E8
0:00:00	30.0	6402	6479
0:00:05	30.0	6359	6517
0:00:10	30.0	6371	6594
0:00:15	30.0	6381	6617
0:00:20	30.0	6350	6694
0:00:25	30.0	6434	6731
0:00:30	30.0	6350	6778
0:00:35	30.0	6436	6816
0:00:40	30.0	6460	6823
0:00:45	30.0	6365	6925
0:00:50	30.0	6368	6986
0:00:55	30.0	6381	6967
0:01:00	30.0	6383	6992
0:01:05	30.0	6391	7054
0:01:10	30.0	6406	7125
0:01:15	30.0	6372	7109
0:01:20	30.0	6411	7186
0:01:25	30.0	6452	7244
0:01:30	30.0	6398	7291
0:01:35	30.0	6433	7318
0:01:40	30.0	6408	7351
0:01:45	30.0	6420	7402
0:01:50	30.0	6377	7406
0:01:55	30.0	6388	7480
0:02:00	30.0	6427	7507
0:02:05	30.0	6446	7625
0:02:10	30.0	6413	7603
0:02:15	30.0	6413	7619
0:02:20	30.0	6391	7657
0:02:25	30.0	6441	7715
0:02:30	30.0	6422	7754
0:02:35	30.0	6505	7792
0:02:40	30.0	6408	7839
0:02:45	30.0	6510	7806
0:02:50	30.0	6411	7902
0:02:55	30.0	6433	7933
0:03:00	30.0	6417	8002
0:03:05	30.0	6494	8044
0:03:10	30.0	6470	8064
0:03:15	30.0	6441	8063
0:03:20	30.0	6435	8182
0:03:25	30.0	6469	8178
0:03:30	30.0	6428	8247
0:03:35	30.0	6442	8295
0:03:40	30.0	6386	8393
0:03:45	30.0	6422	8371
0:03:50	30.0	6410	8452
0:03:55	30.0	6472	8449
0:04:00	30.0	6414	8509
0:04:05	30.0	6427	8522
0:04:10	30.0	6439	8527
0:04:15	30.0	6500	8596
0:04:20	30.0	6429	8650
0:04:25	30.0	6494	8717
0:04:30	30.0	6422	8716
0:04:35	30.0	6415	8760
0:04:40	30.0	6403	8812
0:04:45	30.0	6450	8896
0:04:50	30.0	6436	8929
0:04:55	30.0	6423	8960
0:05:00	30.0	6429	8942
0:05:05	30.0	6489	9023
0:05:10	30.0	6437	9123
0:05:15	30.0	6481	9169
0:05:20	30.0	6482	9208
0:05:25	30.0	6503	9248
0:05:30	30.0	6484	9282
0:05:35	30.0	6474	9299
0:05:40	30.0	6474	9389
0:05:45	30.0	6473	9451
0:05:50	30.0	6458	9442
0:05:55	30.0	6434	9491
0:06:00	30.0	6455	9641
0:06:05	30.0	6491	9512
0:06:10	30.0	6410	9640
0:06:15	30.0	6493	9648
0:06:20	30.0	6512	9712
0:06:25	30.0	6490	9769
0:06:30	30.0	6444	9863
0:06:35	30.0	6507	9843
0:06:40	30.0	6472	9901
0:06:45	30.0	6482	9982
0:06:50	30.0	6506	9990
0:06:55	30.0	6433	10087
0:07:00	30.0	6525	10071
0:07:05	30.0	6467	10104
0:07:10	30.0	6507	10141
0:07:15	30.0	6509	10191
0:07:20	30.0	6536	10217
0:07:25	30.0	6470	10305
0:07:30	30.0	6487	10345
0:07:35	30.0	6471	10338
0:07:40	30.0	6525	10408
0:07:45	30.0	6508	10334
0:07:50	30.0	6461	10535
0:07:55	30.0	6482	10570
0:08:00	30.0	6475	10666
0:08:05	30.0	6414	10630
0:08:10	30.0	6502	10684
0:08:15	30.0	6474	10709
0:08:20	30.0	6483	10730
0:08:25	30.0	6489	10862
0:08:30	30.0	6495	10926
0:08:35	30.0	6551	10943
0:08:40	30.0	6474	11012
0:08:45	30.0	6525	11020
0:08:50	30.0	6520	11057
0:08:55	30.0	6488	11075
0:09:00	30.0	6484	11135
0:09:05	30.0	6509	11211
0:09:10	30.0	6491	11263
0:09:15	30.0	6485	11359
0:09:20	30.0	6522	11256
0:09:25	30.0	6459	11358
0:09:30	30.0	6465	11524
0:09:35	30.0	6518	11413
0:09:40	30.0	6504	11390
0:09:45	30.0	6506	11554
0:09:50	30.0	6534	11646
0:09:55	30.0	6540	11631
0:10:00	30.0	6520	11708
0:10:05	30.0	6520	11707
