

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190531_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	5/31/2019
Time	3:21:46 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:39:30 (HH:MM:SS), Interval 0:00:06, 996 Reads
    Read	Fluorescence Endpoint
	E9..E10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E									SPL1	SPL2			Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E9	E10
0:00:00	30.0	8607	9200
0:00:06	30.0	8572	9283
0:00:12	30.0	8610	9465
0:00:18	30.0	8688	9585
0:00:24	30.0	8578	9787
0:00:30	30.0	8600	9852
0:00:36	30.0	8616	9969
0:00:42	30.0	8640	10165
0:00:48	30.0	8671	10213
0:00:54	30.0	8649	10412
0:01:00	30.0	8687	10541
0:01:06	30.0	8697	10680
0:01:12	30.0	8706	10871
0:01:18	30.0	8710	10987
0:01:24	30.0	8706	11122
0:01:30	30.1	8699	11288
0:01:36	30.0	8706	11364
0:01:42	30.0	8682	11565
0:01:48	30.0	8679	11724
0:01:54	30.0	8694	11893
0:02:00	30.0	8714	11951
0:02:06	30.0	8740	12011
0:02:12	30.0	8743	12246
0:02:18	30.0	8695	12362
0:02:24	30.0	8730	12472
0:02:30	30.0	8729	12690
0:02:36	30.0	8726	12674
0:02:42	30.0	8692	12956
0:02:48	30.0	8747	13054
0:02:54	30.0	8726	13175
0:03:00	30.0	8751	13272
0:03:06	30.0	8712	13428
0:03:12	30.0	8718	13551
0:03:18	30.0	8794	13733
0:03:24	30.0	8716	13901
0:03:30	30.0	8754	13982
0:03:36	30.0	8783	14227
0:03:42	30.0	8782	14399
0:03:48	30.0	8751	14506
0:03:54	30.0	8745	14547
0:04:00	30.0	8727	14750
0:04:06	30.0	8780	14934
0:04:12	30.0	8772	15130
0:04:18	30.0	8752	15184
0:04:24	30.0	8774	15407
0:04:30	30.0	8744	15487
0:04:36	30.0	8836	15621
0:04:42	30.0	8797	15796
0:04:48	30.0	8743	15961
0:04:54	30.0	8829	16145
0:05:00	30.0	8820	16185
0:05:06	30.0	8761	16447
0:05:12	30.0	8828	16421
0:05:18	30.0	8709	16730
0:05:24	30.0	8827	16806
0:05:30	30.0	8800	16972
0:05:36	30.0	8796	17081
0:05:42	30.0	8773	17298
0:05:48	30.0	8767	17200
0:05:54	30.0	8847	17570
0:06:00	30.0	8869	17700
0:06:06	30.1	8850	17778
0:06:12	30.1	8866	17899
0:06:18	30.0	8800	18128
0:06:24	30.0	8876	18302
0:06:30	30.0	8917	18319
0:06:36	30.0	8798	18558
0:06:42	30.0	8755	18723
0:06:48	30.0	8810	18780
0:06:54	30.0	8864	18928
0:07:00	30.1	8904	19044
0:07:06	30.0	8860	19339
0:07:12	30.0	8825	19397
0:07:18	30.0	8807	19479
0:07:24	30.0	8894	19684
0:07:30	30.0	8988	19673
0:07:36	30.0	8870	19955
0:07:42	30.0	8897	20160
0:07:48	30.0	8912	20322
0:07:54	30.0	8856	20406
0:08:00	30.0	8898	20545
0:08:06	30.0	8926	20827
0:08:12	30.0	8938	20871
0:08:18	30.0	8868	21065
0:08:24	30.0	8949	21306
0:08:30	30.0	8904	21307
0:08:36	30.0	8880	21584
0:08:42	30.0	8899	21623
0:08:48	30.0	8904	21866
0:08:54	30.0	8986	22002
0:09:00	30.0	8947	21968
0:09:06	30.0	8915	22016
0:09:12	30.0	8855	22513
0:09:18	30.0	8948	22568
0:09:24	30.0	8954	22765
0:09:30	30.0	8915	22852
0:09:36	30.0	8935	22945
0:09:42	30.0	8895	23087
0:09:48	30.0	8930	23238
0:09:54	30.0	8903	23433
0:10:00	30.0	8889	23568
0:10:06	30.0	8993	23615
0:10:12	30.0	9001	23720
0:10:18	30.0	8973	24093
0:10:24	30.0	8914	24102
0:10:30	30.0	8965	24149
0:10:36	30.0	8997	24326
0:10:42	30.0	8979	24551
0:10:48	30.1	8955	24768
0:10:54	30.0	8939	24967
0:11:00	30.0	8953	25089
0:11:06	30.0	8939	25132
0:11:12	30.0	8998	25235
0:11:18	30.0	9009	25369
0:11:24	30.0	8979	25508
0:11:30	30.0	8951	25726
0:11:36	30.0	8985	25682
0:11:42	30.0	9003	26014
0:11:48	30.1	8970	26067
0:11:54	30.0	8955	26125
0:12:00	30.0	8996	26353
0:12:06	30.0	9027	26435
0:12:12	30.0	9013	26647
0:12:18	30.0	8992	26644
0:12:24	30.0	9035	26812
0:12:30	30.0	8972	27064
0:12:36	30.0	9038	27109
0:12:42	30.0	9122	27473
0:12:48	30.0	9054	27444
0:12:54	30.0	9019	27616
0:13:00	30.0	9048	27825
0:13:06	30.0	8983	27618
0:13:12	30.0	9087	28025
0:13:18	30.0	8994	28162
0:13:24	30.0	9043	28335
0:13:30	29.9	9003	28461
0:13:36	30.0	9065	28458
0:13:42	30.0	9031	28657
0:13:48	30.0	9039	28748
0:13:54	30.0	9127	28891
0:14:00	30.0	9080	29134
0:14:06	30.0	9050	29315
0:14:12	30.0	9035	29393
0:14:18	30.0	9049	29422
0:14:24	30.0	9026	29588
0:14:30	30.0	9059	29637
0:14:36	30.0	9060	29880
0:14:42	30.0	9095	29978
0:14:48	30.0	9118	30244
0:14:54	30.0	9103	30602
0:15:00	30.0	9078	30288
0:15:06	30.0	9054	30548
0:15:12	30.0	9089	30541
0:15:18	30.0	9027	31049
0:15:24	30.0	9184	30864
0:15:30	30.0	9119	30968
0:15:36	30.0	9143	31144
0:15:42	30.0	9122	31377
0:15:48	30.1	9162	31288
0:15:54	30.0	9103	31707
0:16:00	30.0	9177	31451
0:16:06	30.0	9134	31808
0:16:12	30.0	9182	31721
0:16:18	30.0	9147	31933
0:16:24	30.0	9124	32068
0:16:30	30.0	9171	32129
0:16:36	30.0	9137	32336
0:16:42	30.0	9107	32528
0:16:48	30.0	9159	32593
0:16:54	30.0	9143	32785
0:17:00	30.0	9150	32702
0:17:06	30.0	9098	32800
0:17:12	30.0	9175	32916
0:17:18	30.0	9089	33165
0:17:24	30.0	9145	33244
0:17:30	30.0	9171	33145
0:17:36	30.0	9183	33295
0:17:42	30.0	9176	33674
0:17:48	30.0	9155	33445
0:17:54	30.0	9174	33481
0:18:00	30.0	9102	34113
0:18:06	30.0	9218	33635
0:18:12	30.0	9186	33752
0:18:18	30.0	9177	34097
0:18:24	30.0	9143	34301
0:18:30	30.0	9204	34166
0:18:36	30.0	9187	34203
0:18:42	30.0	9187	34291
0:18:48	30.0	9246	34294
0:18:54	30.0	9238	34744
0:19:00	30.0	9224	34460
0:19:06	30.0	9209	34706
0:19:12	30.1	9169	34740
0:19:18	30.0	9243	34818
0:19:24	30.0	9271	35103
0:19:30	30.0	9280	34873
0:19:36	30.0	9183	34780
0:19:42	30.0	9213	34911
0:19:48	30.0	9237	34883
0:19:54	30.0	9272	35034
0:20:00	30.0	9333	34945
0:20:06	30.1	9177	35112
0:20:12	30.1	9280	34936
0:20:18	30.0	9237	35140
0:20:24	30.0	9260	35005
0:20:30	30.0	9241	35163
0:20:36	30.0	9218	35018
0:20:42	30.0	9263	35383
0:20:48	30.0	9215	35137
0:20:54	30.0	9264	35447
0:21:00	30.0	9284	35204
0:21:06	30.0	9333	35278
0:21:12	30.1	9290	35399
0:21:18	30.0	9274	35164
0:21:24	30.0	9346	35544
0:21:30	30.0	9294	35273
0:21:36	30.0	9259	35323
0:21:42	30.0	9318	35328
