

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190605_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/5/2019
Time	4:08:50 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	G7..G8
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G							SPL1	SPL2					Well ID
H													Well ID

425,457

Time	T° 425,457	G7	G8
0:00:00	30.0	7272	7452
0:00:05	30.0	7289	7489
0:00:10	30.0	7277	7491
0:00:15	30.0	7310	7560
0:00:20	30.0	7332	7596
0:00:25	30.0	7355	7605
0:00:30	30.0	7317	7649
0:00:35	30.0	7409	7662
0:00:40	30.1	7384	7661
0:00:45	30.0	7363	7740
0:00:50	30.0	7380	7784
0:00:55	30.0	7361	7748
0:01:00	30.0	7367	7771
0:01:05	30.0	7361	7833
0:01:10	30.0	7370	7906
0:01:15	30.0	7318	7896
0:01:20	30.0	7402	7912
0:01:25	30.0	7397	7943
0:01:30	30.0	7388	7907
0:01:35	30.0	7355	7990
0:01:40	30.0	7413	8047
0:01:45	30.0	7352	8005
0:01:50	30.0	7418	8057
0:01:55	30.0	7363	8108
0:02:00	30.0	7399	8116
0:02:05	30.0	7374	8153
0:02:10	30.0	7383	8190
0:02:15	30.0	7411	8234
0:02:20	30.0	7404	8173
0:02:25	30.0	7362	8321
0:02:30	30.0	7397	8353
0:02:35	30.0	7384	8329
0:02:40	30.0	7402	8379
0:02:45	30.0	7387	8416
0:02:50	30.0	7329	8431
0:02:55	30.0	7404	8524
0:03:00	30.0	7381	8428
0:03:05	30.0	7327	8540
0:03:10	30.0	7350	8573
0:03:15	30.0	7399	8581
0:03:20	30.0	7403	8638
0:03:25	30.0	7384	8616
0:03:30	30.0	7382	8746
0:03:35	30.0	7394	8759
0:03:40	30.0	7385	8836
0:03:45	30.0	7377	8836
0:03:50	30.0	7357	8841
0:03:55	30.0	7367	8966
0:04:00	30.0	7359	8939
0:04:05	30.0	7442	8997
0:04:10	30.0	7475	9053
0:04:15	30.0	7388	9133
0:04:20	30.0	7362	9159
0:04:25	30.0	7357	9127
0:04:30	30.0	7424	9209
0:04:35	30.0	7342	9263
0:04:40	30.0	7349	9287
0:04:45	30.0	7353	9419
0:04:50	30.0	7376	9392
0:04:55	30.0	7393	9462
0:05:00	30.0	7347	9532
0:05:05	30.0	7374	9639
0:05:10	30.0	7424	9630
0:05:15	30.0	7413	9644
0:05:20	30.0	7395	9728
0:05:25	30.0	7380	9846
0:05:30	30.0	7428	9804
0:05:35	30.0	7404	9909
0:05:40	30.0	7373	9911
0:05:45	30.0	7404	10020
0:05:50	30.0	7406	10093
0:05:55	30.0	7410	10096
0:06:00	30.0	7363	10181
0:06:05	30.0	7403	10216
