

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190606_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/6/2019
Time	3:16:17 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	C7..C12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C							SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C7	C8	C9	C10	C11	C12
0:00:00	30.0	3907	3972	3640	3764	3591	3830
0:00:05	30.0	3864	4023	3624	3786	3603	3765
0:00:10	30.0	3889	4026	3677	3831	3613	3806
0:00:15	30.0	3880	4066	3679	3817	3646	3868
0:00:20	30.0	3913	4139	3680	3841	3610	3712
0:00:25	30.0	3927	4132	3662	3906	3636	3741
0:00:30	30.0	3901	4191	3696	3884	3677	3760
0:00:35	30.0	3940	4242	3674	3948	3645	3749
0:00:40	30.0	3983	4251	3690	3956	3631	3778
0:00:45	29.9	3896	4292	3694	3989	3636	3779
0:00:50	30.0	3921	4360	3661	4005	3660	3773
0:00:55	30.0	3935	4443	3723	4062	3643	3747
0:01:00	30.0	3916	4460	3712	4096	3655	3792
0:01:05	30.0	3979	4499	3676	4122	3595	3802
0:01:10	30.0	3971	4562	3687	4160	3702	3788
0:01:15	30.0	3922	4609	3667	4194	3655	3802
0:01:20	30.0	3984	4646	3703	4235	3665	3800
0:01:25	30.0	3926	4694	3679	4253	3642	3809
0:01:30	30.0	3924	4771	3707	4261	3666	3875
0:01:35	30.0	3949	4865	3685	4349	3671	3858
0:01:40	30.0	3986	4920	3690	4347	3647	3854
0:01:45	30.0	3944	4916	3678	4372	3664	3854
0:01:50	30.0	3988	4994	3683	4423	3643	3877
0:01:55	30.0	3965	5048	3711	4469	3666	3876
0:02:00	30.0	3953	5124	3717	4491	3670	3898
0:02:05	30.0	3985	5186	3739	4584	3647	3878
0:02:10	30.0	3991	5286	3667	4582	3662	3911
0:02:15	30.0	3985	5369	3692	4616	3674	3914
0:02:20	30.0	4021	5449	3723	4658	3640	3919
0:02:25	30.0	3977	5538	3719	4725	3680	3955
0:02:30	30.0	3955	5576	3718	4784	3629	3952
0:02:35	30.0	4000	5671	3717	4812	3694	3946
0:02:40	30.0	3950	5769	3703	4871	3683	3973
0:02:45	30.0	3946	5833	3699	4915	3633	3971
0:02:50	30.0	3997	5970	3678	4977	3624	3967
0:02:55	30.0	4010	6035	3701	5048	3672	3971
0:03:00	30.0	3945	6112	3722	5083	3669	3998
0:03:05	30.0	4022	6165	3691	5137	3679	4010
0:03:10	30.0	4014	6307	3728	5224	3682	4011
0:03:15	30.0	3952	6400	3731	5219	3656	3986
0:03:20	30.0	4008	6522	3736	5323	3641	4048
0:03:25	30.0	3964	6612	3715	5388	3632	4058
0:03:30	30.0	3961	6670	3700	5403	3649	4020
0:03:35	30.0	4007	6779	3717	5472	3657	4048
0:03:40	30.0	4032	6943	3721	5567	3656	4084
0:03:45	30.0	3991	6995	3706	5621	3686	4113
0:03:50	30.0	3991	7090	3696	5639	3669	4087
0:03:55	30.0	3980	7242	3701	5735	3673	4065
0:04:00	30.0	3955	7324	3723	5812	3677	4116
0:04:05	30.0	3995	7443	3740	5939	3646	4115
0:04:10	30.0	4019	7574	3701	5971	3647	4124
0:04:15	30.1	3944	7635	3732	6026	3688	4135
0:04:20	30.1	3995	7773	3702	6152	3656	4143
0:04:25	30.0	4023	7914	3729	6203	3669	4113
0:04:30	30.0	3933	8034	3699	6232	3682	4174
0:04:35	30.0	3993	8118	3742	6330	3683	4192
0:04:40	30.0	3990	8223	3759	6419	3663	4175
0:04:45	29.9	3992	8359	3731	6504	3673	4200
0:04:50	30.0	4006	8465	3718	6481	3697	4223
0:04:55	30.0	4015	8581	3707	6689	3695	4219
0:05:00	30.0	3939	8732	3718	6791	3650	4213
0:05:05	30.0	4006	8817	3725	6915	3695	4263
0:05:10	30.0	4016	8971	3757	6939	3706	4245
0:05:15	30.0	4005	9075	3704	7061	3705	4231
0:05:20	30.0	4026	9267	3725	7153	3662	4263
0:05:25	30.0	4006	9284	3772	7165	3678	4291
0:05:30	30.0	3913	9390	3725	7285	3671	4278
0:05:35	30.0	3915	9602	3706	7396	3680	4319
0:05:40	30.0	3905	9631	3739	7424	3683	4325
