

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190606_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/6/2019
Time	5:02:03 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	A4..A9
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A				SPL1	SPL2	SPL3	SPL4	SPL5	SPL6				Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A4	A5	A6	A7	A8	A9
0:00:00	30.0	7670	7093	6348	7664	7634	6208
0:00:05	30.0	7724	7206	6298	7631	7646	6300
0:00:10	30.0	7680	7226	6347	7707	7691	6263
0:00:15	30.0	7764	7218	6371	7679	7649	6251
0:00:20	30.0	7775	7285	6410	7756	7639	6337
0:00:25	30.0	7733	7246	6373	7755	7648	6366
0:00:30	30.0	7769	7251	6412	7755	7656	6439
0:00:35	30.0	7765	7314	6391	7755	7623	6447
0:00:40	30.0	7774	7325	6399	7795	7692	6474
0:00:45	30.0	7785	7338	6366	7865	7706	6527
0:00:50	30.0	7841	7401	6420	7773	7653	6510
0:00:55	30.1	7838	7364	6400	7820	7693	6572
0:01:00	30.0	7804	7397	6360	7859	7694	6578
0:01:05	30.1	7799	7406	6406	7829	7743	6617
0:01:10	30.1	7843	7492	6344	7826	7678	6637
0:01:15	30.0	7760	7437	6416	7788	7728	6681
0:01:20	30.1	7813	7512	6444	7841	7757	6686
0:01:25	30.0	7786	7554	6381	7889	7686	6745
0:01:30	30.0	7837	7518	6398	7894	7629	6736
0:01:35	30.0	7783	7525	6441	7885	7640	6809
0:01:40	30.0	7802	7559	6387	7959	7716	6812
0:01:45	30.0	7795	7560	6369	7923	7729	6806
0:01:50	30.0	7799	7569	6435	7909	7690	6894
