

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20200531_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	5/31/2020
Time	8:58:02 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	G1..G2
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2											Well ID
H													Well ID

425,457

Time	T° 425,457	G1	G2
0:00:00	30.0	9122	9336
0:00:05	30.0	9104	9371
0:00:10	30.0	9151	9558
0:00:15	30.0	9131	9672
0:00:20	30.0	9183	9870
0:00:25	30.0	9147	9998
0:00:30	30.0	9154	10114
0:00:35	30.0	9124	10305
0:00:40	30.0	9191	10421
0:00:45	30.0	9183	10512
0:00:50	30.0	9177	10667
0:00:55	30.0	9157	10863
0:01:00	30.0	9192	10971
0:01:05	30.0	9095	11110
0:01:10	30.0	9131	11163
0:01:15	30.0	9042	11392
0:01:20	30.0	9136	11536
0:01:25	30.0	9189	11671
0:01:30	30.0	9114	11778
0:01:35	30.0	9069	11899
0:01:40	30.0	9096	12158
0:01:45	30.0	9101	12226
0:01:50	30.0	9078	12267
0:01:55	30.0	9066	12530
0:02:00	30.0	9102	12687
0:02:05	30.0	9038	12779
0:02:10	30.0	9051	12960
0:02:15	30.0	9113	13097
0:02:20	30.0	9085	13103
0:02:25	30.0	9056	13269
0:02:30	30.0	9054	13411
0:02:35	30.0	9044	13497
0:02:40	30.0	9078	13632
0:02:45	30.0	9022	13878
0:02:50	30.0	9051	13957
0:02:55	30.0	9046	14029
0:03:00	30.0	9051	14294
0:03:05	30.0	9106	14349
0:03:10	30.0	9033	14422
0:03:15	30.0	9126	14582
0:03:20	30.0	9074	14868
0:03:25	30.0	9048	14907
0:03:30	30.0	9069	14966
0:03:35	30.0	9025	15150
0:03:40	30.0	9065	15390
0:03:45	30.0	8997	15398
0:03:50	30.0	9052	15400
0:03:55	30.0	9055	15703
0:04:00	30.0	9007	15814
0:04:05	30.0	9035	15879
0:04:10	30.0	9016	16087
0:04:15	30.0	9005	16132
0:04:20	30.0	9059	16313
0:04:25	30.0	9011	16384
0:04:30	30.1	9019	16512
0:04:35	30.0	9036	16523
0:04:40	30.0	9016	16774
0:04:45	30.0	8988	16915
0:04:50	30.0	9018	17159
0:04:55	30.0	8985	17091
0:05:00	30.0	8989	17317
0:05:05	30.0	9012	17283
0:05:10	30.1	8968	17549
0:05:15	30.1	9002	17606
0:05:20	30.0	9000	17811
0:05:25	30.0	8996	17747
0:05:30	30.0	9067	18009
0:05:35	30.0	9049	18046
0:05:40	30.0	9082	18124
0:05:45	30.0	9038	18173
0:05:50	30.0	9067	18525
0:05:55	30.0	8973	18380
0:06:00	30.0	9013	18643
0:06:05	30.0	9020	18691
0:06:10	30.0	9033	18767
0:06:15	30.0	9015	19084
0:06:20	30.0	9018	19037
0:06:25	30.0	9039	19177
0:06:30	30.0	8962	19009
0:06:35	30.0	9074	19205
0:06:40	30.0	9051	19359
0:06:45	30.0	9042	19422
0:06:50	30.0	9046	19391
0:06:55	30.0	8984	19583
0:07:00	30.0	9054	19567
0:07:05	30.0	9005	19726
0:07:10	30.0	8994	19780
0:07:15	30.0	9089	19997
0:07:20	30.0	9019	19814
0:07:25	30.0	8989	19896
0:07:30	30.0	8981	19963
0:07:35	30.0	9016	20213
0:07:40	30.0	8963	20154
0:07:45	30.0	8998	20161
0:07:50	30.0	9046	20140
0:07:55	30.0	8988	20333
0:08:00	30.0	9014	20102
0:08:05	30.0	8995	20343
0:08:10	30.0	9008	20347
0:08:15	30.0	9000	20229
0:08:20	30.0	9035	20269
0:08:25	30.0	8976	20297
0:08:30	30.0	8911	20368
0:08:35	30.0	9054	20372
0:08:40	30.0	8974	20503
0:08:45	30.0	8997	20398
0:08:50	30.0	8989	20434
0:08:55	30.0	9028	20547
0:09:00	30.0	9011	20497
0:09:05	30.0	8970	20619
0:09:10	30.0	9043	20497
0:09:15	30.0	8978	20448
0:09:20	30.0	9073	20374
0:09:25	30.0	9001	20493
0:09:30	30.0	9004	20292
0:09:35	30.0	8973	20489
0:09:40	30.0	8914	20435
0:09:45	30.0	9020	20484
0:09:50	30.0	8971	20493
0:09:55	30.0	8975	20531
0:10:00	30.0	8971	20410
0:10:05	30.0	9058	20495
0:10:10	30.0	8931	20436
0:10:15	30.0	9069	20488
0:10:20	30.0	8975	20382
0:10:25	30.0	9041	20459
0:10:30	30.0	8995	20494
0:10:35	30.0	9017	20404
0:10:40	30.0	9120	20495
0:10:45	30.0	8996	20545
0:10:50	30.0	9019	20475
0:10:55	30.0	9010	20453
0:11:00	30.0	8969	20388
0:11:05	30.0	9027	20592
0:11:10	30.0	9044	20507
0:11:15	30.0	9040	20390
0:11:20	30.0	8981	20444
0:11:25	30.0	9068	20470
0:11:30	30.0	9047	20413
0:11:35	30.0	8959	20353
0:11:40	30.0	8976	20398
0:11:45	30.0	9021	20447
0:11:50	30.0	8987	20220
0:11:55	30.0	9033	20615
0:12:00	30.0	9076	20380
0:12:05	30.0	9064	20353
0:12:10	30.0	9048	20401
0:12:15	30.0	9027	20455
0:12:20	30.0	9058	20338
0:12:25	30.0	9009	20376
0:12:30	30.0	9031	20384
0:12:35	30.0	8964	20335
0:12:40	30.0	9040	20321
0:12:45	30.0	9010	20396
0:12:50	30.0	9039	20357
0:12:55	30.0	9019	20468
0:13:00	30.0	9033	20321
0:13:05	30.0	9022	20531
0:13:10	30.0	9005	20425
0:13:15	30.0	9052	20337
0:13:20	30.0	8995	20303
0:13:25	30.0	9029	20315
0:13:30	30.0	8995	20295
0:13:35	30.0	9077	20290
0:13:40	30.0	9054	20384
0:13:45	30.0	9016	20302
0:13:50	30.0	9062	20190
0:13:55	30.0	9038	20330
0:14:00	30.0	9093	20197
0:14:05	30.0	9072	20331
0:14:10	30.0	9006	20258
0:14:15	30.0	9058	20368
0:14:20	30.0	9017	20367
0:14:25	30.0	9067	20351
0:14:30	30.0	9074	20251
0:14:35	30.0	9061	20312
0:14:40	30.0	9060	20310
0:14:45	30.0	9045	20270
0:14:50	30.0	9050	20405
0:14:55	30.0	9043	20245
0:15:00	30.0	9074	20278
0:15:05	30.0	9003	20276
0:15:10	30.0	9019	20270
0:15:15	30.0	9052	20371

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G	1716000.000	4740000.000											Max V [425,457]
	1.000	1.000											R-Squared [425,457]
	0:08:33	0:11:53											t at Max V [425,457]
	0:08:37	0:09:32											Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

