

Software Version	3.03.14




Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20200603_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/3/2020
Time	2:53:04 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details
Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	C2..C11
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C		SPL1	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11		Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID
425,457


Time	T° 425,457	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11
0:00:00	30.0	6965	7292	6639	6930	5750	5849	5654	5718	8602	9278
0:00:05	30.0	7009	7475	6680	7086	5660	5942	5689	5716	8603	9377
0:00:10	30.0	7042	7457	6707	7090	5683	6027	5644	5740	8605	9474
0:00:15	30.0	6939	7612	6703	7196	5744	6097	5676	5784	8593	9522
0:00:20	30.0	7021	7647	6721	7387	5710	6113	5723	5831	8654	9644
0:00:25	30.0	7030	7703	6715	7373	5722	6286	5731	5869	8715	9677
0:00:30	30.0	7056	7835	6707	7427	5757	6318	5683	5842	8699	9778
0:00:35	30.0	6999	7971	6712	7574	5749	6294	5740	5870	8675	9890
0:00:40	30.0	7050	8003	6764	7625	5743	6437	5669	5915	8654	9871
0:00:45	30.0	7030	8081	6697	7786	5730	6473	5716	5937	8721	9880
0:00:50	30.0	7048	8174	6780	7840	5727	6585	5743	5962	8706	9984
0:00:55	30.0	7043	8282	6703	7940	5798	6601	5745	5952	8737	10119
0:01:00	30.0	7139	8326	6783	7956	5772	6660	5731	5941	8723	10317
0:01:05	30.0	7112	8441	6767	8073	5811	6740	5731	5974	8693	10290
0:01:10	30.0	7088	8494	6735	8176	5807	6790	5769	6036	8794	10353
0:01:15	30.0	7071	8539	6731	8233	5771	6840	5795	6036	8733	10437
0:01:20	30.0	7043	8722	6699	8321	5799	6947	5751	6097	8744	10556
0:01:25	30.0	7042	8751	6724	8443	5750	7008	5750	6052	8749	10612
0:01:30	30.0	7096	8900	6816	8481	5777	7008	5748	6088	8741	10754
0:01:35	30.0	7079	9026	6773	8612	5736	7142	5716	6110	8787	10735
0:01:40	30.0	7181	9011	6798	8662	5816	7252	5745	6128	8820	10800
0:01:45	30.0	7148	9114	6829	8810	5783	7273	5752	6150	8806	10849
0:01:50	30.0	7136	9211	6814	8905	5817	7322	5789	6175	8724	11004
0:01:55	30.0	7200	9337	6840	8923	5779	7370	5778	6207	8801	11083
0:02:00	30.0	7118	9392	6817	9073	5791	7514	5712	6231	8785	11241
0:02:05	30.0	7177	9569	6816	9244	5835	7564	5773	6249	8827	11194
0:02:10	30.0	7091	9579	6823	9207	5804	7662	5757	6230	8830	11464
0:02:15	30.0	7176	9699	6849	9340	5854	7690	5805	6300	8818	11427
0:02:20	30.0	7145	9727	6859	9388	5834	7747	5795	6322	8805	11431
0:02:25	30.0	7160	9844	6825	9504	5834	7793	5733	6330	8834	11535
0:02:30	30.0	7180	9983	6808	9588	5886	7867	5774	6380	8814	11547
0:02:35	30.0	7148	10019	6833	9657	5818	7941	5782	6348	8882	11772
0:02:40	30.0	7164	10140	6869	9748	5863	7988	5836	6373	8891	11881
0:02:45	30.0	7188	10215	6900	9912	5831	8097	5774	6359	8823	11816
0:02:50	30.0	7123	10225	6823	10012	5846	8216	5795	6399	8868	11975
0:02:55	30.0	7138	10323	6837	10105	5861	8224	5815	6443	8889	12050
0:03:00	30.0	7208	10506	6866	10101	5802	8247	5748	6432	8826	12098
0:03:05	30.0	7228	10536	6919	10228	5841	8390	5785	6499	8880	12210
0:03:10	30.0	7133	10604	6928	10227	5815	8423	5738	6487	8864	12340
0:03:15	30.0	7212	10759	6897	10330	5836	8548	5800	6557	8975	12457
0:03:20	30.0	7247	10804	6853	10412	5866	8600	5801	6554	8949	12549
0:03:25	30.0	7246	10919	6923	10612	5861	8662	5813	6588	8992	12501
0:03:30	30.0	7209	10962	6853	10635	5830	8743	5794	6615	8936	12599
0:03:35	30.0	7205	11123	6941	10714	5818	8868	5784	6609	8910	12794
0:03:40	30.0	7248	11127	6925	10793	5815	8812	5779	6631	8985	12812
0:03:45	30.0	7220	11332	6904	10762	5873	8882	5856	6653	8926	12892
0:03:50	30.0	7270	11277	6932	10911	5825	9002	5828	6621	8934	13083
0:03:55	30.0	7232	11368	6923	11095	5872	9021	5841	6685	8957	13085
0:04:00	30.0	7202	11487	6903	11166	5824	9103	5841	6692	9067	13102
0:04:05	30.0	7202	11581	6892	11232	5861	9192	5830	6736	9032	13213
0:04:10	30.0	7264	11663	6924	11341	5841	9277	5795	6719	9001	13232
0:04:15	30.0	7205	11777	6963	11346	5864	9276	5889	6754	9060	13429
0:04:20	30.0	7293	11872	6910	11422	5870	9353	5823	6751	9086	13409
0:04:25	30.0	7253	11893	6953	11538	5881	9418	5800	6748	9069	13572
0:04:30	30.0	7280	11959	6952	11665	5919	9494	5834	6814	9052	13538
0:04:35	30.0	7176	12146	7002	11788	5879	9633	5891	6881	9055	13731
0:04:40	30.0	7226	12233	6945	11853	5875	9656	5820	6842	9055	13950
0:04:45	30.0	7273	12287	6910	11942	5849	9670	5862	6835	9123	13937
0:04:50	30.0	7195	12432	6961	12045	5872	9760	5825	6890	9103	13965
0:04:55	30.0	7258	12467	6978	12104	5845	9824	5833	6916	9082	14051
0:05:00	30.0	7227	12575	6957	12113	5871	9898	5817	6962	9156	14220
0:05:05	30.0	7224	12589	6958	12243	5841	9964	5826	6965	9143	14297
0:05:10	30.0	7268	12720	6935	12332	5830	10065	5874	6986	9159	14297
0:05:15	30.0	7282	12867	6949	12391	5908	10187	5828	6958	9113	14492
0:05:20	30.0	7272	12877	6891	12517	5868	10153	5849	6995	9213	14492
0:05:25	30.0	7234	13062	6986	12680	5896	10227	5875	7000	9209	14604
0:05:30	30.0	7207	12963	6988	12648	5883	10322	5847	7100	9105	14652
0:05:35	30.0	7300	13127	7019	12735	5873	10397	5877	7083	9189	14703
0:05:40	30.0	7294	13186	6981	12917	5865	10464	5822	7170	9210	14938
0:05:45	30.0	7230	13281	6976	12994	5901	10484	5787	7084	9165	14835
0:05:50	30.0	7283	13305	6999	13006	5871	10607	5817	7229	9160	15178
0:05:55	30.0	7282	13537	6989	13251	5895	10691	5840	7183	9199	15122
0:06:00	30.0	7255	13593	6942	13260	5943	10746	5837	7177	9210	15197
0:06:05	30.0	7246	13665	6927	13302	5891	10715	5843	7183	9172	15333
0:06:10	30.0	7303	13652	7052	13447	5870	10853	5838	7207	9244	15405
0:06:15	30.0	7286	13725	6970	13476	5883	10918	5850	7215	9210	15472
0:06:20	30.0	7339	13854	6940	13512	5919	10992	5894	7232	9225	15578
0:06:25	30.0	7246	14007	7018	13600	5860	11039	5876	7333	9288	15699
0:06:30	30.0	7306	14186	6986	13683	5905	11043	5878	7322	9238	15805
0:06:35	30.0	7312	14093	6952	13772	5856	11151	5849	7309	9255	15873
0:06:40	30.0	7256	14224	6990	13923	5874	11350	5862	7365	9232	15967
