

Software Version	3.03.14




Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20200604_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/4/2020
Time	1:57:17 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details
Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E2..E9
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout

	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8				Well ID
F													Well ID
G													Well ID
H													Well ID
425,457

Time	T° 425,457	E2	E3	E4	E5	E6	E7	E8	E9
0:00:00	30.0	5751	6439	6101	6548	3956	4702	4948	5775
0:00:05	30.0	5786	6529	6086	6664	3945	4830	4064	5892
0:00:10	30.0	5805	6630	6168	6793	3983	4907	9923	5786
0:00:15	30.0	5795	6841	6122	6881	3993	5001	9931	5003
0:00:20	30.0	5786	6868	6130	6939	4016	5066	9983	11795
0:00:25	30.0	5763	7012	6156	7077	4032	5213	10037	12066
0:00:30	30.0	5827	7134	6178	7210	4024	5266	9968	12268
0:00:35	30.1	5799	7244	6187	7325	3994	5399	10012	12505
0:00:40	30.0	5842	7381	6131	7390	4017	5434	10097	12514
0:00:45	30.0	5855	7550	6177	7538	4007	5589	9999	12824
0:00:50	30.0	5885	7588	6221	7648	4030	5625	10074	12923
0:00:55	30.0	5876	7716	6206	7746	4048	5753	10095	13072
0:01:00	30.0	5852	7816	6184	7864	4051	5853	10053	13319
0:01:05	30.0	5856	7887	6211	7911	4085	5962	10039	13460
0:01:10	30.0	5858	8007	6238	8005	4107	6073	10067	13726
0:01:15	30.0	5915	8108	6238	8105	4097	6165	10136	13891
0:01:20	30.0	5822	8168	6234	8158	4076	6282	10087	14175
0:01:25	30.0	5940	8313	6261	8301	4101	6314	10126	14347
0:01:30	30.0	5951	8445	6223	8449	4073	6377	10079	14504
0:01:35	30.1	5947	8599	6294	8507	4091	6526	10111	14652
0:01:40	30.0	5913	8698	6302	8559	4114	6662	10140	14820
0:01:45	30.0	5929	8708	6316	8654	4122	6692	10143	15077
0:01:50	30.0	5938	8889	6296	8811	4142	6819	10122	15342
0:01:55	30.0	5941	8984	6315	8844	4158	6851	10108	15513
0:02:00	30.0	5961	9062	6282	8993	4109	7013	10153	15718
0:02:05	30.0	5988	9155	6275	9122	4143	7056	10179	15833
0:02:10	30.0	6027	9245	6341	9129	4162	7171	10135	15996
0:02:15	30.0	6000	9302	6327	9245	4144	7239	10185	16351
0:02:20	30.0	6061	9469	6323	9353	4161	7325	10206	16478
0:02:25	30.0	6001	9566	6402	9405	4186	7382	10258	16744
0:02:30	30.0	6006	9616	6367	9489	4206	7571	10159	16949
0:02:35	30.0	6013	9745	6346	9615	4200	7610	10190	16999
0:02:40	30.0	6016	9829	6373	9771	4221	7651	10159	17267
0:02:45	30.0	6018	9948	6371	9769	4225	7721	10177	17526
0:02:50	30.0	6007	10074	6392	9795	4210	7822	10214	17624
0:02:55	30.0	6026	10116	6400	9852	4185	7888	10182	18018
0:03:00	30.0	6021	10168	6436	9942	4246	8053	10237	17966
0:03:05	30.0	6040	10210	6404	10057	4247	8109	10196	18304
0:03:10	30.0	6035	10315	6448	10082	4217	8149	10205	18421
0:03:15	30.0	6013	10495	6472	10205	4182	8269	10241	18823
0:03:20	30.0	6034	10479	6478	10331	4218	8296	10255	19026
0:03:25	30.0	6082	10546	6511	10315	4239	8420	10261	19110
0:03:30	30.0	6045	10642	6443	10504	4289	8450	10334	19303
0:03:35	30.0	6065	10766	6465	10556	4320	8685	10259	19581
0:03:40	30.0	6105	10809	6457	10580	4259	8643	10220	19620
0:03:45	30.0	6081	10897	6484	10635	4269	8770	10313	19894
0:03:50	30.0	6030	10932	6451	10649	4265	8811	10220	20043
0:03:55	30.0	6095	11089	6469	10764	4264	8864	10226	20423
0:04:00	30.0	6120	11066	6522	10869	4280	8947	10255	20324
0:04:05	30.0	6129	11107	6444	10931	4276	9090	10255	20419
0:04:10	30.0	6088	11105	6412	10946	4297	9077	10319	20803
0:04:15	30.0	6102	11297	6479	10963	4270	9157	10356	21107
0:04:20	30.0	6086	11294	6515	11033	4300	9303	10341	21337
0:04:25	30.0	6072	11390	6551	11151	4328	9306	10299	21436
0:04:30	30.0	6114	11527	6492	11228	4343	9332	10333	21705
0:04:35	30.0	6150	11565	6528	11245	4319	9407	10336	21763
0:04:40	30.0	6126	11578	6571	11291	4319	9493	10407	21778
0:04:45	30.0	6120	11638	6520	11339	4328	9599	10364	22158
0:04:50	30.0	6111	11700	6573	11391	4324	9637	10419	22324
0:04:55	30.0	6189	11774	6538	11476	4329	9709	10357	22570
0:05:00	30.1	6175	11797	6540	11488	4296	9767	10325	22790
0:05:05	30.0	6190	11898	6575	11587	4315	9859	10443	22808
0:05:10	30.0	6209	11897	6589	11612	4348	9919	10370	22997
0:05:15	30.0	6208	11928	6577	11656	4298	9951	10371	23197
0:05:20	30.0	6223	12071	6504	11718	4313	10084	10427	23448
0:05:25	30.0	6150	12055	6455	11795	4323	10091	10438	23761
0:05:30	30.0	6184	12020	6580	11771	4329	10232	10460	23970
0:05:35	30.0	6210	12116	6542	11808	4324	10203	10434	23972
0:05:40	30.0	6182	12143	6592	11887	4343	10252	10416	24274
0:05:45	30.0	6206	12265	6560	11790	4339	10439	10440	24477
0:05:50	30.0	6254	12142	6566	11892	4340	10453	10507	24650
0:05:55	30.0	6203	12317	6621	11972	4338	10552	10491	24740
0:06:00	30.0	6299	12305	6549	12000	4286	10561	10430	24899
0:06:05	30.0	6246	12385	6528	12151	4335	10558	10506	25263
0:06:10	30.0	6192	12337	6591	12172	4335	10564	10479	25084
0:06:15	30.0	6271	12428	6506	12222	4326	10661	10524	25256
0:06:20	30.0	6237	12511	6561	12194	4312	10753	10510	25691
0:06:25	30.0	6241	12598	6610	12242	4336	10873	10519	25679
0:06:30	30.0	6244	12547	6562	12215	4336	10863	10559	25986
0:06:35	30.0	6230	12512	6625	12263	4360	10848	10523	26052
0:06:40	30.0	6246	12646	6569	12372	4335	10893	10519	26322
0:06:45	30.0	6243	12649	6614	12375	4386	10994	10505	26384
0:06:50	30.0	6282	12661	6609	12411	4336	11008	10523	26712
0:06:55	30.0	6265	12766	6601	12430	4343	11101	10477	26849
0:07:00	30.0	6298	12784	6571	12461	4368	11085	10578	27015
0:07:05	30.0	6320	12873	6599	12486	4309	11194	10526	27238
0:07:10	30.0	6233	12879	6599	12533	4346	11206	10563	27464
