

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20200609_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	6/9/2020
Time	2:07:38 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	A2..A9
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	


Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8				Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID
425,457

Time	T° 425,457	A2	A3	A4	A5	A6	A7	A8	A9
0:00:00	30.0	6808	7092	6495	6438	8616	8654	8998	9653
0:00:05	30.0	6826	7164	6521	6547	8645	8685	9017	9760
0:00:10	30.0	6823	7223	6532	6583	8627	8790	9052	10046
0:00:15	30.0	6795	7292	6559	6621	8708	8825	9068	10158
0:00:20	30.0	6885	7372	6567	6693	8615	8887	9072	10348
0:00:25	30.0	6830	7390	6524	6809	8623	8911	9079	10519
0:00:30	30.1	6848	7463	6514	6883	8654	8977	9131	10711
0:00:35	30.0	6837	7487	6588	6914	8734	8939	9156	10852
0:00:40	30.0	6886	7567	6565	6997	8720	9024	9127	11105
0:00:45	30.0	6894	7617	6591	6991	8738	9013	9140	11251
0:00:50	30.0	6929	7695	6558	7108	8724	9014	9091	11404
0:00:55	30.0	6861	7754	6535	7135	8690	9056	9154	11576
0:01:00	30.0	6937	7859	6539	7177	8698	9099	9163	11721
0:01:05	30.0	6912	7858	6571	7194	8721	9103	9151	11992
0:01:10	30.0	6916	7921	6515	7238	8748	9139	9097	12163
0:01:15	30.0	6963	8014	6535	7359	8667	9098	9120	12337
0:01:20	30.0	6939	8053	6588	7395	8684	9193	9108	12456
0:01:25	30.0	6927	8125	6587	7458	8651	9195	9144	12518
0:01:30	30.0	6924	8195	6606	7511	8721	9299	9136	12802
0:01:35	30.0	6942	8177	6581	7617	8690	9255	9137	12898
0:01:40	30.0	6929	8333	6567	7655	8647	9342	9137	13085
0:01:45	30.0	6932	8425	6615	7689	8709	9357	9189	13359
0:01:50	30.0	6977	8408	6588	7762	8688	9404	9159	13494
0:01:55	30.0	6916	8398	6596	7761	8654	9399	9104	13648
0:02:00	30.0	6945	8459	6588	7871	8727	9380	9179	13761
0:02:05	30.0	6983	8613	6609	7953	8650	9451	9185	13958
0:02:10	30.0	6973	8608	6627	8051	8702	9519	9164	14075
0:02:15	30.0	7003	8709	6627	8050	8626	9585	9200	14242
0:02:20	30.0	6969	8741	6645	8159	8685	9560	9187	14552
0:02:25	30.0	6990	8819	6617	8179	8745	9593	9187	14716
0:02:30	30.0	7004	8921	6618	8242	8658	9604	9110	14751
0:02:35	30.0	7037	8925	6615	8272	8698	9676	9099	15021
0:02:40	30.0	7006	9019	6612	8381	8685	9689	9234	15305
0:02:45	30.0	6989	9013	6659	8411	8752	9697	9243	15304
0:02:50	30.0	6954	9104	6652	8513	8765	9755	9260	15569
0:02:55	30.0	6970	9111	6610	8500	8653	9816	9199	15756
0:03:00	30.0	7005	9256	6598	8604	8695	9772	9183	15856
0:03:05	30.0	7033	9291	6627	8662	8718	9824	9191	16103
0:03:10	30.0	7032	9259	6679	8708	8751	10031	9254	16207
0:03:15	30.0	7031	9496	6642	8717	8732	9930	9232	16517
0:03:20	30.0	7051	9470	6654	8848	8751	9930	9165	16519
0:03:25	30.0	6985	9608	6694	8852	8656	10037	9182	16800
0:03:30	30.0	6968	9573	6647	8906	8730	9947	9177	16899
0:03:35	30.0	7024	9701	6687	9037	8765	10051	9254	17153
0:03:40	30.0	7063	9732	6661	9101	8741	10050	9307	17244
0:03:45	30.0	7049	9823	6659	9125	8642	10097	9319	17528
0:03:50	30.0	7074	9826	6698	9161	8686	10102	9266	17629
0:03:55	30.0	7047	9893	6665	9274	8744	10094	9253	17870
0:04:00	30.0	7068	9963	6640	9327	8765	10138	9282	17918
0:04:05	30.0	7074	10013	6698	9304	8707	10152	9259	18119
0:04:10	30.0	7053	10054	6676	9398	8719	10251	9229	18271
0:04:15	30.0	7098	10172	6673	9507	8663	10378	9295	18520
0:04:20	30.0	7105	10268	6731	9646	8750	10349	9298	18548
0:04:25	30.0	7029	10251	6703	9542	8721	10317	9294	18918
0:04:30	30.0	7058	10354	6672	9568	8711	10320	9329	19051
0:04:35	30.0	7079	10326	6698	9724	8732	10374	9268	19183
0:04:40	30.0	7076	10448	6681	9851	8695	10510	9296	19446
0:04:45	30.0	7051	10634	6671	9859	8753	10460	9255	19413
0:04:50	30.0	7083	10557	6713	9901	8665	10567	9354	19658
0:04:55	30.0	7129	10640	6740	9925	8753	10609	9233	19956
0:05:00	30.0	7114	10738	6722	10040	8778	10573	9295	20076
0:05:05	30.0	7101	10736	6728	10112	8681	10580	9295	20194
0:05:10	30.0	7115	10752	6740	10192	8770	10662	9334	20342
0:05:15	30.0	7100	10907	6741	10199	8773	10723	9277	20601
0:05:20	30.0	7140	10957	6712	10338	8755	10657	9361	20764
0:05:25	30.0	7120	10977	6747	10324	8710	10660	9325	20906
0:05:30	30.0	7175	11158	6699	10326	8768	10818	9383	20902
0:05:35	30.0	7067	11109	6717	10436	8743	10832	9324	21279
0:05:40	30.1	7148	11124	6735	10487	8726	10794	9289	21353
0:05:45	30.0	7161	11244	6748	10539	8686	10892	9367	21548
0:05:50	30.0	7167	11337	6736	10646	8714	10856	9317	21787
0:05:55	30.0	7126	11355	6717	10729	8755	10924	9267	21863
0:06:00	30.0	7147	11358	6707	10690	8746	10937	9274	22133
0:06:05	30.0	7136	11502	6772	10779	8806	11014	9322	22112
0:06:10	30.0	7192	11503	6779	10904	8670	11074	9384	22399
0:06:15	30.0	7134	11574	6717	10906	8744	11102	9324	22546
0:06:20	30.0	7153	11657	6754	10967	8744	11150	9347	22712
0:06:25	30.0	7115	11726	6767	11020	8658	11171	9320	22926
0:06:30	30.0	7127	11699	6754	11059	8732	11253	9444	23016
0:06:35	30.0	7215	11880	6701	11135	8807	11228	9427	23234
0:06:40	30.0	7160	11882	6737	11277	8733	11351	9318	23511
0:06:45	30.0	7168	11936	6744	11340	8799	11241	9411	23709
0:06:50	30.0	7160	11995	6770	11293	8745	11286	9369	23802
0:06:55	30.0	7204	12061	6799	11503	8758	11408	9381	23891
0:07:00	30.0	7192	12093	6835	11420	8772	11352	9333	23984
0:07:05	30.0	7163	12205	6708	11559	8769	11353	9329	24397
0:07:10	30.0	7176	12168	6824	11626	8810	11516	9400	24496
0:07:15	30.0	7153	12259	6728	11696	8751	11494	9442	24584
0:07:20	30.0	7135	12390	6727	11733	8744	11562	9400	24730
0:07:25	30.0	7194	12480	6788	11672	8740	11626	9424	24969
0:07:30	30.0	7178	12452	6761	11851	8706	11631	9408	25076
0:07:35	30.0	7154	12514	6777	11950	8692	11653	9455	25416
0:07:40	30.0	7169	12443	6707	11890	8816	11647	9391	25564
0:07:45	30.0	7156	12609	6785	12065	8739	11659	9510	25619
0:07:50	30.0	7180	12637	6756	12056	8796	11757	9403	25725
0:07:55	30.0	7266	12753	6780	12144	8788	11752	9414	25917
0:08:00	30.0	7196	12747	6795	12239	8693	11789	9425	25989
0:08:05	30.0	7206	12851	6797	12225	8748	11828	9432	26417
0:08:10	30.0	7232	12941	6787	12295	8785	11819	9470	26336
0:08:15	30.0	7212	12961	6791	12361	8771	11939	9478	26638
0:08:20	30.0	7223	13098	6812	12397	8745	11970	9469	26819
0:08:25	30.0	7237	13097	6791	12473	8759	11936	9462	26978
0:08:30	30.0	7226	13158	6812	12544	8773	12099	9486	27179
0:08:35	30.0	7251	13162	6829	12605	8787	12029	9479	27475
0:08:40	30.0	7268	13255	6830	12649	8837	12091	9434	27506
0:08:45	30.0	7229	13336	6800	12763	8724	12147	9498	27616
0:08:50	30.0	7254	13495	6779	12782	8805	12235	9495	27651
0:08:55	30.0	7290	13391	6804	12796	8835	12242	9509	27883
0:09:00	30.0	7237	13558	6774	12887	8798	12248	9428	28001
0:09:05	30.0	7248	13634	6780	13007	8777	12318	9525	28239
0:09:10	30.0	7204	13620	6770	13004	8787	12324	9544	28461
0:09:15	30.0	7264	13645	6805	13143	8751	12345	9522	28582
0:09:20	30.0	7296	13746	6734	13165	8732	12432	9540	28744
0:09:25	30.0	7279	13669	6797	13272	8765	12495	9532	28824
0:09:30	30.0	7328	13796	6813	13262	8784	12557	9494	29210
0:09:35	30.0	7303	13850	6836	13278	8798	12524	9561	29346
0:09:40	30.0	7261	13944	6808	13451	8769	12510	9508	29203
0:09:45	30.0	7328	13999	6794	13403	8754	12567	9503	29298
0:09:50	30.0	7289	14162	6824	13486	8770	12727	9521	29592
0:09:55	30.0	7290	14296	6892	13586	8776	12646	9568	29794
0:10:00	30.0	7267	14289	6806	13653	8859	12691	9473	29949
0:10:05	30.0	7297	14258	6824	13666	8803	12797	9561	30081
0:10:10	30.0	7256	14272	6816	13646	8734	12738	9455	30123
0:10:15	30.0	7307	14395	6797	13891	8792	12784	9563	30150
0:10:20	30.0	7279	14511	6809	13812	8756	12739	9558	30491
0:10:25	30.0	7286	14625	6807	13930	8757	12842	9528	30625
0:10:30	30.0	7256	14570	6873	13980	8772	12938	9557	30725
0:10:35	30.0	7305	14556	6797	14037	8817	12960	9572	30924
0:10:40	30.0	7357	14646	6809	14134	8770	12905	9558	31175
0:10:45	30.0	7294	14669	6787	14166	8723	12952	9610	31269
0:10:50	30.0	7334	14824	6868	14149	8825	13009	9545	31470
0:10:55	29.9	7323	14846	6856	14280	8779	13097	9610	31541
0:11:00	30.0	7290	14953	6801	14216	8773	13065	9530	31696
0:11:05	30.0	7340	14988	6827	14351	8785	13101	9600	31964
0:11:10	30.0	7339	15031	6837	14437	8758	13167	9615	31990
0:11:15	30.0	7295	15151	6843	14408	8808	13233	9622	32032
0:11:20	30.0	7319	15090	6819	14484	8728	13283	9639	32335
0:11:25	30.0	7376	15060	6842	14594	8839	13250	9590	32403
0:11:30	30.0	7388	15244	6855	14703	8879	13332	9598	32553
