

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180824_GEF_FRET_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/24/2018
Time	12:59:31 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:25:00 (HH:MM:SS), Interval 0:00:05, 301 Reads
    Read	Fluorescence Endpoint
	A1..A12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL83	SPL84	SPL85	SPL86	SPL87	SPL88	SPL89	SPL90	SPL91	SPL92	SPL93	SPL94	Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:00:00	30.0	570	1785	2513	4082	5872	8601	736	1806	2688	4311	6435	9152
0:00:05	30.0	552	1745	2438	3923	5791	8589	713	1745	2705	4208	6410	9124
0:00:10	30.0	550	1684	2318	3835	5695	8433	666	1697	2670	4202	6227	9069
0:00:15	30.0	504	1606	2274	3785	5560	8276	633	1575	2532	4076	6204	8888
0:00:20	30.0	530	1568	2267	3598	5387	8109	650	1583	2544	3990	6132	8836
0:00:25	30.0	513	1499	2176	3568	5407	7957	642	1496	2471	3949	6094	8746
0:00:30	30.0	512	1508	2082	3438	5245	7797	609	1452	2428	3906	5917	8711
0:00:35	30.0	483	1455	2092	3457	5121	7686	592	1447	2331	3826	5819	8788
0:00:40	30.0	505	1482	1998	3411	5023	7477	572	1439	2337	3793	5723	8619
0:00:45	30.0	490	1448	2002	3333	4990	7430	569	1402	2280	3645	5685	8393
0:00:50	30.0	518	1434	2024	3238	4926	7447	560	1354	2220	3671	5579	8355
0:00:55	30.0	503	1414	1935	3275	4887	7244	559	1321	2218	3583	5563	8321
0:01:00	30.0	509	1423	2006	3145	4937	7232	551	1311	2129	3500	5602	8234
0:01:05	30.0	523	1393	1950	3170	4688	7093	539	1307	2128	3586	5489	8219
0:01:10	30.0	529	1428	1899	3093	4738	7048	537	1287	2081	3463	5450	8069
0:01:15	30.0	509	1379	1931	3155	4701	6959	531	1273	2082	3456	5332	7960
0:01:20	30.0	505	1391	1882	3102	4677	6787	533	1269	2036	3418	5282	7979
0:01:25	30.0	489	1412	1942	3064	4641	6751	517	1230	2023	3424	5229	7853
0:01:30	30.0	490	1408	1936	3081	4557	6722	526	1230	2009	3343	5167	7806
0:01:35	30.0	505	1343	1904	3080	4515	6628	532	1207	2031	3356	5186	7758
0:01:40	30.0	514	1405	1868	3038	4510	6702	538	1220	1950	3235	5043	7677
0:01:45	30.0	495	1380	1880	2990	4479	6471	523	1230	1945	3215	5057	7613
0:01:50	30.0	507	1369	1876	2981	4369	6451	512	1197	1990	3233	5044	7559
0:01:55	30.0	511	1384	1861	2978	4495	6375	493	1186	1947	3167	4996	7544
0:02:00	30.0	492	1407	1869	2988	4481	6400	529	1187	1905	3172	4873	7541
0:02:05	30.0	515	1357	1902	2972	4450	6287	532	1179	1908	3130	4924	7485
0:02:10	30.0	515	1369	1860	2877	4458	6295	542	1168	1893	3135	4815	7374
0:02:15	30.0	496	1369	1842	2942	4356	6297	518	1160	1879	3037	4798	7331
0:02:20	30.0	498	1358	1856	3003	4341	6193	518	1175	1860	3125	4808	7319
0:02:25	30.0	510	1357	1885	2951	4297	6152	518	1134	1866	3080	4760	7261
0:02:30	30.0	499	1380	1849	2885	4253	6190	504	1146	1822	2979	4712	7181
0:02:35	29.9	497	1360	1819	2947	4254	6154	510	1123	1867	3020	4726	7229
0:02:40	30.0	508	1376	1868	2928	4236	6150	523	1169	1815	3015	4669	7146
0:02:45	30.1	504	1372	1868	2869	4322	6002	513	1159	1840	2972	4626	7127
0:02:50	30.1	504	1361	1863	2936	4294	6015	516	1134	1809	2977	4591	7094
0:02:55	30.0	498	1372	1861	2924	4350	6037	505	1127	1782	2933	4537	7036
0:03:00	30.0	504	1337	1851	2890	4243	5955	526	1108	1810	2967	4557	7081
0:03:05	30.0	479	1343	1816	2908	4229	6016	512	1100	1791	2963	4599	6915
0:03:10	30.0	491	1315	1852	2836	4252	6018	516	1137	1789	2892	4533	6968
0:03:15	30.0	485	1345	1825	2881	4184	5960	509	1103	1787	2878	4541	6866
0:03:20	30.0	502	1346	1847	2881	4209	5830	511	1115	1748	2934	4521	6886
0:03:25	30.0	489	1350	1869	2917	4203	5837	519	1160	1745	2846	4530	6874
0:03:30	30.0	484	1351	1813	2831	4123	5949	495	1102	1775	2810	4404	6768
0:03:35	30.1	477	1368	1884	2832	4220	5951	490	1120	1721	2920	4326	6758
0:03:40	30.1	503	1355	1838	2895	4132	5949	504	1115	1762	2837	4359	6738
0:03:45	30.0	506	1368	1834	2862	4183	5825	511	1122	1712	2830	4328	6667
0:03:50	30.0	492	1364	1808	2809	4138	5881	483	1107	1769	2849	4360	6726
0:03:55	30.0	504	1373	1806	2826	4162	5913	512	1112	1758	2821	4388	6636
0:04:00	30.0	483	1354	1816	2864	4168	5803	478	1118	1712	2791	4338	6580
0:04:05	30.0	491	1351	1782	2868	4144	5898	502	1094	1719	2801	4308	6606
0:04:10	30.0	486	1309	1832	2821	4107	5806	516	1133	1719	2825	4314	6528
0:04:15	30.0	507	1302	1791	2891	4192	5764	480	1125	1756	2797	4219	6566
0:04:20	30.0	502	1354	1846	2791	4116	5813	486	1096	1728	2846	4248	6579
0:04:25	30.0	492	1338	1827	2837	4110	5749	500	1113	1735	2777	4195	6507
0:04:30	30.0	496	1370	1798	2826	4183	5761	497	1136	1742	2740	4216	6487
0:04:35	30.0	483	1344	1844	2861	4216	5785	499	1113	1706	2803	4236	6463
0:04:40	30.0	477	1350	1795	2868	4131	5779	474	1108	1733	2738	4287	6510
0:04:45	30.0	497	1376	1793	2847	4128	5759	503	1064	1747	2745	4179	6458
0:04:50	30.0	506	1368	1836	2877	4130	5811	502	1109	1748	2756	4214	6482
0:04:55	30.0	493	1348	1821	2842	4138	5797	496	1080	1709	2709	4192	6471
0:05:00	30.0	496	1367	1805	2813	4149	5750	499	1086	1721	2783	4178	6447
0:05:05	30.0	492	1339	1817	2768	4199	5760	495	1077	1712	2711	4204	6344
0:05:10	30.0	502	1339	1807	2850	4120	5738	489	1068	1681	2756	4171	6413
0:05:15	30.0	480	1351	1810	2870	4040	5706	500	1094	1696	2736	4117	6340
0:05:20	30.0	495	1286	1794	2809	4118	5819	472	1083	1721	2748	4095	6358
0:05:25	30.0	494	1359	1789	2904	4039	5711	499	1127	1717	2722	4131	6317
