

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180824_GEF_FRET_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/24/2018
Time	2:19:57 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	14312	19547	23673	28664	29603	36466	16102	23080	25657	28065	30593	32417
0:00:05	30.0	14447	19364	23792	28318	29527	36461	16185	23249	25746	28121	30515	31891
0:00:10	30.0	14111	19133	23616	28068	29576	36197	16105	22787	25586	27835	30570	32056
0:00:15	30.1	13836	19129	23155	28589	29475	36006	15961	22657	25531	27515	30329	32132
0:00:20	30.0	13857	18930	23243	28082	28956	35880	15807	22747	25373	27211	30320	31877
0:00:25	30.1	13627	18819	23162	27399	28906	35843	15744	22817	25145	27329	30027	31720
0:00:30	30.1	13560	18530	22794	27322	28694	35583	15662	22504	25110	27146	30219	31585
0:00:35	30.0	13329	18314	22532	27133	28412	35422	15396	22271	24949	27184	29960	31859
0:00:40	30.0	13313	18138	22232	27223	28227	34926	15390	22047	25091	26885	29575	31353
0:00:45	30.0	12959	17842	22410	26915	28059	34693	15443	21890	24568	26753	29524	31094
0:00:50	30.0	12988	17806	22429	26586	27714	34623	14928	22071	24755	26640	29406	31042
0:00:55	30.0	12803	17614	22391	26492	27613	34446	15184	21704	24524	26863	29491	31069
0:01:00	30.0	12728	17464	21697	26278	27450	34240	15180	21762	24211	26649	29239	31092
