

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180827_GEF_FRET_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/27/2018
Time	12:18:19 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:20:00 (HH:MM:SS), Interval 0:00:05, 241 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	1314	3502	5219	6672	1073	2412	3651	4983	849	1787	2324	3328
0:00:05	30.0	1239	3356	5002	6757	1083	2248	3549	4991	823	1744	2280	3212
0:00:10	30.0	1191	3343	5030	6603	1020	2252	3592	4832	779	1765	2200	3162
0:00:15	30.0	1175	3310	4862	6478	984	2166	3401	4750	763	1670	2176	3129
0:00:20	30.0	1142	3183	4807	6380	944	2108	3317	4674	746	1655	2093	3067
0:00:25	30.0	1085	3125	4679	6258	985	2053	3240	4606	745	1610	2070	3027
0:00:30	30.0	1088	3087	4670	6228	907	2048	3212	4477	700	1553	1970	2936
0:00:35	30.0	1048	3050	4602	6075	909	2004	3121	4385	699	1525	1975	2881
0:00:40	30.0	1015	2950	4483	6013	897	1975	3116	4285	692	1486	1894	2830
0:00:45	30.0	1008	2961	4376	5979	918	1949	3020	4350	687	1546	1901	2771
0:00:50	30.0	993	2911	4393	5785	905	1879	3035	4229	646	1464	1905	2757
0:00:55	30.0	999	2854	4296	5805	874	1829	3053	4169	681	1475	1864	2709
0:01:00	30.0	959	2787	4227	5722	870	1885	2955	4227	654	1451	1836	2657
0:01:05	30.0	965	2714	4128	5593	863	1845	3012	4083	651	1411	1795	2666
0:01:10	30.0	936	2727	4126	5556	863	1823	2875	4009	648	1394	1746	2568
0:01:15	30.0	955	2691	4028	5509	863	1788	2911	3935	653	1369	1755	2569
0:01:20	30.0	919	2658	4080	5433	848	1821	2841	3990	657	1378	1737	2570
0:01:25	30.0	924	2627	4013	5353	849	1788	2828	3905	643	1352	1774	2529
0:01:30	30.0	873	2595	3938	5310	831	1840	2856	3917	667	1392	1716	2535
0:01:35	30.0	899	2576	3909	5266	855	1791	2812	3896	635	1365	1695	2501
0:01:40	30.0	897	2512	3932	5200	846	1763	2768	3829	642	1317	1671	2445
0:01:45	30.0	870	2575	3861	5140	851	1763	2705	3821	643	1353	1662	2468
0:01:50	30.0	878	2434	3794	5020	827	1762	2745	3736	639	1329	1642	2405
0:01:55	30.0	883	2529	3835	4999	859	1762	2688	3780	635	1316	1682	2390
0:02:00	30.0	862	2478	3742	4985	847	1750	2714	3728	633	1296	1626	2388
0:02:05	30.0	880	2446	3691	5019	833	1715	2683	3741	649	1309	1625	2396
0:02:10	30.0	836	2416	3662	4904	833	1707	2674	3701	623	1282	1643	2348
0:02:15	30.0	847	2422	3644	4905	852	1721	2678	3608	637	1294	1606	2351
0:02:20	30.0	859	2382	3608	4867	846	1743	2645	3673	632	1301	1626	2423
0:02:25	30.0	846	2393	3554	4861	822	1697	2688	3660	625	1273	1600	2383
0:02:30	30.0	852	2369	3540	4861	826	1675	2649	3655	620	1276	1613	2370
0:02:35	30.0	857	2317	3587	4810	832	1723	2654	3638	618	1233	1572	2304
0:02:40	30.0	839	2319	3549	4680	850	1754	2657	3602	612	1254	1588	2360
0:02:45	30.0	858	2240	3529	4737	855	1704	2617	3581	617	1242	1632	2301
0:02:50	30.0	890	2252	3496	4748	888	1704	2703	3560	614	1276	1556	2301
0:02:55	30.0	842	2258	3487	4651	848	1696	2669	3471	601	1246	1603	2339
0:03:00	30.0	812	2265	3421	4643	848	1739	2639	3526	604	1291	1562	2305
0:03:05	30.0	827	2255	3446	4627	854	1739	2658	3499	622	1231	1582	2241
0:03:10	30.0	838	2267	3399	4613	852	1697	2568	3539	644	1229	1572	2298
0:03:15	30.0	839	2268	3435	4568	872	1728	2622	3558	619	1227	1594	2239
0:03:20	30.0	826	2236	3378	4527	830	1694	2659	3535	609	1244	1579	2305
0:03:25	30.0	824	2222	3333	4535	832	1709	2628	3535	624	1233	1594	2262
0:03:30	30.0	827	2214	3345	4496	834	1702	2640	3502	651	1229	1548	2247
0:03:35	30.0	823	2195	3352	4434	851	1701	2653	3554	595	1206	1556	2281
0:03:40	30.0	842	2180	3296	4441	847	1676	2592	3538	591	1237	1529	2225
0:03:45	30.0	804	2219	3259	4395	833	1699	2619	3497	603	1223	1552	2225
0:03:50	30.0	844	2204	3324	4479	807	1705	2625	3493	576	1227	1562	2218
0:03:55	30.0	819	2170	3326	4449	836	1716	2617	3458	602	1220	1551	2231
0:04:00	30.0	820	2161	3290	4377	837	1694	2640	3421	628	1243	1542	2258
0:04:05	30.0	807	2153	3251	4338	865	1719	2603	3442	622	1225	1590	2241
0:04:10	30.0	822	2151	3254	4318	856	1687	2627	3403	608	1218	1543	2200
0:04:15	30.0	831	2162	3248	4382	830	1694	2619	3422	620	1238	1537	2239
0:04:20	30.0	802	2184	3218	4327	859	1642	2577	3477	622	1200	1569	2198
0:04:25	30.0	835	2167	3215	4322	849	1696	2622	3426	598	1219	1554	2213
0:04:30	30.0	785	2139	3135	4265	843	1693	2574	3451	607	1214	1527	2213
0:04:35	30.0	824	2142	3166	4231	834	1708	2586	3482	574	1213	1569	2189
0:04:40	30.0	829	2146	3208	4303	834	1696	2624	3475	585	1224	1505	2135
0:04:45	30.0	794	2125	3129	4210	854	1735	2604	3418	605	1238	1508	2155
0:04:50	30.0	819	2089	3132	4241	845	1679	2555	3423	596	1236	1494	2214
0:04:55	30.0	805	2092	3177	4214	846	1671	2567	3458	631	1196	1500	2164
0:05:00	30.0	802	2120	3138	4163	828	1691	2622	3426	593	1204	1554	2193
0:05:05	30.0	824	2109	3136	4212	829	1710	2591	3398	619	1217	1533	2159
0:05:10	30.0	808	2174	3124	4189	835	1727	2584	3392	608	1223	1547	2187
0:05:15	30.0	801	2093	3188	4142	850	1678	2565	3460	584	1229	1510	2177
0:05:20	30.0	798	2134	3041	4190	834	1707	2644	3532	599	1204	1541	2172
0:05:25	30.0	831	2092	3091	4203	838	1716	2642	3414	590	1244	1475	2198
0:05:30	30.0	790	2080	3126	4148	844	1671	2508	3471	577	1214	1495	2112
0:05:35	30.0	823	2088	3124	4151	836	1719	2582	3442	620	1210	1525	2170
0:05:40	30.0	775	2084	3076	4099	852	1648	2620	3437	600	1191	1488	2241
0:05:45	30.0	792	2154	3085	4100	797	1716	2608	3376	588	1211	1533	2193
0:05:50	30.0	801	2041	3081	4092	825	1694	2585	3466	569	1217	1517	2152
0:05:55	30.0	785	2102	3104	4078	827	1689	2634	3436	583	1240	1544	2140
0:06:00	30.0	801	2114	3123	4110	842	1677	2577	3396	589	1203	1482	2162
0:06:05	30.0	820	2066	3119	4167	841	1706	2621	3416	588	1203	1496	2149
0:06:10	30.0	798	2102	3070	4074	867	1737	2633	3435	600	1214	1500	2158
0:06:15	30.0	812	2105	3079	4052	829	1687	2561	3456	578	1203	1505	2182
0:06:20	30.0	804	2099	3099	4070	814	1682	2568	3408	600	1226	1485	2147
0:06:25	30.0	792	2079	3077	4020	835	1654	2552	3415	598	1209	1503	2165
0:06:30	30.0	774	2075	3052	4036	860	1713	2584	3403	601	1191	1539	2143
0:06:35	30.0	814	2073	3051	4066	840	1657	2557	3444	597	1185	1521	2177
0:06:40	30.0	804	2092	3077	4007	833	1734	2647	3457	582	1227	1502	2170
0:06:45	30.0	805	2142	3041	4039	830	1694	2635	3461	574	1194	1515	2183
0:06:50	30.0	791	2124	3030	3992	838	1661	2591	3397	608	1198	1542	2115
0:06:55	30.0	824	2109	3043	4032	823	1689	2616	3480	601	1206	1502	2133
0:07:00	30.0	787	2055	3082	4024	835	1709	2573	3446	572	1191	1514	2143
0:07:05	30.0	790	2071	3055	3969	811	1682	2613	3447	590	1188	1491	2154
0:07:10	30.0	788	2103	3064	4058	838	1710	2613	3378	577	1230	1527	2182
0:07:15	30.0	799	2051	3022	3982	841	1710	2562	3437	617	1228	1541	2165
0:07:20	30.0	795	2055	3053	3980	832	1683	2598	3415	610	1217	1532	2164
0:07:25	30.0	790	2046	3008	4022	863	1694	2581	3401	578	1208	1498	2162
0:07:30	30.0	774	2077	3083	3969	828	1724	2580	3393	615	1222	1485	2143
0:07:35	30.0	827	2083	3010	4007	815	1711	2599	3455	562	1220	1531	2122
0:07:40	30.0	804	2013	3009	3945	835	1662	2621	3429	590	1190	1523	2114
0:07:45	30.0	779	2049	3006	4011	819	1677	2604	3453	597	1172	1486	2154
0:07:50	30.0	799	2114	2994	3998	845	1725	2639	3409	586	1192	1543	2123
0:07:55	30.0	800	2017	3048	3979	849	1681	2643	3432	585	1198	1507	2130
0:08:00	30.0	790	2026	3022	3967	805	1700	2670	3455	599	1180	1502	2107
0:08:05	30.0	781	2029	3015	3936	853	1725	2593	3414	583	1192	1505	2119
0:08:10	30.0	786	2062	3091	4007	850	1702	2557	3460	573	1199	1481	2100
0:08:15	30.0	797	2071	3020	3904	862	1701	2598	3482	603	1202	1496	2176
0:08:20	30.0	786	2039	3059	3946	817	1644	2583	3425	611	1197	1469	2123
0:08:25	30.0	800	2007	3012	3895	843	1694	2571	3491	613	1204	1526	2134
0:08:30	30.0	809	2050	2999	3932	857	1726	2590	3538	582	1222	1505	2163
0:08:35	30.0	786	2040	3011	4003	830	1698	2561	3425	582	1219	1492	2138
0:08:40	30.0	795	2049	3045	3918	824	1716	2558	3457	571	1212	1471	2123
0:08:45	30.0	772	2061	3019	3975	841	1713	2585	3437	594	1219	1477	2169
0:08:50	30.0	803	2044	3005	3983	839	1689	2599	3461	590	1197	1551	2133
0:08:55	30.0	791	2047	2987	3897	858	1697	2600	3445	591	1215	1482	2143
0:09:00	30.0	786	2044	2998	3938	823	1713	2581	3498	576	1187	1472	2130
0:09:05	30.0	787	2057	3024	3841	835	1691	2550	3508	585	1216	1490	2139
0:09:10	30.0	772	2057	2982	3874	831	1680	2560	3447	591	1184	1535	2177
0:09:15	30.0	809	2049	2981	3912	856	1662	2560	3430	601	1190	1475	2101
0:09:20	30.0	802	2029	3001	3879	883	1677	2588	3415	606	1249	1492	2131
0:09:25	30.0	781	2052	3008	3926	821	1720	2541	3426	596	1181	1495	2128
0:09:30	30.0	807	2058	3037	3904	785	1711	2625	3459	614	1179	1473	2134
0:09:35	30.0	814	2045	3025	3902	811	1703	2630	3451	591	1159	1459	2128
0:09:40	30.0	798	2051	3072	3927	828	1696	2543	3519	586	1176	1505	2139
0:09:45	30.0	801	2035	3037	3921	832	1710	2608	3520	606	1195	1459	2162
0:09:50	30.0	803	2029	2993	3915	823	1670	2580	3443	595	1193	1488	2107
0:09:55	30.0	787	2066	3022	3932	849	1696	2576	3407	578	1209	1465	2097
0:10:00	30.0	817	2072	3044	3858	842	1729	2596	3454	576	1173	1486	2144
0:10:05	30.0	782	2030	3063	3890	846	1719	2591	3470	591	1176	1483	2078
0:10:10	30.0	798	2045	2995	3872	832	1718	2579	3454	591	1174	1460	2086
0:10:15	30.0	770	2064	2958	3921	830	1664	2650	3448	586	1199	1460	2164
0:10:20	30.0	785	2054	2958	3942	828	1695	2634	3408	566	1191	1459	2091
0:10:25	30.0	763	2047	2994	3849	858	1690	2598	3411	586	1201	1492	2091
0:10:30	30.0	811	2023	3018	3883	813	1754	2637	3478	565	1168	1485	2133
0:10:35	30.0	786	2067	3034	3916	817	1717	2622	3451	600	1146	1519	2090
0:10:40	30.0	791	2037	2982	3899	833	1693	2572	3490	592	1183	1478	2117
0:10:45	30.0	762	2053	2931	3922	832	1691	2609	3447	584	1196	1483	2132
0:10:50	30.0	784	2043	2997	3858	844	1700	2615	3444	564	1157	1487	2138
0:10:55	30.0	794	2041	2979	3878	820	1680	2607	3479	581	1196	1472	2093
0:11:00	30.0	794	2060	2966	3905	855	1719	2606	3444	595	1201	1503	2072
0:11:05	30.0	799	2014	2971	3828	839	1682	2551	3474	609	1186	1510	2153
0:11:10	30.0	799	2009	3027	3869	812	1711	2610	3444	585	1185	1495	2074
0:11:15	30.0	805	2018	2973	3833	833	1740	2522	3458	581	1206	1479	2106
0:11:20	30.0	790	2043	2991	3879	833	1688	2587	3463	594	1188	1486	2099
0:11:25	30.0	768	2091	2965	3916	818	1703	2633	3433	586	1173	1445	2149
0:11:30	30.0	778	2024	3018	3868	810	1697	2554	3436	580	1175	1457	2087
