

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180827_GEF_FRET_assay5.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/27/2018
Time	2:31:52 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	A1..A12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:00:00	30.0	16447	20396	26114	33086	12321	15121	19881	24692	8736	10498	14114	17381
0:00:05	30.0	16286	20490	25451	32818	12377	15144	19789	24573	8577	10485	14035	17426
0:00:10	30.0	16191	20257	25628	32856	12068	15201	19980	23976	8645	10506	14006	17239
0:00:15	30.0	15940	20180	25473	32182	12051	14749	19834	24209	8521	10322	13902	17239
0:00:20	30.0	15926	20299	25241	32421	11933	14776	19712	24062	8310	10070	13772	17091
0:00:25	30.0	16026	20147	25318	32112	11934	14621	19649	23643	8214	10162	13579	17069
0:00:30	30.0	15608	20114	25264	31871	11670	14292	19253	23254	8237	10012	13657	16776
0:00:35	30.0	15659	19884	25282	32226	11556	14345	19269	23522	8087	9998	13602	16738
0:00:40	30.0	15582	19623	25215	31954	11439	14335	19109	23422	8063	9980	13317	16430
0:00:45	30.0	15391	19585	25084	31712	11524	14231	18918	23244	7908	9762	13379	16697
0:00:50	30.0	15244	19723	24687	31822	11479	14048	18936	22945	7937	9680	13100	16531
0:00:55	30.0	15292	19320	24757	31403	11420	13872	18769	22980	7853	9641	13149	16277
0:01:00	30.0	15032	19510	24487	31881	11218	13968	18618	23124	7728	9678	13100	16231
0:01:05	30.0	14994	19213	24725	31488	11107	13596	18587	22541	7655	9340	12927	16058
0:01:10	30.0	15029	19115	24481	31532	10893	13843	18628	22593	7651	9382	12780	16188
0:01:15	30.0	15033	19247	24299	31397	10939	13630	18261	22554	7470	9324	12814	15977
0:01:20	30.0	14704	18863	23862	31203	10804	13512	18590	22266	7546	9151	12757	15858
0:01:25	30.0	14649	19098	23915	31078	10899	13258	18133	22519	7382	9279	12556	15808
0:01:30	30.0	14783	18917	23506	31061	10755	13391	18098	22030	7320	9284	12406	15759
0:01:35	30.0	14511	18857	23761	30963	10553	13214	18019	22086	7351	9139	12424	15533
