

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180827_GEF_FRET_assay7.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/27/2018
Time	5:07:55 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	C3..C11
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C			SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9		Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C3	C4	C5	C6	C7	C8	C9	C10	C11
0:00:00	30.0	19410	26606	32543	36645	12493	16481	21236	29067	17659
0:00:05	30.0	19279	26428	32355	36579	12349	16383	21118	29063	17384
0:00:10	30.0	19568	26629	32372	36327	12275	16223	20930	28855	17464
0:00:15	30.0	19269	26438	32101	36170	12265	16092	20810	28913	17087
0:00:20	30.1	19048	26133	31986	36438	12279	15638	20700	28686	17393
0:00:25	30.0	19061	26115	31790	36353	12149	15791	20712	28525	17043
0:00:30	30.0	18946	26192	31675	36386	11978	15643	20365	28461	16813
0:00:35	30.0	18681	26064	31548	36146	11847	15449	20621	28173	16972
0:00:40	30.0	18854	25924	31222	35998	11713	15387	20428	28213	16850
0:00:45	30.0	18643	25929	31840	35761	11589	15215	20239	27862	16582
0:00:50	30.0	18458	25503	31252	35551	11571	15431	20158	27769	16445
0:00:55	30.0	18234	25645	31324	35533	11680	15189	20163	28153	16621
0:01:00	30.0	18548	25433	30820	36299	11380	15125	20063	27715	16474
0:01:05	30.0	18156	25528	30767	35649	11424	15053	19878	27478	16103
0:01:10	30.0	18350	25259	30978	35689	11201	14904	19973	27446	16251
0:01:15	30.0	18172	24817	30850	34963	11153	14876	19703	27369	16354
