

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180828_GEF_FRET_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/28/2018
Time	11:29:37 AM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:55:00 (HH:MM:SS), Interval 0:00:05, 661 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	5212	6054	8103	9256	11599	12678	5308	6377	7649	7277	10839	10011
0:00:05	30.0	5225	6001	8150	9163	11621	12632	5296	6383	7638	7450	11043	10074
0:00:10	30.0	5237	6032	8193	9222	11790	12726	5310	6269	7699	7466	11009	10165
0:00:15	30.0	5368	5904	8108	9307	11589	12625	5254	6193	7594	7530	10990	10125
0:00:20	30.0	5271	6019	8226	9217	11625	12594	5214	6241	7492	7484	11044	10171
0:00:25	30.0	5257	6003	8181	9145	11571	12712	5176	6112	7420	7501	11017	10210
0:00:30	30.0	5190	6003	8210	8996	11549	12756	5096	6249	7563	7446	10832	10224
0:00:35	30.0	5221	5913	8052	9044	11653	12592	5142	6178	7500	7371	11011	10108
0:00:40	30.0	5207	6010	8110	9144	11360	12744	5131	6157	7431	7484	10810	10258
0:00:45	30.0	5157	6001	8062	9184	11455	12390	5094	6168	7482	7358	10834	10154
0:00:50	30.0	5213	5997	8068	9043	11443	12471	5051	6035	7403	7366	10699	10201
0:00:55	30.0	5217	5951	8086	9227	11333	12466	4998	6040	7380	7425	10750	10072
0:01:00	30.0	5124	5900	8096	9036	11366	12639	4953	6079	7238	7394	10730	10087
0:01:05	30.0	5101	5942	8095	9122	11336	12376	5025	5961	7335	7330	10669	10135
0:01:10	30.0	5057	5897	7952	9036	11364	12473	5021	5995	7314	7372	10756	10030
0:01:15	30.0	5083	5857	8027	9032	11313	12290	4949	5884	7409	7137	10673	10160
0:01:20	30.0	5124	5807	8013	8977	11223	12396	4880	5883	7243	7372	10693	10137
0:01:25	30.0	5035	5860	7946	8915	11286	12318	4888	5927	7356	7300	10659	10131
0:01:30	30.0	5143	5866	8010	8983	11187	12319	4900	5793	7233	7220	10597	10165
0:01:35	30.0	5102	5874	7987	8888	11129	12228	4905	5864	7241	7053	10541	9922
0:01:40	30.0	5110	5824	7908	8984	11196	12370	4859	5804	7255	7096	10608	10000
0:01:45	30.0	4978	5878	7882	8884	11145	12330	4816	5759	7156	7015	10585	9953
0:01:50	30.0	5031	5831	7869	8807	11062	12315	4777	5767	7160	7006	10399	9927
0:01:55	30.0	5033	5812	7843	8813	11126	12114	4749	5740	7181	7091	10431	9709
0:02:00	30.0	5033	5801	7692	8711	11145	12119	4708	5679	7088	7056	10400	9965
0:02:05	30.0	4964	5862	7853	8998	10954	12026	4716	5772	7151	6989	10397	9792
0:02:10	30.0	4978	5738	7850	8826	11064	12029	4668	5762	6979	6912	10334	9735
0:02:15	30.0	5055	5751	7683	8829	10894	12032	4634	5591	7021	6941	10530	9910
0:02:20	30.0	5005	5827	7819	8805	10969	12074	4624	5584	7006	6900	10295	9736
0:02:25	30.0	4883	5725	7693	8707	11112	11961	4658	5576	6985	6857	10302	9836
0:02:30	30.0	4940	5743	7792	8823	10919	11859	4621	5557	6928	6885	10232	9786
0:02:35	30.0	4872	5764	7709	8616	10741	12103	4634	5546	6943	6888	10302	9709
0:02:40	30.0	4929	5625	7604	8755	10922	11804	4593	5444	6923	6757	10252	9700
0:02:45	30.0	4926	5700	7618	8709	10868	11840	4517	5560	6873	6857	10194	9700
0:02:50	30.0	4931	5730	7638	8705	10896	11901	4483	5470	7010	6696	10138	9590
0:02:55	30.0	4912	5689	7587	8625	10795	11935	4562	5436	6770	6769	10177	9631
0:03:00	30.0	4831	5658	7601	8553	10708	11782	4538	5445	6749	6792	10184	9628
0:03:05	30.0	4848	5653	7601	8628	10862	11848	4462	5426	6807	6733	10043	9690
0:03:10	30.0	4827	5590	7499	8635	10826	11649	4384	5318	6808	6775	10073	9526
0:03:15	30.0	4814	5635	7558	8560	10728	12016	4445	5379	6726	6744	10046	9517
0:03:20	30.0	4797	5647	7611	8616	10831	11744	4385	5355	6743	6638	10079	9564
0:03:25	30.0	4748	5612	7407	8470	10654	11860	4429	5348	6718	6613	10050	9465
0:03:30	30.0	4852	5578	7494	8422	10667	11758	4363	5317	6653	6691	9953	9640
0:03:35	30.0	4873	5663	7534	8576	10794	11704	4344	5349	6660	6608	10010	9468
0:03:40	30.0	4714	5589	7396	8569	10689	11659	4319	5319	6693	6492	9895	9399
0:03:45	30.0	4775	5553	7387	8458	10590	11597	4290	5318	6658	6569	9881	9447
0:03:50	30.0	4737	5667	7377	8503	10657	11477	4333	5288	6659	6679	9966	9366
0:03:55	30.0	4827	5555	7342	8470	10658	11640	4417	5267	6701	6441	9930	9184
0:04:00	30.0	4805	5629	7345	8495	10500	11624	4277	5239	6602	6503	9793	9214
0:04:05	30.0	4782	5467	7347	8439	10762	11572	4367	5326	6478	6404	9933	9328
0:04:10	30.0	4867	5558	7450	8424	10621	11709	4391	5224	6512	6478	9758	9289
0:04:15	30.0	4738	5509	7450	8369	10631	11603	4226	5201	6563	6541	9813	9348
0:04:20	30.0	4747	5459	7273	8383	10581	11381	4296	5183	6552	6464	9782	9302
0:04:25	30.0	4756	5511	7294	8455	10533	11348	4211	5286	6522	6455	9916	9323
0:04:30	30.0	4718	5489	7327	8444	10543	11446	4307	5153	6532	6479	9791	9179
0:04:35	30.0	4746	5494	7404	8437	10525	11494	4202	5059	6447	6441	9651	9303
0:04:40	30.0	4754	5441	7252	8353	10467	11463	4222	5118	6435	6360	9731	9067
0:04:45	30.0	4752	5388	7165	8450	10285	11371	4214	5070	6568	6406	9689	9162
0:04:50	30.0	4631	5356	7268	8404	10446	11602	4133	5040	6541	6348	9692	9181
0:04:55	30.0	4703	5388	7252	8388	10400	11481	4146	5133	6489	6408	9565	9237
0:05:00	30.0	4660	5391	7337	8201	10301	11288	4196	5023	6356	6272	9580	9163
0:05:05	30.0	4639	5438	7182	8218	10495	11368	4095	4952	6426	6361	9704	9106
0:05:10	30.0	4622	5351	7144	8291	10271	11378	4113	5050	6467	6256	9576	9179
0:05:15	30.0	4767	5378	7228	8125	10318	11430	4111	4993	6358	6372	9602	9112
0:05:20	30.0	4644	5387	7272	8363	10258	11226	4088	4971	6335	6263	9632	8993
0:05:25	30.0	4629	5426	7159	8174	10317	11276	4093	5002	6412	6238	9452	9112
0:05:30	30.0	4596	5362	7217	8301	10319	11224	4089	5056	6333	6210	9466	9126
0:05:35	30.0	4562	5361	7105	8248	10204	11169	4013	4951	6330	6240	9469	9095
0:05:40	30.0	4571	5254	7163	8207	10056	11165	4092	4941	6294	6143	9550	8903
0:05:45	30.0	4590	5343	7218	8232	10294	11303	4073	5046	6339	6220	9430	8965
0:05:50	30.0	4546	5307	7224	8198	10214	11233	4047	4990	6306	6147	9365	8915
0:05:55	30.0	4559	5317	7047	8170	10128	11245	4018	4858	6178	6079	9403	8851
0:06:00	30.0	4511	5310	6968	8127	10246	11368	4027	4873	6234	6099	9371	8985
0:06:05	30.0	4615	5342	7064	8158	9965	11196	3939	4802	6250	6209	9491	8929
0:06:10	30.0	4534	5269	7163	8183	10103	11218	3980	4859	6125	6064	9351	8812
0:06:15	30.0	4514	5290	7013	8045	10182	11181	3899	4864	6171	6089	9313	8816
0:06:20	30.0	4528	5320	6992	8076	10217	11081	3982	4822	6167	6202	9243	8851
0:06:25	30.0	4518	5378	6984	8117	10105	11000	3950	4833	6140	6058	9380	8897
0:06:30	30.0	4461	5249	6984	8037	10213	11075	4004	4887	6159	6131	9487	8785
0:06:35	30.0	4510	5214	7029	7999	10018	10937	4004	4778	6148	6043	9296	8857
0:06:40	30.0	4469	5229	7004	8057	10043	10903	3991	4829	6135	6070	9172	8788
0:06:45	30.0	4435	5292	6991	8096	10182	10940	3903	4766	6129	5925	9211	8815
0:06:50	30.0	4447	5131	6975	7935	9957	11156	4001	4754	6104	6064	9329	8671
0:06:55	30.0	4455	5199	7046	7935	10073	11030	3924	4779	6063	5983	9107	8787
0:07:00	30.0	4445	5237	6956	8066	10021	11014	3901	4752	6041	6002	9310	8747
0:07:05	30.0	4496	5172	6942	8004	9994	10947	3907	4815	5991	5991	9227	8764
0:07:10	30.0	4454	5115	6997	7899	9954	10816	3858	4706	6052	5991	9312	8759
0:07:15	30.0	4422	5085	6961	7891	9943	10911	3876	4816	6019	5877	9132	8815
0:07:20	30.0	4444	5100	6816	7840	9851	10828	3763	4726	5975	6014	9121	8779
0:07:25	30.0	4409	5156	6799	7998	10045	10836	3917	4677	6089	5898	9116	8701
0:07:30	30.0	4394	5178	6815	7873	9725	10806	3884	4649	6015	5935	9070	8714
0:07:35	30.0	4360	5057	6819	7853	9810	10835	3802	4661	6006	5893	9105	8752
0:07:40	30.0	4417	5218	6762	7866	9795	10877	3776	4725	6055	5802	9102	8729
0:07:45	30.0	4333	5104	6809	7921	9783	10887	3822	4720	5995	5901	9204	8718
0:07:50	30.0	4435	5163	6858	7919	9818	10782	3819	4683	5899	5872	9039	8637
0:07:55	30.0	4300	5144	6813	7739	9918	10866	3873	4602	5973	5865	9071	8560
0:08:00	30.0	4395	5143	6864	7863	9770	10709	3765	4655	5886	5800	8948	8686
0:08:05	30.0	4390	5008	6680	7829	9852	10750	3791	4602	5882	5770	8912	8640
0:08:10	30.0	4420	5078	6731	7723	9833	10806	3850	4682	5986	5805	8988	8641
0:08:15	30.0	4355	5040	6748	7748	9824	10665	3804	4650	5795	5771	8860	8567
0:08:20	30.0	4403	5058	6744	7694	9591	10780	3812	4631	5845	5915	8999	8563
0:08:25	30.0	4303	4971	6732	7812	9675	10848	3727	4565	5930	5820	8956	8450
0:08:30	30.0	4334	5037	6707	7752	9629	10619	3742	4503	5872	5820	8989	8468
0:08:35	30.0	4303	5095	6758	7731	9837	10562	3734	4486	5884	5735	8892	8502
0:08:40	30.0	4310	4968	6671	7740	9742	10672	3790	4554	5828	5694	8959	8437
0:08:45	30.0	4350	5002	6768	7594	9727	10752	3752	4610	5877	5800	8915	8531
0:08:50	30.0	4284	5034	6739	7727	9532	10638	3706	4467	5782	5725	8937	8412
0:08:55	30.0	4326	4998	6618	7662	9661	10587	3656	4452	5844	5755	8806	8532
0:09:00	30.0	4278	5080	6711	7606	9597	10669	3699	4581	5822	5627	8894	8586
0:09:05	30.0	4296	4969	6656	7629	9674	10602	3741	4507	5780	5703	8824	8444
0:09:10	30.0	4218	4957	6694	7736	9674	10515	3697	4506	5865	5599	8747	8383
0:09:15	30.0	4284	4879	6676	7654	9471	10614	3742	4575	5846	5628	8789	8469
0:09:20	30.0	4186	4905	6526	7663	9471	10538	3712	4477	5762	5678	8837	8521
0:09:25	30.0	4233	4957	6650	7695	9555	10579	3678	4495	5777	5651	8844	8409
0:09:30	30.0	4228	4935	6712	7669	9580	10454	3638	4475	5704	5681	8831	8311
0:09:35	30.0	4238	4949	6598	7585	9506	10560	3718	4424	5760	5620	8778	8365
0:09:40	30.0	4230	4950	6602	7631	9502	10530	3669	4546	5690	5576	8749	8437
0:09:45	30.0	4231	4977	6573	7591	9495	10294	3655	4409	5613	5617	8767	8447
0:09:50	30.0	4173	4883	6570	7620	9546	10486	3673	4451	5753	5707	8736	8292
0:09:55	30.0	4193	4921	6590	7439	9598	10446	3659	4464	5711	5615	8664	8297
0:10:00	30.0	4205	4881	6606	7628	9518	10645	3667	4397	5661	5632	8838	8251
0:10:05	30.0	4256	4873	6492	7540	9460	10409	3726	4420	5615	5612	8673	8205
0:10:10	30.0	4138	4884	6588	7474	9483	10583	3627	4441	5715	5663	8728	8355
0:10:15	30.0	4254	4892	6492	7638	9530	10401	3592	4399	5595	5561	8603	8306
0:10:20	30.0	4141	4786	6542	7396	9395	10428	3653	4517	5687	5581	8689	8243
0:10:25	30.0	4168	4853	6466	7547	9399	10505	3579	4452	5610	5598	8686	8171
0:10:30	30.0	4154	4849	6519	7386	9403	10434	3572	4418	5682	5580	8634	8243
0:10:35	30.0	4145	4825	6589	7522	9524	10444	3616	4470	5654	5545	8551	8252
0:10:40	30.0	4168	4857	6432	7606	9352	10308	3540	4368	5581	5607	8656	8074
0:10:45	30.0	4129	4801	6490	7602	9300	10248	3580	4432	5697	5560	8637	8212
