Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:30:00 (HH:MM:SS), Interval 0:00:05, 361 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

295,335

Time	T° 295,335	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	4589	5740	6694	8571	10453	11090	4891	6159	7540	7397	11147	11694
0:00:05	30.0	4462	5694	6606	8719	10415	11033	4855	6023	7571	7406	11013	11673
0:00:10	30.0	4376	5485	6488	8492	10387	10980	4788	6008	7329	7438	11140	11481
0:00:15	30.0	4375	5500	6377	8473	10314	10895	4668	5857	7298	7293	10929	11374
0:00:20	30.0	4380	5441	6416	8306	10106	10813	4584	5764	7235	7162	10882	11252
0:00:25	30.0	4349	5310	6351	8221	10075	10592	4476	5797	7140	7040	10921	11117
0:00:30	30.0	4267	5224	6229	8210	10074	10553	4370	5541	7025	7084	10853	10885
0:00:35	30.0	4171	5274	6237	8078	9843	10387	4415	5454	6911	6817	10595	10882
0:00:40	30.0	4093	5165	6186	8035	9729	10326	4314	5427	6808	6718	10592	10772
0:00:45	30.0	4059	5136	5999	7962	9708	10451	4288	5334	6817	6706	10464	10731
0:00:50	30.0	3996	5014	6051	7986	9682	10298	4167	5318	6717	6641	10389	10479
0:00:55	30.0	3963	5042	6080	7836	9491	10088	4099	5221	6537	6536	10242	10386
0:01:00	30.0	3886	5008	5945	7666	9561	10260	4074	5191	6653	6473	10272	10370
0:01:05	30.0	3918	4916	5823	7693	9308	10064	4071	5089	6479	6408	9983	10210
0:01:10	30.0	3787	4833	5707	7750	9434	9940	4036	5042	6385	6312	10008	10334
0:01:15	30.0	3767	4867	5689	7746	9249	9984	3907	5011	6378	6352	10041	10086
0:01:20	30.0	3699	4789	5577	7511	9301	9769	3893	4996	6326	6231	9864	9891
0:01:25	30.1	3721	4740	5585	7678	9135	9765	3900	4979	6315	6178	9829	10070
0:01:30	30.0	3633	4731	5531	7431	9041	9811	3901	4927	6250	6215	9755	9828
0:01:35	30.0	3663	4722	5473	7377	8991	9668	3799	4856	6124	6085	9575	9776
0:01:40	30.0	3676	4600	5433	7273	8884	9584	3777	4909	6098	5997	9637	9771
0:01:45	30.0	3610	4635	5390	7473	8879	9627	3765	4762	6045	5923	9528	9789
0:01:50	30.0	3604	4514	5316	7285	8830	9474	3741	4707	6006	5924	9419	9555
0:01:55	30.0	3586	4566	5219	7227	8708	9389	3770	4717	5856	5831	9447	9622
0:02:00	30.0	3493	4546	5229	7180	8804	9490	3690	4695	5930	5865	9383	9569
0:02:05	30.0	3548	4527	5084	7066	8756	9344	3708	4622	5816	5736	9169	9502
0:02:10	30.0	3526	4441	5034	7000	8665	9342	3611	4634	5806	5712	9194	9352
0:02:15	30.0	3461	4471	5067	7068	8593	9230	3745	4576	5817	5691	9198	9307
0:02:20	30.0	3458	4348	5032	7116	8492	9187	3672	4616	5741	5594	9077	9224
0:02:25	30.0	3411	4378	4951	6952	8648	9123	3632	4561	5820	5637	9114	9258
0:02:30	30.0	3391	4361	4967	6851	8510	8966	3642	4556	5747	5635	9034	9180
0:02:35	30.0	3387	4341	4817	6864	8412	9069	3610	4500	5670	5624	8989	9100
0:02:40	30.0	3310	4231	4897	6858	8447	9024	3525	4465	5666	5543	8951	9043
0:02:45	30.0	3394	4234	4826	6824	8328	8982	3576	4517	5635	5518	8978	9098
0:02:50	30.0	3413	4225	4796	6754	8244	8993	3569	4473	5602	5402	8844	9009
0:02:55	30.0	3332	4191	4768	6764	8343	8842	3528	4478	5659	5587	8784	8989
0:03:00	30.0	3345	4186	4753	6736	8310	8772	3609	4435	5508	5488	8637	8922
0:03:05	30.0	3334	4217	4719	6661	8271	8760	3513	4434	5577	5393	8688	8914
0:03:10	30.0	3330	4122	4701	6613	8245	8822	3521	4485	5526	5442	8801	8685
0:03:15	30.0	3273	4197	4654	6571	8168	8793	3586	4367	5553	5419	8744	8647
0:03:20	30.0	3277	4167	4673	6613	8079	8757	3489	4379	5534	5435	8583	8599
0:03:25	30.0	3225	4122	4605	6513	8143	8753	3588	4469	5403	5327	8557	8818
0:03:30	30.0	3217	4124	4687	6487	8072	8541	3506	4398	5532	5362	8511	8741
0:03:35	30.0	3259	4037	4709	6492	8034	8609	3518	4408	5423	5346	8483	8597
0:03:40	30.0	3191	4077	4602	6423	8021	8580	3540	4366	5422	5416	8442	8484
0:03:45	30.0	3175	4033	4614	6431	7933	8575	3510	4295	5471	5346	8428	8574
0:03:50	30.0	3147	3994	4507	6398	7935	8539	3567	4325	5465	5275	8484	8544
0:03:55	30.0	3184	3945	4526	6365	7901	8468	3506	4379	5426	5307	8350	8451
0:04:00	30.0	3187	4028	4550	6460	7867	8515	3515	4289	5296	5242	8366	8519
0:04:05	30.0	3158	3977	4495	6413	7866	8516	3541	4315	5378	5205	8290	8395
0:04:10	30.0	3137	4000	4542	6361	7852	8551	3433	4365	5321	5284	8250	8371
0:04:15	30.0	3131	3923	4465	6292	7772	8388	3395	4324	5326	5306	8307	8383
0:04:20	30.0	3107	3843	4475	6252	7763	8339	3481	4253	5425	5186	8230	8363
0:04:25	30.0	3089	3920	4416	6323	7833	8199	3447	4299	5311	5200	8253	8341
0:04:30	30.0	3136	3881	4397	6275	7767	8441	3420	4265	5246	5185	8306	8337
0:04:35	30.0	3040	3913	4456	6258	7654	8341	3464	4298	5307	5228	8139	8298
0:04:40	30.0	3101	3909	4459	6201	7715	8261	3485	4280	5311	5309	8197	8323
0:04:45	30.0	3111	3948	4443	6244	7713	8217	3471	4340	5235	5192	8080	8297
0:04:50	30.0	3089	3852	4416	6180	7724	8169	3482	4303	5269	5173	8128	8314
0:04:55	30.0	3098	3825	4326	6135	7677	8147	3408	4314	5357	5177	8211	8283
0:05:00	30.0	3053	3796	4451	6130	7551	8225	3436	4314	5316	5252	8105	8182
0:05:05	30.0	3053	3764	4352	6129	7660	8204	3501	4239	5274	5133	8083	8205
0:05:10	30.0	3095	3777	4334	6073	7444	8108	3494	4291	5263	5191	8072	8211
0:05:15	30.0	3064	3831	4315	6128	7597	8149	3497	4183	5255	5213	8208	8215
0:05:20	30.0	3115	3823	4351	6085	7524	8075	3455	4305	5248	5166	8108	8214
0:05:25	30.0	3127	3800	4334	6038	7492	8072	3487	4281	5313	5166	8136	8142
0:05:30	30.0	2987	3836	4326	6104	7493	8016	3476	4171	5231	5268	8047	8098
0:05:35	30.0	3012	3796	4319	6046	7492	8089	3442	4301	5276	5183	8115	8151
0:05:40	30.0	3011	3740	4357	5989	7426	8098	3501	4245	5335	5141	8030	8244
0:05:45	30.0	2965	3761	4261	6007	7448	8059	3482	4256	5267	5188	8119	8098
0:05:50	30.0	3040	3816	4238	5958	7491	7995	3454	4215	5296	5116	8094	8150
0:05:55	30.0	3023	3735	4247	6003	7425	8026	3508	4328	5265	5228	7927	8066
0:06:00	30.0	2985	3760	4272	6001	7396	8004	3427	4220	5300	5175	8088	8119
0:06:05	30.0	3020	3778	4308	5978	7449	7955	3536	4211	5214	5160	8022	7956
0:06:10	30.0	3073	3763	4249	6017	7365	8037	3452	4244	5278	5129	8121	8007
0:06:15	30.0	2966	3701	4242	6027	7378	7969	3507	4222	5223	5219	7984	8103
0:06:20	30.0	2958	3730	4356	5994	7325	7941	3450	4302	5182	5141	7954	7951
0:06:25	30.0	3009	3776	4225	5989	7368	7924	3536	4299	5204	5127	7995	7971
0:06:30	30.0	2988	3752	4274	5959	7408	7960	3437	4256	5203	5152	7934	8007
0:06:35	30.0	2931	3721	4285	5890	7424	7828	3432	4276	5257	5100	8027	7959
0:06:40	30.0	2942	3724	4247	5909	7244	7875	3424	4366	5254	5101	7914	7986
0:06:45	30.0	3008	3726	4209	5898	7333	7810	3402	4226	5266	5145	8009	7935
0:06:50	30.0	2967	3662	4226	5857	7254	7885	3444	4267	5245	5188	7917	7993
0:06:55	30.0	3032	3709	4180	6063	7244	7787	3422	4202	5235	5183	7957	7991
0:07:00	30.0	3000	3682	4244	5841	7335	7887	3474	4183	5263	5080	8031	7918
0:07:05	30.1	2983	3747	4211	5900	7263	7860	3399	4205	5280	5089	7966	7874
0:07:10	30.0	2989	3715	4201	5930	7296	7849	3452	4235	5136	5081	7975	7962
0:07:15	30.0	2992	3668	4186	5978	7175	7782	3462	4199	5242	5064	7893	7979
0:07:20	30.0	3008	3736	4189	5922	7206	7776	3432	4252	5218	5150	7929	7968
0:07:25	30.0	2994	3704	4088	5837	7229	7786	3441	4276	5239	4991	7938	7929
0:07:30	30.0	2934	3667	4151	5834	7252	7789	3469	4244	5196	5100	7897	8039
0:07:35	30.0	2969	3739	4217	5823	7306	7810	3441	4242	5175	5076	7871	7972
