

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	G3
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G			SPL1										Well ID
H													Well ID

295,335

Time	T° 295,335	G3
0:00:00	30.0	1958
0:00:02	30.0	1972
0:00:04	30.0	1921
0:00:06	30.0	1815
0:00:08	30.0	1766
0:00:10	30.0	1741
0:00:12	30.0	1731
0:00:14	30.0	1694
0:00:16	30.0	1673
0:00:18	30.0	1642
0:00:20	30.0	1621
0:00:22	30.0	1579
0:00:24	30.0	1525
0:00:26	30.0	1553
0:00:28	30.0	1492
0:00:30	30.0	1556
0:00:32	30.0	1493
0:00:34	30.0	1505
0:00:36	30.0	1522
0:00:38	30.0	1420
0:00:40	30.0	1434
0:00:42	30.0	1432
0:00:44	30.0	1452
0:00:46	30.0	1442
0:00:48	30.0	1455
0:00:50	30.0	1430
0:00:52	30.0	1409
0:00:54	30.0	1381
0:00:56	30.0	1366
0:00:58	30.0	1402
0:01:00	30.0	1362
0:01:02	30.0	1381
0:01:04	30.0	1364
0:01:06	30.0	1351
0:01:08	30.0	1379
0:01:10	30.0	1361
0:01:12	30.0	1380
0:01:14	30.0	1381
0:01:16	30.0	1350
0:01:18	30.0	1341
0:01:20	30.0	1323
0:01:22	30.0	1332
0:01:24	30.0	1384
0:01:26	30.0	1328
0:01:28	30.0	1329
0:01:30	30.0	1324
0:01:32	30.0	1324
0:01:34	30.0	1319
0:01:36	30.0	1331
0:01:38	30.0	1342
0:01:40	30.0	1319
0:01:42	30.0	1310
0:01:44	30.0	1328
0:01:46	30.0	1312
0:01:48	30.0	1285
0:01:50	30.0	1305
0:01:52	30.0	1260
0:01:54	30.0	1275
0:01:56	30.0	1287
0:01:58	30.0	1342
0:02:00	30.0	1317
0:02:02	30.0	1295
0:02:04	30.0	1308
0:02:06	30.0	1321
0:02:08	30.0	1294
0:02:10	30.0	1302
0:02:12	30.0	1284
0:02:14	30.0	1271
0:02:16	30.0	1291
0:02:18	30.0	1303
0:02:20	30.0	1301
0:02:22	30.0	1272
0:02:24	30.0	1294
0:02:26	30.0	1311
0:02:28	30.0	1264
0:02:30	30.0	1276
0:02:32	30.0	1306
0:02:34	30.0	1296
0:02:36	30.0	1284
0:02:38	30.0	1296
0:02:40	30.0	1278
0:02:42	30.0	1282
0:02:44	30.0	1291
0:02:46	30.0	1277
0:02:48	30.0	1289
0:02:50	30.0	1277
0:02:52	30.0	1289
0:02:54	30.0	1267
0:02:56	30.0	1283
0:02:58	30.0	1291
0:03:00	30.0	1265
0:03:02	30.0	1267
0:03:04	30.0	1297
0:03:06	30.0	1274
0:03:08	30.0	1265
0:03:10	30.0	1286
0:03:12	30.0	1275
0:03:14	30.0	1292
0:03:16	30.0	1310
0:03:18	30.0	1306
0:03:20	30.0	1288
0:03:22	30.0	1286
0:03:24	30.0	1256
0:03:26	30.0	1283
0:03:28	30.0	1276
0:03:30	30.0	1285
0:03:32	30.0	1286
0:03:34	30.0	1301
0:03:36	30.0	1261
0:03:38	30.0	1280
0:03:40	30.0	1275
0:03:42	30.0	1274
0:03:44	30.0	1261
0:03:46	30.0	1271
0:03:48	30.0	1288
0:03:50	30.0	1291
0:03:52	30.0	1294
0:03:54	30.0	1290
0:03:56	30.0	1263
0:03:58	30.0	1276
0:04:00	30.0	1279
0:04:02	30.0	1265
0:04:04	30.0	1281
0:04:06	30.0	1274
0:04:08	30.0	1282
0:04:10	30.0	1271
0:04:12	30.0	1287
0:04:14	30.0	1282
0:04:16	30.0	1293
0:04:18	30.0	1281
0:04:20	30.0	1255
0:04:22	30.0	1277
0:04:24	30.0	1277
0:04:26	30.0	1268
0:04:28	30.0	1305
0:04:30	30.0	1279
0:04:32	30.0	1264
0:04:34	30.0	1282
0:04:36	30.0	1253
0:04:38	30.0	1265
0:04:40	30.0	1268
0:04:42	30.0	1302
0:04:44	30.0	1255
0:04:46	30.0	1259
0:04:48	30.0	1244
0:04:50	30.0	1285
0:04:52	30.0	1239
0:04:54	30.0	1261
0:04:56	30.0	1259
0:04:58	30.0	1259
0:05:00	30.0	1249

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G			-3180000.000										Max V [295,335]
			1.000										R-Squared [295,335]
			0:00:05										t at Max V [295,335]
			0:00:03										Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

