

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	6590	8194	9590	12767	4471	5226	5921	7720	6710	8286	9679	11961
0:00:05	30.0	6635	8235	9644	12741	4532	5219	5887	7787	6675	8274	9593	12170
0:00:10	30.0	6589	8303	9717	12774	4457	5267	5919	7888	6670	8272	9556	12054
0:00:15	30.0	6649	8227	9749	12721	4485	5175	5837	7830	6783	8310	9607	11940
0:00:20	30.0	6647	8279	9738	12827	4382	5237	5928	7743	6727	8116	9595	11934
0:00:25	30.0	6742	8265	9710	12930	4292	5174	5873	7691	6612	8090	9485	11938
0:00:30	30.0	6593	8334	9660	12711	4371	5112	5860	7695	6663	8068	9380	11975
0:00:35	30.0	6668	8259	9823	12665	4395	5127	5848	7545	6569	8012	9284	11924
0:00:40	30.0	6661	8292	9668	12952	4212	5059	5766	7565	6438	8085	9467	11692
0:00:45	30.0	6536	8383	9805	12702	4200	5098	5898	7602	6361	7895	9259	11521
0:00:50	30.0	6683	8301	9691	12820	4204	5108	5790	7367	6403	7852	9237	11533
0:00:55	30.0	6645	8218	9716	12800	4143	5045	5768	7431	6295	7780	9191	11551
0:01:00	30.0	6675	8291	9656	12618	4168	5089	5673	7434	6247	7712	9153	11489
0:01:05	30.0	6529	8298	9623	12689	4123	5052	5717	7368	6385	7708	8974	11563
0:01:10	30.0	6571	8238	9578	12662	4132	5024	5713	7258	6265	7646	9016	11351
0:01:15	30.0	6612	8266	9574	12661	4138	4944	5621	7261	6241	7666	8889	11217
