

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	8568	10667	13882	16240	9045	11033	12841	16809	9064	10867	12576	15090
0:00:05	30.0	8478	10616	13620	16303	9090	11114	12792	16839	8996	10871	12469	15164
0:00:10	30.0	8489	10734	13600	16269	9154	10997	12754	16629	8874	10682	12434	15133
0:00:15	30.0	8464	10671	13539	16143	9102	10815	12783	16717	8869	10697	12444	15236
0:00:20	30.0	8315	10454	13606	15822	8992	10883	12800	16529	8663	10623	12207	15031
0:00:25	30.0	8241	10672	13345	15811	8877	10796	12907	16789	8547	10627	12311	15108
0:00:30	30.0	8384	10515	13331	15696	8976	10642	12669	16506	8486	10390	12137	14907
0:00:35	30.0	8271	10338	13125	15679	8764	10630	12640	16482	8316	10421	12118	14817
0:00:40	30.0	8212	10327	13039	15410	8761	10659	12633	16399	8289	10238	12133	14715
0:00:45	30.0	8335	10225	13138	15611	8638	10580	12484	16445	8291	10183	11986	14798
0:00:50	30.0	8167	10314	12863	15404	8496	10497	12599	16396	8219	10160	12025	14734
0:00:55	30.0	8130	10218	12777	15294	8640	10502	12284	16262	8206	10070	11897	14735
0:01:00	30.0	8104	10206	12844	15293	8491	10353	12299	16269	8043	9902	11711	14547
0:01:05	30.0	8018	10061	12851	15099	8558	10371	12228	16143	8084	9865	11753	14654
0:01:10	30.0	8001	10254	12674	15110	8394	10318	12144	16170	8023	9885	11654	14475
0:01:15	30.0	8082	9988	12698	15199	8339	10262	12197	15998	7870	9873	11514	14318
0:01:20	30.0	7834	9945	12549	15015	8231	10257	12166	16046	7793	9752	11502	14405
0:01:25	30.0	7840	9966	12572	14964	8269	10181	12146	15957	7794	9769	11336	14326
0:01:30	30.0	7856	9916	12561	14992	8301	10128	12095	15770	7744	9770	11355	14276
0:01:35	30.0	7832	9766	12278	15018	8146	10000	11817	15772	7696	9625	11294	14340
0:01:40	30.0	7736	9899	12421	15024	8154	10005	12176	15576	7733	9596	11215	14170
0:01:45	30.0	7810	9821	12236	14979	8024	10153	12014	15641	7669	9494	11140	14222
0:01:50	30.0	7758	9874	12216	14597	8001	9985	12033	15547	7583	9555	11198	13928
0:01:55	30.0	7737	9639	12201	14621	8026	9820	11965	15671	7576	9408	11152	13999
0:02:00	30.0	7675	9520	12068	14638	8004	9924	11733	15471	7445	9400	11084	14059
0:02:05	30.0	7589	9725	12129	14569	7897	9679	11762	15480	7646	9300	11069	13889
0:02:10	30.0	7586	9599	12079	14561	7927	9817	11714	15372	7473	9244	10982	13944
0:02:15	30.0	7653	9691	12009	14447	7876	9667	11614	15461	7467	9146	10815	13748
0:02:20	30.0	7534	9548	11962	14390	7796	9716	11639	15374	7412	9188	10846	13781
0:02:25	30.0	7508	9466	11942	14390	7783	9650	11654	15334	7339	9218	10827	13691
0:02:30	30.0	7417	9435	12062	14165	7777	9587	11745	15277	7265	9090	10809	13640
0:02:35	30.0	7461	9473	11863	14184	7808	9635	11469	15211	7206	9060	10732	13595
0:02:40	30.0	7419	9431	11847	14239	7781	9587	11557	15030	7331	9095	10610	13472
0:02:45	30.0	7527	9313	11816	14147	7782	9499	11488	15074	7209	8960	10796	13557
0:02:50	30.0	7436	9338	11680	14280	7679	9463	11295	14946	7264	8781	10649	13536
0:02:55	30.0	7403	9361	11666	14156	7660	9497	11383	15135	7199	9080	10769	13300
0:03:00	30.0	7271	9313	11822	14141	7574	9329	11358	15032	7181	8929	10548	13387
0:03:05	30.0	7127	9147	11490	14187	7561	9418	11410	14949	7207	8940	10464	13409
0:03:10	30.0	7164	9327	11582	14097	7572	9285	11267	14899	7110	8864	10630	13260
0:03:15	30.0	7127	9155	11530	13902	7638	9396	11409	14906	7132	8861	10485	13310
0:03:20	30.0	7270	9261	11715	13914	7687	9318	11334	14742	7063	8860	10436	13168
0:03:25	30.0	7296	9067	11392	13901	7511	9294	11369	14954	7054	8811	10251	13238
0:03:30	30.0	7205	9159	11539	13756	7474	9290	11170	14861	7038	8721	10445	13250
0:03:35	30.0	7086	9196	11553	13860	7444	9235	11154	14695	7012	8718	10474	13169
0:03:40	30.0	7090	9022	11464	13712	7367	9280	11156	14616	7063	8762	10189	13040
0:03:45	30.0	7107	9097	11407	13930	7286	9229	11113	14777	6999	8772	10247	12994
0:03:50	30.0	7107	9021	11305	13616	7421	9127	11068	14683	6925	8657	10285	13182
0:03:55	30.0	7034	8956	11253	13771	7380	9114	11026	14564	6987	8566	10336	12952
0:04:00	30.0	6948	8937	11202	13560	7294	9151	10959	14857	6836	8587	10242	12968
0:04:05	30.0	7118	8944	11204	13616	7322	9067	11011	14511	6879	8608	10152	12897
0:04:10	30.0	6996	8881	11187	13592	7263	9107	11026	14493	6889	8587	10137	12892
0:04:15	30.0	6962	8925	11071	13462	7228	9061	10954	14218	6937	8556	10158	12709
0:04:20	30.0	6845	8866	11185	13453	7249	8997	11042	14369	6852	8459	10152	12642
0:04:25	30.0	7001	8882	11073	13446	7144	9009	10895	14387	6959	8509	10005	12654
0:04:30	30.0	6855	8842	11106	13439	7338	8973	10879	14356	6838	8490	10065	12797
0:04:35	30.0	7015	8674	11036	13396	7225	8898	10841	14261	6877	8454	9977	12599
0:04:40	30.0	6864	8861	10938	13386	7132	8927	10872	14215	6850	8459	10089	12931
0:04:45	30.0	6971	8690	10975	13460	7181	8958	10901	14277	6937	8491	9985	12585
0:04:50	30.0	6818	8693	10928	13467	7153	8690	10595	14416	6759	8453	9968	12808
0:04:55	30.0	6747	8814	10948	13239	7188	8844	10700	14296	6826	8428	9943	12606
0:05:00	30.0	6747	8670	10970	13240	7077	8859	10813	14099	6769	8378	9991	12646
0:05:05	30.0	6854	8703	10925	13328	7157	8821	10708	14204	6742	8415	9940	12567
0:05:10	30.0	6891	8598	10855	13329	7037	8810	10638	14223	6770	8492	9936	12482
0:05:15	30.0	6885	8737	10746	13221	7039	8769	10673	14245	6783	8206	10027	12563
0:05:20	30.0	6771	8579	10794	13192	6990	8891	10671	14263	6801	8286	9892	12574
0:05:25	30.0	6693	8730	10678	13052	7001	9043	10637	13980	6800	8387	9913	12484
0:05:30	30.0	6788	8627	10876	13138	7064	8885	10578	14160	6642	8356	9969	12365
0:05:35	30.0	6726	8751	10677	13191	6949	8745	10647	14158	6708	8395	9799	12551
0:05:40	30.0	6813	8642	10883	13186	7044	8765	10551	14062	6760	8256	9770	12502
0:05:45	30.0	6750	8523	10748	13412	7010	8730	10527	13941	6742	8391	9763	12482
0:05:50	30.0	6640	8493	10772	13100	7009	8726	10537	13929	6764	8261	9806	12597
0:05:55	30.0	6748	8493	10893	13067	6957	8664	10462	13899	6768	8390	9820	12375
0:06:00	30.0	6737	8528	10715	13114	6961	8684	10532	13876	6601	8237	9820	12424
0:06:05	30.0	6584	8689	10641	13064	6986	8699	10454	13799	6688	8341	9703	12273
0:06:10	30.0	6713	8505	10667	13092	6860	8650	10374	14008	6644	8343	9893	12361
0:06:15	30.0	6579	8572	10645	13000	6939	8649	10370	14085	6700	8208	9877	12337
0:06:20	30.0	6558	8363	10652	12991	6918	8567	10412	13894	6590	8331	9819	12340
0:06:25	30.0	6678	8517	10688	13127	6968	8589	10393	13975	6677	8372	9713	12325
0:06:30	30.0	6661	8635	10576	12881	6984	8649	10559	13830	6632	8275	9763	12179
0:06:35	30.0	6636	8457	10622	12811	6976	8654	10376	13888	6608	8171	9672	12133
0:06:40	30.0	6605	8529	10592	13023	6994	8447	10376	13713	6631	8348	9724	12257
0:06:45	30.0	6575	8421	10474	12929	6841	8628	10329	13678	6715	8154	9630	12119
0:06:50	30.0	6543	8473	10673	12846	6825	8636	10339	13922	6601	8238	9699	12347
0:06:55	30.0	6660	8369	10504	12954	6943	8501	10541	13731	6644	8208	9750	12136
0:07:00	30.0	6562	8404	10540	12920	6915	8591	10423	13755	6587	8170	9680	12247
0:07:05	30.0	6568	8366	10488	12872	6741	8584	10287	13539	6644	8201	9705	12254
0:07:10	30.0	6676	8417	10539	12847	6922	8483	10294	13745	6618	8080	9623	12249
0:07:15	30.0	6572	8385	10556	12831	6826	8565	10312	13593	6645	8086	9598	12165
0:07:20	30.0	6628	8483	10455	13096	6875	8453	10318	13783	6688	8323	9664	12096
0:07:25	30.0	6523	8250	10484	12710	6782	8618	10182	13831	6501	8132	9679	12124
0:07:30	30.0	6517	8323	10416	12955	6922	8473	10107	13673	6520	8121	9662	12127
0:07:35	30.0	6585	8361	10575	12704	6768	8361	10334	13572	6539	8153	9616	12165
0:07:40	30.0	6487	8298	10359	12921	6856	8480	10089	13741	6683	8079	9585	12084
0:07:45	30.0	6421	8325	10550	12661	6846	8430	10233	13541	6579	8173	9590	12308
0:07:50	30.0	6466	8272	10463	12776	6731	8507	10317	13580	6570	8139	9691	12044
0:07:55	30.0	6456	8140	10472	12730	6842	8538	10231	13559	6563	8165	9645	12160
0:08:00	30.0	6604	8272	10529	12663	6750	8531	10152	13511	6554	8133	9546	12087
0:08:05	30.0	6453	8225	10270	12628	6806	8540	10137	13498	6570	8050	9497	12080
0:08:10	30.0	6444	8305	10293	12759	6818	8518	10250	13493	6621	8146	9460	12100
0:08:15	30.0	6497	8260	10325	12664	6796	8371	10023	13504	6569	8079	9573	11965
0:08:20	30.0	6526	8299	10340	12648	6838	8372	10127	13496	6616	8105	9671	12156
0:08:25	30.0	6451	8196	10400	12647	6713	8480	10140	13435	6652	8024	9689	12040
0:08:30	30.0	6436	8240	10473	12925	6712	8325	10176	13486	6433	8168	9566	12015
0:08:35	30.0	6429	8128	10290	12570	6850	8335	9973	13551	6497	8113	9421	11885
0:08:40	30.0	6476	8199	10323	12552	6776	8449	10115	13437	6573	8056	9556	12034
0:08:45	30.0	6436	8385	10252	12692	6771	8399	10047	13278	6628	7999	9390	11937
0:08:50	30.0	6393	8274	10354	12510	6757	8577	10070	13412	6562	8146	9503	12008
0:08:55	30.0	6505	8266	10185	12539	6765	8317	10014	13381	6612	8142	9384	11880
0:09:00	30.0	6506	8235	10389	12592	6794	8344	9955	13464	6613	8177	9488	12020
0:09:05	30.0	6464	8061	10361	12762	6679	8318	10136	13474	6490	8141	9424	11912
0:09:10	30.0	6413	8058	10303	12516	6707	8439	10032	13390	6400	7986	9468	11949
0:09:15	30.0	6417	8171	10303	12669	6714	8491	9923	13633	6514	7987	9556	11892
0:09:20	30.0	6393	8236	10455	12578	6652	8331	9997	13418	6611	8059	9546	12042
0:09:25	30.0	6405	8199	10308	12598	6793	8224	10000	13372	6478	8075	9516	11970
0:09:30	30.0	6333	8153	10156	12561	6534	8242	10036	13458	6510	8076	9478	11858
0:09:35	30.0	6362	8111	10219	12553	6762	8456	10111	13406	6584	8225	9512	11885
0:09:40	30.0	6363	8110	10212	12547	6704	8326	9902	13401	6518	7961	9349	11879
0:09:45	30.0	6342	8183	10229	12661	6702	8306	9893	13329	6488	8137	9568	11846
0:09:50	30.0	6455	8045	10241	12560	6654	8286	9926	13261	6513	7956	9385	11968
0:09:55	30.0	6393	8243	10136	12504	6706	8306	9975	13332	6526	8017	9522	11875
0:10:00	30.0	6358	8274	10362	12547	6664	8317	9825	13146	6585	8025	9570	11937
0:10:05	30.0	6382	8139	10186	12486	6781	8333	10000	13387	6540	7993	9516	11727
0:10:10	30.0	6397	7979	10268	12506	6747	8329	10107	13301	6381	8052	9455	11766
0:10:15	30.0	6401	8170	10040	12449	6732	8189	9985	13205	6521	8121	9311	11830
0:10:20	30.0	6287	8107	10211	12350	6694	8309	10062	13312	6576	8002	9422	11801
0:10:25	30.0	6433	8083	10129	12360	6700	8237	9950	13224	6458	7984	9333	11778
0:10:30	30.0	6370	8038	10107	12334	6666	8112	9983	13285	6554	8013	9426	11824
0:10:35	30.0	6297	8055	10282	12568	6650	8254	9800	13430	6415	8054	9354	11655
0:10:40	30.0	6344	8058	10241	12354	6758	8302	9958	13168	6491	7981	9406	11733
0:10:45	30.0	6291	8071	10163	12488	6655	8326	9838	13240	6483	7928	9437	11674
0:10:50	30.0	6278	8065	10280	12384	6704	8202	9906	13319	6446	7989	9394	11812
0:10:55	30.0	6233	8233	10118	12441	6701	8173	9902	13193	6551	8110	9400	11875
0:11:00	30.0	6337	8028	10207	12522	6632	8287	9763	13317	6442	7900	9465	11677
0:11:05	30.0	6389	7978	10278	12553	6653	8203	9786	13151	6399	7913	9361	11752
