

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

295,335

Time	T° 295,335	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	1528	4512	6740	9827	11713	15187	1596	4771	6650	9545	10914	13615
0:00:05	30.0	1446	4439	6732	9978	11892	15354	1580	4800	6637	9504	11206	13486
0:00:10	30.0	1393	4412	6763	9995	11523	15159	1647	4820	6695	9552	11269	13518
0:00:15	30.0	1412	4312	6689	9808	11664	15322	1651	4750	6694	9574	11110	13629
0:00:20	30.0	1318	4238	6562	9737	11476	14904	1648	4842	6558	9541	11026	13550
0:00:25	30.0	1310	4208	6502	9586	11408	14929	1613	4785	6584	9556	11207	13581
0:00:30	30.0	1275	4155	6409	9575	11467	14886	1632	4829	6523	9441	11083	13430
0:00:35	30.0	1259	4117	6346	9600	11316	14641	1610	4720	6542	9545	10972	13576
0:00:40	30.0	1220	4063	6275	9445	11220	14727	1570	4747	6514	9414	11126	13458
0:00:45	30.0	1230	3983	6261	9449	11189	14764	1583	4657	6548	9464	10935	13439
0:00:50	30.0	1199	4029	6248	9276	11135	14550	1593	4770	6460	9509	10913	13455
0:00:55	30.0	1180	3887	6145	9329	11061	14507	1612	4742	6475	9275	10937	13465
0:01:00	30.0	1152	3850	6106	9216	11006	14496	1604	4692	6500	9331	10866	13312
0:01:05	30.0	1128	3809	6009	9319	11033	14406	1612	4725	6455	9439	10832	13592
0:01:10	30.0	1120	3803	6028	9051	10881	14285	1537	4792	6441	9333	10733	13353
0:01:15	30.0	1130	3740	5972	8971	10763	14213	1593	4718	6410	9338	10724	13283
0:01:20	30.0	1098	3719	5934	8878	10725	14091	1563	4702	6425	9371	10864	13300
0:01:25	30.0	1091	3655	5805	8963	10569	14081	1570	4661	6445	9254	10614	13212
0:01:30	30.0	1079	3592	5827	8880	10629	14077	1578	4664	6359	9433	10780	13343
0:01:35	30.0	1102	3530	5772	8636	10475	14147	1566	4623	6406	9318	10733	13378
0:01:40	30.0	1056	3630	5721	8650	10467	13956	1566	4701	6379	9363	10754	13255
0:01:45	30.0	1074	3563	5687	8672	10460	13737	1576	4724	6416	9349	10657	13176
0:01:50	30.0	1052	3504	5667	8628	10424	13849	1558	4617	6381	9222	10647	13198
0:01:55	30.0	1040	3527	5534	8701	10257	13695	1544	4566	6401	9289	10688	13250
0:02:00	30.0	1030	3497	5612	8599	10310	13570	1563	4527	6374	9144	10673	13114
0:02:05	30.0	1063	3416	5511	8458	10182	13538	1526	4603	6374	9315	10735	13150
0:02:10	30.0	1068	3420	5431	8451	10192	13424	1485	4618	6354	9281	10574	13072
0:02:15	30.0	1027	3379	5468	8323	10158	13309	1523	4525	6401	9168	10600	13099
0:02:20	30.0	1010	3400	5399	8497	10161	13282	1530	4532	6407	9196	10646	12986
0:02:25	30.0	976	3374	5380	8237	10088	13235	1543	4573	6391	9211	10571	13130
0:02:30	30.0	1025	3339	5252	8285	10099	13158	1478	4598	6274	9198	10462	13164
0:02:35	30.0	996	3330	5245	8158	9914	13226	1508	4588	6373	9040	10588	13028
0:02:40	30.0	1025	3315	5268	8284	9776	13182	1520	4568	6252	9143	10554	13178
0:02:45	30.0	1000	3245	5356	8120	9764	12957	1484	4556	6303	9183	10651	13067
0:02:50	30.0	1022	3228	5210	8106	9745	12871	1528	4497	6353	9206	10507	13152
0:02:55	30.0	981	3208	5200	7995	9671	12830	1483	4574	6159	9184	10517	12964
0:03:00	30.0	1006	3249	5175	7960	9852	12927	1459	4528	6178	9247	10487	12968
0:03:05	30.0	970	3220	5143	7930	9544	12717	1474	4540	6232	9115	10592	13088
0:03:10	30.0	977	3239	5051	7900	9546	12716	1496	4492	6259	9032	10354	13112
0:03:15	30.0	973	3152	5092	7871	9680	12841	1466	4501	6227	9061	10468	12805
0:03:20	30.0	976	3192	5086	7807	9411	12875	1470	4541	6243	9166	10448	13006
0:03:25	30.0	991	3098	5083	7780	9503	12618	1495	4431	6206	9030	10432	13259
0:03:30	30.0	976	3085	5044	7815	9415	12567	1467	4458	6151	9012	10404	12925
0:03:35	30.0	1012	3101	4915	7671	9393	12448	1468	4550	6253	9012	10406	13092
0:03:40	30.0	954	3115	4902	7775	9393	12538	1460	4470	6092	9018	10307	12878
0:03:45	30.0	966	3122	4982	7719	9322	12586	1451	4436	6099	9052	10340	12836
0:03:50	30.0	976	3092	4942	7643	9255	12444	1455	4436	6153	8917	10402	12911
0:03:55	30.0	950	3090	4953	7540	9289	12405	1420	4383	6160	8984	10467	12867
0:04:00	30.0	966	3067	4791	7614	9201	12379	1413	4375	6216	8921	10272	12757
0:04:05	30.0	949	2979	4825	7585	9179	12286	1444	4401	6130	8949	10442	12903
0:04:10	30.0	985	3045	4870	7558	9137	12215	1453	4402	6140	8861	10275	12847
0:04:15	30.0	955	3010	4731	7641	9236	12100	1448	4403	6074	8945	10306	12915
0:04:20	30.0	936	3001	4817	7471	9210	12173	1462	4350	6102	8885	10269	12884
0:04:25	30.0	963	2986	4858	7475	8941	12128	1403	4298	6181	8929	10520	12807
0:04:30	30.0	951	3018	4712	7451	9018	12313	1395	4307	6122	8900	10295	12889
0:04:35	30.0	961	2977	4710	7418	9020	12257	1395	4310	6092	8895	10294	12917
0:04:40	30.0	962	2985	4777	7470	8966	12240	1443	4310	6061	8874	10159	12739
0:04:45	30.0	946	2980	4697	7376	8864	11907	1374	4238	6105	8974	10210	12800
0:04:50	30.0	973	2920	4799	7309	8953	12102	1415	4343	6039	8864	10191	12644
0:04:55	30.0	967	2927	4734	7314	8788	11980	1395	4269	6057	8821	10096	12766
0:05:00	30.0	968	2939	4719	7246	8942	11728	1417	4285	6013	8797	10343	12747
0:05:05	30.0	929	2962	4722	7282	8846	11871	1380	4357	5993	8875	10128	12742
0:05:10	30.0	933	2878	4651	7234	8857	11883	1409	4351	6009	8887	10114	12752
0:05:15	30.0	945	2958	4680	7247	8772	11643	1414	4318	5907	8789	10213	12922
0:05:20	30.0	940	2959	4705	7230	8634	11738	1396	4316	6003	8823	10154	12668
0:05:25	30.0	902	2930	4565	7242	8617	11604	1393	4228	6081	8715	10053	12731
0:05:30	30.0	939	2914	4553	7227	8836	11793	1397	4379	5969	8729	10175	12658
0:05:35	30.0	980	2968	4569	7195	8568	11638	1342	4280	5994	8746	10124	12732
0:05:40	30.0	949	2946	4636	7086	8674	11681	1378	4254	5959	8764	10246	12703
0:05:45	30.0	971	2886	4556	7167	8617	11596	1391	4307	5936	8716	10013	12600
0:05:50	30.0	952	2826	4541	7099	8513	11573	1341	4241	5913	8660	10061	12507
0:05:55	30.0	934	2897	4628	7127	8655	11521	1324	4279	5991	8703	9959	12686
0:06:00	30.0	973	2837	4539	7132	8514	11478	1353	4246	5929	8660	10070	12647
0:06:05	30.0	959	2901	4571	7078	8596	11508	1358	4314	5924	8722	10045	12619
0:06:10	29.9	914	2918	4562	7050	8485	11515	1321	4270	5942	8650	10095	12615
0:06:15	30.0	959	2902	4529	6921	8446	11497	1367	4207	5979	8660	10174	12633
0:06:20	30.0	935	2898	4581	7060	8512	11332	1336	4215	5918	8626	9973	12584
0:06:25	30.1	928	2885	4612	7082	8459	11454	1337	4243	5858	8746	9957	12518
0:06:30	30.0	917	2841	4582	6953	8605	11447	1311	4263	5923	8735	10082	12526
0:06:35	30.0	938	2868	4545	6946	8433	11250	1331	4219	5808	8660	9886	12693
0:06:40	30.0	941	2868	4410	6999	8384	11285	1358	4190	5937	8686	9935	12566
0:06:45	30.0	903	2844	4518	6891	8480	11370	1340	4138	5902	8689	9991	12616
0:06:50	30.0	941	2867	4544	6997	8550	11261	1354	4142	5870	8590	10056	12735
0:06:55	30.0	948	2800	4488	6824	8468	11130	1297	4234	5826	8580	10002	12427
0:07:00	30.0	934	2867	4512	7066	8428	11332	1325	4116	5878	8677	9825	12508
0:07:05	30.0	933	2840	4523	6984	8345	11161	1326	4122	5755	8689	9904	12502
0:07:10	30.0	922	2815	4502	6729	8404	11220	1333	4196	5860	8420	9903	12523
0:07:15	30.0	925	2874	4448	6953	8390	11220	1319	4154	5808	8692	9866	12368
0:07:20	30.0	917	2843	4414	6830	8390	11191	1303	4179	5867	8619	9986	12391
0:07:25	30.0	970	2806	4432	6918	8279	11158	1352	4113	5749	8519	9953	12414
0:07:30	30.0	942	2820	4436	6874	8383	10967	1306	4137	5807	8591	9932	12614
0:07:35	30.0	953	2847	4515	6831	8319	11113	1280	4166	5798	8485	9964	12496
0:07:40	30.0	943	2796	4487	6848	8283	11158	1292	4141	5742	8658	9953	12509
