

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 2:29:50 (HH:MM:SS), Interval 0:00:09, 999 Reads
    Read	Fluorescence Endpoint
	A1..A12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:00:00	30.0	15765	20750	24874	28043	30762	35478	15411	21208	24606	27249	29467	33363
0:00:09	30.0	15683	21127	25031	28034	30899	35978	15555	21438	23928	27205	29623	33787
0:00:18	30.0	15717	21120	24781	27863	30832	35547	15513	21344	23767	27094	29498	33410
0:00:27	30.0	15584	20489	24572	27754	30572	35601	15613	21505	23998	27000	29037	33275
0:00:36	30.0	15107	20818	24388	27642	30282	35631	15573	21522	23660	26975	28687	33172
0:00:45	30.0	15136	20600	24204	27152	30611	35218	15457	21335	23612	26879	29021	32831
0:00:54	30.0	15076	20392	23952	27377	30359	35269	15542	21223	23939	26871	28938	32669
0:01:03	30.1	14886	20326	24058	26976	30016	34714	15224	21265	23492	26767	28651	33163
0:01:12	30.0	14566	19821	23807	26954	30076	34739	15395	21027	23126	26751	28848	32657
0:01:21	30.0	14920	19821	23841	27107	30089	34702	15336	21135	23469	26352	28765	32927
0:01:30	30.0	14642	19985	23546	26741	29739	34410	15284	21135	23617	27001	28793	32872
0:01:39	30.0	14323	19567	23575	26533	29684	34007	15230	21196	23863	26635	28641	32658
0:01:48	30.0	14567	19633	23391	26326	29111	34090	15210	20954	23739	26386	28649	32985
0:01:57	30.0	14250	19577	23136	26150	29250	34001	15462	21030	23200	26127	28498	32938
0:02:06	30.0	14299	19421	22854	26458	28915	33718	15081	20905	23331	26233	28409	32687
0:02:15	30.0	14292	19329	22801	25861	29308	33738	15198	20783	23199	26042	28273	33203
0:02:24	30.0	14048	19176	22959	26170	28723	33547	15134	20617	23270	26128	28545	32642
0:02:33	30.0	13873	19106	22588	25766	28659	33230	14991	20635	23305	25795	28107	32188
0:02:42	30.0	13768	18999	22520	25747	28305	33270	15155	20512	23262	25676	28082	32230
0:02:51	30.0	13707	18901	22404	25499	28406	33157	15194	20507	22985	25717	28466	32488
0:03:00	30.0	13716	18721	22451	25537	28370	32949	15069	20319	23189	25595	28213	32682
0:03:09	30.0	13522	18693	22322	25187	28393	32825	15091	20423	23100	25712	28269	32202
0:03:18	30.0	13465	18622	22267	25306	28316	32901	15120	20232	22801	25476	27946	32061
0:03:27	30.0	13507	18416	22075	25328	27915	32710	14886	20355	22902	25711	28082	32692
