

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:06:00 (HH:MM:SS), Interval 0:00:02, 181 Reads
    Read	Fluorescence Endpoint
	A3
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A			SPL1										Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A3
0:00:00	30.0	549
0:00:02	30.0	509
0:00:04	30.0	506
0:00:06	30.0	944
0:00:08	30.0	925
0:00:10	30.0	912
0:00:12	30.0	893
0:00:14	30.0	885
0:00:16	30.1	888
0:00:18	30.0	841
0:00:20	30.0	880
0:00:22	30.0	852
0:00:24	30.0	855
0:00:26	30.0	859
0:00:28	30.0	833
0:00:30	30.0	818
0:00:32	30.0	820
0:00:34	30.0	780
0:00:36	30.0	796
0:00:38	30.0	812
0:00:40	30.0	802
0:00:42	30.0	769
0:00:44	30.0	774
0:00:46	30.0	777
0:00:48	30.0	787
0:00:50	30.0	771
0:00:52	30.0	758
0:00:54	30.0	758
0:00:56	30.0	769
0:00:58	30.0	775
0:01:00	30.0	760
0:01:02	30.0	750
0:01:04	30.0	768
0:01:06	30.0	732
0:01:08	30.0	749
0:01:10	30.0	738
0:01:12	30.0	731
0:01:14	30.0	735
0:01:16	30.0	763
0:01:18	30.0	739
0:01:20	30.0	748
0:01:22	30.0	755
0:01:24	30.0	741
0:01:26	30.0	710
0:01:28	30.0	739
0:01:30	30.0	753
0:01:32	30.0	707
0:01:34	30.0	740
0:01:36	30.0	743
0:01:38	30.0	770
0:01:40	30.0	730
0:01:42	30.0	752
0:01:44	30.0	710
0:01:46	30.0	707
0:01:48	30.0	757
0:01:50	30.0	722
0:01:52	30.0	766
0:01:54	30.0	735
0:01:56	30.0	732
0:01:58	30.0	708
0:02:00	30.0	733
0:02:02	30.0	737
0:02:04	30.0	749
0:02:06	30.0	731
0:02:08	30.0	723
0:02:10	30.0	714
0:02:12	30.0	717
0:02:14	30.0	728
0:02:16	30.0	722
0:02:18	30.0	730
0:02:20	30.0	745
0:02:22	30.0	723
0:02:24	30.0	741
0:02:26	30.0	747
0:02:28	30.0	750
0:02:30	30.0	720
0:02:32	30.0	740
0:02:34	30.0	757
0:02:36	30.0	710
