

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:04:00 (HH:MM:SS), Interval 0:00:01, 241 Reads
    Read	Fluorescence Endpoint
	E1
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1												Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1
0:00:00	30.0	581
0:00:01	30.0	566
0:00:02	30.0	573
0:00:03	30.0	566
0:00:04	30.0	566
0:00:05	30.0	539
0:00:06	30.0	532
0:00:07	30.0	529
0:00:08	30.0	521
0:00:09	30.0	501
0:00:10	30.0	518
0:00:11	30.0	522
0:00:12	30.0	526
0:00:13	30.0	494
0:00:14	30.0	504
0:00:15	30.0	508
0:00:16	30.0	503
0:00:17	30.0	494
0:00:18	30.0	505
0:00:19	30.0	501
0:00:20	30.0	494
0:00:21	30.0	502
0:00:22	30.0	478
0:00:23	30.0	487
0:00:24	30.0	492
0:00:25	30.0	481
0:00:26	30.0	492
0:00:27	30.0	494
0:00:28	30.1	489
0:00:29	30.1	472
0:00:30	30.1	501
0:00:31	30.1	491
0:00:32	30.1	465
0:00:33	30.1	477
0:00:34	30.1	483
0:00:35	30.1	482
0:00:36	30.1	470
0:00:37	30.0	486
0:00:38	30.0	492
0:00:39	30.0	445
0:00:40	30.1	490
0:00:41	30.1	493
0:00:42	30.1	464
0:00:43	30.1	470
0:00:44	30.1	492
0:00:45	30.1	479
0:00:46	30.1	464
0:00:47	30.1	486
0:00:48	30.0	484
0:00:49	30.0	470
0:00:50	30.0	476
0:00:51	30.0	497
0:00:52	30.0	485
0:00:53	30.0	475
0:00:54	30.0	479
0:00:55	30.0	479
0:00:56	30.0	462
0:00:57	30.0	464
0:00:58	30.0	463
