

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:01, 301 Reads
    Read	Fluorescence Endpoint
	C2
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C		SPL1											Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C2
0:00:00	30.0	610
0:00:01	30.0	586
0:00:02	30.0	595
0:00:03	30.0	589
0:00:04	30.0	612
0:00:05	30.0	568
0:00:06	30.0	589
0:00:07	30.0	583
0:00:08	30.0	585
0:00:09	30.0	550
0:00:10	30.0	571
0:00:11	30.0	564
0:00:12	30.0	547
0:00:13	30.0	544
0:00:14	30.0	547
0:00:15	30.0	539
0:00:16	30.0	545
0:00:17	30.0	513
0:00:18	30.0	520
0:00:19	30.0	514
0:00:20	30.0	514
0:00:21	30.0	511
0:00:22	30.0	500
0:00:23	30.0	502
0:00:24	30.0	501
0:00:25	30.0	475
0:00:26	30.0	494
0:00:27	30.0	506
0:00:28	30.0	504
0:00:29	30.0	502
0:00:30	30.0	494
0:00:31	30.0	468
0:00:32	30.0	510
0:00:33	30.0	476
0:00:34	30.0	485
0:00:35	30.0	480
0:00:36	30.0	497
0:00:37	30.0	499
0:00:38	30.0	481
0:00:39	30.0	473
0:00:40	30.0	485
0:00:41	30.0	481
0:00:42	30.0	504
0:00:43	30.0	470
0:00:44	30.0	479
0:00:45	30.0	463
0:00:46	30.0	478
0:00:47	30.0	448
0:00:48	30.0	478
0:00:49	30.0	484
0:00:50	30.0	461
0:00:51	30.0	480
0:00:52	30.0	488
0:00:53	30.0	472
0:00:54	30.0	464
0:00:55	30.0	462
0:00:56	30.0	477
0:00:57	30.0	472
0:00:58	30.0	460
0:00:59	30.0	464
0:01:00	30.0	448
0:01:01	30.0	440
0:01:02	30.0	459
0:01:03	30.0	476
0:01:04	30.0	469
0:01:05	30.0	436
0:01:06	30.0	457
0:01:07	30.0	459
0:01:08	30.0	464
0:01:09	30.0	459
0:01:10	30.0	444
0:01:11	30.0	461
0:01:12	30.0	453
0:01:13	30.0	472
0:01:14	30.0	433
0:01:15	30.0	470
0:01:16	30.0	447
0:01:17	30.0	455
0:01:18	30.0	446
0:01:19	30.0	460
0:01:20	30.0	438
0:01:21	30.0	463
0:01:22	30.0	479
0:01:23	30.0	458
0:01:24	30.0	453
0:01:25	30.0	452
0:01:26	30.0	440
0:01:27	30.0	468
0:01:28	30.0	461
0:01:29	30.0	456
0:01:30	30.0	467
0:01:31	30.0	454
0:01:32	30.0	479
0:01:33	30.0	449
0:01:34	30.0	443
0:01:35	30.0	474
0:01:36	30.0	469
0:01:37	30.0	446
0:01:38	30.0	443
0:01:39	30.0	457
0:01:40	30.0	433
0:01:41	30.0	468
0:01:42	30.0	461
0:01:43	30.0	453
0:01:44	30.0	456
0:01:45	30.0	446
0:01:46	30.0	480
0:01:47	30.0	456
0:01:48	30.0	454
0:01:49	30.0	450
0:01:50	30.0	461
0:01:51	30.0	451
0:01:52	30.0	455
0:01:53	30.0	470
0:01:54	30.0	450
0:01:55	30.0	468
0:01:56	30.0	441
0:01:57	30.0	462
0:01:58	30.0	449
0:01:59	30.0	449
0:02:00	30.0	453
0:02:01	30.0	438
0:02:02	30.0	474
0:02:03	30.0	448
0:02:04	30.0	471
0:02:05	30.0	460
0:02:06	30.0	458
0:02:07	30.0	469
0:02:08	30.0	465
0:02:09	30.0	464
0:02:10	30.0	468
0:02:11	30.0	464
0:02:12	30.0	461
0:02:13	30.0	459
0:02:14	30.0	460
