

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	E4
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E				SPL1									Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E4
0:00:00	30.1	1466
0:00:02	30.1	1449
0:00:04	30.1	1383
0:00:06	30.1	1222
0:00:08	30.1	1214
0:00:10	30.1	1184
0:00:12	30.1	1207
0:00:14	30.1	1130
0:00:16	30.1	1156
0:00:18	30.1	1135
0:00:20	30.1	1153
0:00:22	30.1	1153
0:00:24	30.1	1119
0:00:26	30.1	1166
0:00:28	30.0	1096
0:00:30	30.0	1086
0:00:32	30.1	1098
0:00:34	30.0	1086
0:00:36	30.0	1054
0:00:38	30.0	1065
0:00:40	30.1	1079
0:00:42	30.1	1070
0:00:44	30.1	1041
0:00:46	30.1	1039
0:00:48	30.1	1059
0:00:50	30.1	1032
0:00:52	30.1	1042
0:00:54	30.1	1056
0:00:56	30.1	1035
0:00:58	30.1	1046
0:01:00	30.1	1008
0:01:02	30.1	1041
0:01:04	30.1	983
0:01:06	30.1	1027
0:01:08	30.1	975
0:01:10	30.1	1000
0:01:12	30.0	1026
0:01:14	30.0	1003
0:01:16	30.1	995
0:01:18	30.1	971
0:01:20	30.1	963
0:01:22	30.1	952
0:01:24	30.1	943
0:01:26	30.1	972
0:01:28	30.0	977
0:01:30	30.0	975
0:01:32	30.0	984
0:01:34	30.1	971
0:01:36	30.1	987
0:01:38	30.1	971
0:01:40	30.1	940
0:01:42	30.1	954
0:01:44	30.1	954
0:01:46	30.1	958
0:01:48	30.1	966
0:01:50	30.1	914
0:01:52	30.1	958
0:01:54	30.1	945
0:01:56	30.1	943
0:01:58	30.1	925
0:02:00	30.0	916
0:02:02	30.0	941
0:02:04	30.1	941
0:02:06	30.1	947
0:02:08	30.1	933
0:02:10	30.1	946
0:02:12	30.1	922
0:02:14	30.0	925
0:02:16	30.0	910
0:02:18	30.1	917
0:02:20	30.1	919
0:02:22	30.1	909
0:02:24	30.1	920
0:02:26	30.1	930
0:02:28	30.1	908
0:02:30	30.1	926
0:02:32	30.1	894
0:02:34	30.1	924
0:02:36	30.1	936
0:02:38	30.1	920
0:02:40	30.0	928
0:02:42	30.0	913
0:02:44	30.1	925
0:02:46	30.1	917
0:02:48	30.1	903
0:02:50	30.1	891
0:02:52	30.1	894
0:02:54	30.1	927
0:02:56	30.0	925
0:02:58	30.0	914
0:03:00	30.1	910
0:03:02	30.1	908
0:03:04	30.1	914
0:03:06	30.1	920
0:03:08	30.1	933
0:03:10	30.1	899
0:03:12	30.1	908
0:03:14	30.1	919
0:03:16	30.1	896
0:03:18	30.1	906
0:03:20	30.1	913
0:03:22	30.0	916
0:03:24	30.0	888
0:03:26	30.0	883
0:03:28	30.1	912
0:03:30	30.1	897
0:03:32	30.1	915
0:03:34	30.1	902
0:03:36	30.1	907
0:03:38	30.0	890
0:03:40	30.0	913
0:03:42	30.0	907
0:03:44	30.1	889
0:03:46	30.1	893
0:03:48	30.1	895
0:03:50	30.1	949
0:03:52	30.1	909
0:03:54	30.1	908
0:03:56	30.1	932
0:03:58	30.1	906
0:04:00	30.1	910
0:04:02	30.1	863
0:04:04	30.1	897
0:04:06	30.1	921
0:04:08	30.1	920
0:04:10	30.0	892
0:04:12	30.0	885
0:04:14	30.1	923
0:04:16	30.1	898
0:04:18	30.1	915
0:04:20	30.1	920
0:04:22	30.0	931
0:04:24	30.0	883
0:04:26	30.1	867
0:04:28	30.1	920
0:04:30	30.1	867
0:04:32	30.1	908
0:04:34	30.1	906
0:04:36	30.1	884
0:04:38	30.1	897
0:04:40	30.1	888
0:04:42	30.1	912
0:04:44	30.1	871
0:04:46	30.1	878
0:04:48	30.1	898
0:04:50	30.1	871
0:04:52	30.0	874
0:04:54	30.0	916
0:04:56	30.1	887
0:04:58	30.1	920
0:05:00	30.1	915

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E				-4830000.000									Max V [295,335]
				1.000									R-Squared [295,335]
				0:00:05									t at Max V [295,335]
				0:00:03									Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

