

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	C4
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C				SPL1									Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C4
0:00:00	30.0	1555
0:00:02	30.0	1542
0:00:04	30.0	1294
0:00:06	30.0	1264
0:00:08	30.0	1261
0:00:10	30.0	1263
0:00:12	30.0	1227
0:00:14	30.0	1242
0:00:16	30.0	1222
0:00:18	30.0	1218
0:00:20	30.0	1208
0:00:22	30.0	1167
0:00:24	30.0	1213
0:00:26	30.0	1152
0:00:28	30.0	1162
0:00:30	30.0	1158
0:00:32	30.0	1119
0:00:34	30.0	1121
0:00:36	30.0	1086
0:00:38	30.0	1095
0:00:40	30.0	1054
0:00:42	30.0	1106
0:00:44	30.0	1076
0:00:46	30.0	1076
0:00:48	30.0	1031
0:00:50	30.0	1059
0:00:52	30.0	1033
0:00:54	30.0	1032
0:00:56	30.0	1027
0:00:58	30.0	1002
0:01:00	30.0	1051
0:01:02	30.0	1044
0:01:04	30.0	990
0:01:06	30.0	1037
0:01:08	30.0	977
0:01:10	30.0	985
0:01:12	30.0	1007
0:01:14	30.0	992
0:01:16	30.0	951
0:01:18	30.0	982
0:01:20	30.0	962
0:01:22	30.0	970
0:01:24	30.0	960
0:01:26	30.0	953
0:01:28	30.0	949
0:01:30	30.0	954
0:01:32	30.0	940
0:01:34	30.0	916
0:01:36	30.0	934
0:01:38	30.0	954
0:01:40	30.0	900
0:01:42	30.0	915
0:01:44	30.0	883
0:01:46	30.0	898
0:01:48	30.0	886
0:01:50	30.0	893
0:01:52	30.0	899
0:01:54	30.0	924
0:01:56	30.0	916
0:01:58	30.0	916
0:02:00	30.0	884
0:02:02	30.0	931
0:02:04	30.0	910
0:02:06	30.0	906
0:02:08	30.0	923
0:02:10	30.0	911
0:02:12	30.0	882
0:02:14	30.0	885
0:02:16	30.0	879
0:02:18	30.0	917
0:02:20	30.0	889
0:02:22	30.0	904
0:02:24	30.0	899
0:02:26	30.0	863
0:02:28	30.0	896
0:02:30	30.0	891
0:02:32	30.0	884
0:02:34	30.0	857
0:02:36	30.0	866
0:02:38	30.0	846
0:02:40	30.0	869
0:02:42	30.0	866
0:02:44	30.0	851
0:02:46	30.0	900
0:02:48	30.0	884
0:02:50	30.0	849
0:02:52	30.0	846
0:02:54	30.0	847
0:02:56	30.0	874
0:02:58	30.0	850
0:03:00	30.0	869
0:03:02	30.0	870
0:03:04	30.0	865
0:03:06	30.0	860
0:03:08	30.0	870
0:03:10	30.0	883
0:03:12	30.0	874
0:03:14	30.0	841
0:03:16	30.0	843
0:03:18	30.0	862
0:03:20	30.0	854
0:03:22	30.0	857
0:03:24	30.0	860
0:03:26	30.0	851
0:03:28	30.0	846
0:03:30	30.0	853
0:03:32	30.0	855
0:03:34	30.0	844
0:03:36	30.0	870
0:03:38	30.0	845
0:03:40	30.0	852
0:03:42	30.0	854
0:03:44	30.0	831
0:03:46	30.0	837
0:03:48	30.0	834
0:03:50	30.0	850
0:03:52	30.0	876
0:03:54	30.0	835
0:03:56	30.0	837
0:03:58	30.0	832
0:04:00	30.0	853
0:04:02	30.0	869
0:04:04	30.0	831
0:04:06	30.0	829
0:04:08	30.0	849
0:04:10	30.0	883
0:04:12	30.0	854
0:04:14	30.0	839
0:04:16	30.0	845
0:04:18	30.0	821
0:04:20	30.0	851
0:04:22	30.0	842
0:04:24	30.0	849
0:04:26	30.0	847
0:04:28	30.0	826
0:04:30	30.0	842
0:04:32	30.0	855
0:04:34	30.0	851
0:04:36	30.0	836
0:04:38	30.0	849
0:04:40	30.0	842
0:04:42	30.0	847
0:04:44	30.0	849
0:04:46	30.0	856
0:04:48	30.0	834
0:04:50	30.0	860
0:04:52	30.0	829
0:04:54	30.0	836
0:04:56	30.0	831
0:04:58	30.0	815
0:05:00	30.0	818

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C				-7440000.000									Max V [295,335]
				1.000									R-Squared [295,335]
				0:00:03									t at Max V [295,335]
				0:00:02									Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

