

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:09:00 (HH:MM:SS), Interval 0:00:02, 271 Reads
    Read	Fluorescence Endpoint
	C7
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C							SPL1						Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C7
0:00:00	30.0	2867
0:00:02	30.0	2894
0:00:04	30.0	2866
0:00:06	30.0	2819
0:00:08	30.0	2809
0:00:10	30.0	2789
0:00:12	30.0	2722
0:00:14	30.0	2751
0:00:16	30.0	2723
0:00:18	30.0	2708
0:00:20	30.0	2710
0:00:22	30.0	2707
0:00:24	30.0	2664
0:00:26	30.0	2700
0:00:28	30.0	2631
0:00:30	30.0	2709
0:00:32	30.0	2662
0:00:34	30.0	2611
0:00:36	30.0	2647
0:00:38	30.0	2612
0:00:40	30.0	2596
0:00:42	30.0	2556
0:00:44	30.0	2580
0:00:46	30.0	2563
0:00:48	30.0	2504
0:00:50	30.0	2498
0:00:52	30.0	2536
0:00:54	30.0	2523
0:00:56	30.0	2489
0:00:58	30.0	2456
0:01:00	30.0	2425
0:01:02	30.0	2468
0:01:04	30.0	2453
0:01:06	30.0	2416
0:01:08	30.0	2417
0:01:10	30.0	2424
0:01:12	30.0	2449
0:01:14	30.0	2354
0:01:16	30.0	2378
0:01:18	30.0	2331
0:01:20	30.0	2337
0:01:22	30.0	2341
0:01:24	30.0	2325
0:01:26	30.0	2336
0:01:28	30.0	2303
0:01:30	30.0	2282
0:01:32	30.0	2339
0:01:34	30.0	2290
0:01:36	30.0	2334
0:01:38	30.0	2292
0:01:40	30.0	2281
0:01:42	30.0	2215
0:01:44	30.0	2257
0:01:46	30.0	2184
0:01:48	30.0	2259
0:01:50	30.0	2244
0:01:52	30.0	2249
0:01:54	30.0	2229
0:01:56	30.0	2229
0:01:58	30.0	2175
0:02:00	30.0	2205
0:02:02	30.0	2212
0:02:04	30.0	2215
0:02:06	30.0	2139
0:02:08	30.0	2148
0:02:10	30.0	2170
0:02:12	30.0	2129
0:02:14	30.0	2138
0:02:16	30.0	2182
0:02:18	30.0	2126
0:02:20	30.0	2130
0:02:22	30.0	2094
0:02:24	30.0	2138
0:02:26	30.0	2117
0:02:28	30.0	2073
0:02:30	30.0	2107
0:02:32	30.0	2106
0:02:34	30.0	2066
0:02:36	30.0	2068
0:02:38	30.0	2073
0:02:40	30.0	2053
0:02:42	30.0	2100
0:02:44	30.0	2039
0:02:46	30.0	2046
0:02:48	30.0	2048
0:02:50	30.0	2119
0:02:52	30.0	2099
0:02:54	30.0	1982
0:02:56	30.0	1977
0:02:58	30.0	2047
0:03:00	30.0	1996
0:03:02	30.0	2049
0:03:04	30.0	2003
0:03:06	30.0	2001
0:03:08	30.0	2011
0:03:10	30.0	1979
0:03:12	30.0	1936
0:03:14	30.0	1999
0:03:16	30.0	1985
0:03:18	30.0	2009
0:03:20	30.0	1978
0:03:22	30.0	1973
0:03:24	30.0	2004
0:03:26	30.0	1952
0:03:28	30.0	2016
0:03:30	30.0	1933
0:03:32	30.0	1989
0:03:34	30.0	1942
0:03:36	30.0	1937
0:03:38	30.0	1935
0:03:40	30.0	1928
0:03:42	30.0	1961
0:03:44	30.0	1947
0:03:46	30.0	1930
0:03:48	30.0	1922
0:03:50	30.0	1893
0:03:52	30.0	1936
0:03:54	30.0	1939
0:03:56	30.0	1916
0:03:58	30.0	1885
0:04:00	30.0	1892
0:04:02	30.0	1923
0:04:04	30.0	1946
0:04:06	30.0	1897
0:04:08	30.0	1906
0:04:10	30.0	1908
0:04:12	30.0	1888
0:04:14	30.0	1901
0:04:16	30.0	1879
0:04:18	30.0	1900
0:04:20	30.0	1928
0:04:22	30.0	1901
0:04:24	30.0	1868
0:04:26	30.0	1873
0:04:28	30.0	1870
0:04:30	30.0	1862
0:04:32	30.0	1833
0:04:34	30.0	1896
0:04:36	30.0	1846
0:04:38	30.0	1850
0:04:40	30.0	1848
0:04:42	30.0	1882
0:04:44	30.0	1840
0:04:46	30.0	1808
0:04:48	30.0	1884
0:04:50	30.0	1883
0:04:52	30.0	1849
0:04:54	30.0	1839
0:04:56	30.0	1849
0:04:58	30.0	1838
0:05:00	30.0	1824
0:05:02	30.0	1852
0:05:04	30.0	1839
0:05:06	30.0	1796
0:05:08	30.0	1833
0:05:10	30.0	1850
0:05:12	30.0	1790
0:05:14	30.0	1832
0:05:16	30.0	1843
0:05:18	30.0	1835
0:05:20	30.0	1790
0:05:22	30.0	1783
0:05:24	30.0	1804
0:05:26	30.0	1791
0:05:28	30.0	1808
0:05:30	30.0	1832
0:05:32	30.0	1813
0:05:34	30.0	1844
0:05:36	30.0	1780
0:05:38	30.0	1787
0:05:40	30.0	1846
0:05:42	30.0	1769
0:05:44	30.0	1806
0:05:46	30.0	1765
0:05:48	30.0	1752
0:05:50	30.0	1791
0:05:52	30.0	1784
0:05:54	30.0	1774
0:05:56	30.0	1758
0:05:58	30.0	1813
0:06:00	30.0	1760
0:06:02	30.0	1804
0:06:04	30.0	1777
0:06:06	30.0	1757
0:06:08	30.0	1797
0:06:10	30.0	1835
0:06:12	30.0	1778
0:06:14	30.0	1798
0:06:16	30.0	1775
0:06:18	30.0	1769
0:06:20	30.0	1741
0:06:22	30.0	1787
0:06:24	30.0	1728
0:06:26	30.0	1797
0:06:28	30.0	1771
0:06:30	30.0	1757
0:06:32	30.0	1774
0:06:34	30.0	1726
0:06:36	30.0	1804
0:06:38	30.0	1758
0:06:40	30.0	1758
0:06:42	30.0	1777
0:06:44	30.0	1733
0:06:46	30.0	1754
0:06:48	30.0	1728
0:06:50	30.0	1758
0:06:52	30.0	1752
0:06:54	30.0	1719
0:06:56	30.0	1721
0:06:58	30.0	1751
0:07:00	30.0	1707
0:07:02	30.0	1749
0:07:04	30.0	1747
0:07:06	30.0	1711
0:07:08	30.0	1739
0:07:10	30.0	1733
0:07:12	30.0	1673
0:07:14	30.0	1815
0:07:16	30.0	1742
0:07:18	30.0	1775
0:07:20	30.0	1718
0:07:22	30.0	1752
0:07:24	30.0	1781
0:07:26	30.0	1767
0:07:28	30.0	1742
0:07:30	30.0	1715
0:07:32	30.0	1737
0:07:34	30.0	1709
0:07:36	30.0	1711
0:07:38	30.0	1701
0:07:40	30.0	1747
0:07:42	30.0	1710
0:07:44	30.0	1741
0:07:46	30.0	1715
0:07:48	30.0	1727
0:07:50	30.0	1705
0:07:52	30.0	1704
0:07:54	30.0	1705
0:07:56	30.0	1697
0:07:58	30.0	1738
0:08:00	30.0	1728
0:08:02	30.0	1697
0:08:04	30.0	1696
0:08:06	30.0	1697
0:08:08	30.0	1744
0:08:10	30.0	1724
0:08:12	30.0	1707
0:08:14	30.1	1720
0:08:16	30.0	1705
0:08:18	30.0	1673
0:08:20	30.0	1735
0:08:22	30.0	1714
0:08:24	30.0	1705
0:08:26	30.0	1706
0:08:28	30.0	1693
0:08:30	30.0	1724
0:08:32	30.0	1700
0:08:34	30.0	1733
0:08:36	30.0	1701
0:08:38	30.0	1727
0:08:40	30.0	1686
0:08:42	30.0	1724
0:08:44	30.0	1695
0:08:46	30.0	1657
0:08:48	30.0	1689
0:08:50	30.0	1678
0:08:52	30.0	1669
0:08:54	30.0	1727
0:08:56	30.0	1685
0:08:58	30.0	1691
0:09:00	30.0	1678

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C							4260000.000						Max V [295,335]
							1.000						R-Squared [295,335]
							0:07:13						t at Max V [295,335]
							0:07:29						Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G													Max V [295,335]
