

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:15:00 (HH:MM:SS), Interval 0:00:02, 451 Reads
    Read	Fluorescence Endpoint
	C8
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C								SPL1					Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C8
0:00:00	30.0	2862
0:00:02	30.0	2829
0:00:04	30.0	2795
0:00:06	30.0	2821
0:00:08	30.0	2828
0:00:10	30.0	2747
0:00:12	30.0	2764
0:00:14	30.0	2762
0:00:16	30.0	2800
0:00:18	30.0	2774
0:00:20	30.0	2727
0:00:22	30.0	2707
0:00:24	30.0	2705
0:00:26	30.0	2653
0:00:28	30.0	2676
0:00:30	30.0	2653
0:00:32	30.0	2675
0:00:34	30.0	2639
0:00:36	30.0	2625
0:00:38	30.0	2633
0:00:40	30.0	2596
0:00:42	30.0	2555
0:00:44	30.0	2607
0:00:46	30.0	2590
0:00:48	30.0	2604
0:00:50	30.0	2534
0:00:52	30.0	2520
0:00:54	30.0	2540
0:00:56	30.0	2497
0:00:58	30.0	2507
0:01:00	30.0	2489
0:01:02	30.0	2472
0:01:04	30.0	2471
0:01:06	30.0	2468
0:01:08	30.0	2480
0:01:10	30.0	2456
0:01:12	30.0	2414
0:01:14	30.0	2450
0:01:16	30.0	2419
0:01:18	30.0	2377
0:01:20	30.0	2385
0:01:22	30.0	2355
0:01:24	30.0	2411
0:01:26	30.0	2330
0:01:28	30.0	2346
0:01:30	30.0	2371
0:01:32	30.0	2355
0:01:34	30.0	2346
0:01:36	30.0	2341
0:01:38	30.0	2346
0:01:40	30.0	2340
0:01:42	30.0	2294
0:01:44	30.0	2295
0:01:46	30.0	2278
0:01:48	30.0	2314
0:01:50	30.0	2347
0:01:52	30.0	2238
0:01:54	30.0	2303
0:01:56	30.0	2229
0:01:58	30.0	2267
0:02:00	30.0	2223
0:02:02	30.0	2234
0:02:04	30.0	2241
0:02:06	30.0	2195
0:02:08	30.0	2202
0:02:10	30.0	2203
0:02:12	30.0	2205
0:02:14	30.0	2192
0:02:16	30.0	2188
0:02:18	30.0	2211
0:02:20	30.0	2168
0:02:22	30.0	2200
0:02:24	30.0	2201
0:02:26	30.0	2156
0:02:28	30.0	2111
