

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:56:00 (HH:MM:SS), Interval 0:00:07, 995 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	7487	9946	12238	15222	15141	16897	17651	21197	22560	26599	27262	32144
0:00:07	30.0	7543	10155	12367	14799	15368	17049	17989	21176	23342	26668	27686	32184
0:00:14	30.0	7650	10078	12656	14832	15482	17400	18066	21321	23407	26695	27731	32469
0:00:21	30.0	7589	10095	12690	14691	15541	17171	17866	21218	23581	26251	27930	32307
0:00:28	30.0	7524	10106	12659	14972	15536	17397	17663	21126	23492	26488	28159	32592
0:00:35	30.0	7448	10115	12576	14772	15469	17227	17827	21118	23629	26523	28023	32723
0:00:42	30.0	7478	10296	12564	14760	15521	17315	18038	21009	23788	26560	28033	32802
0:00:49	30.0	7479	10177	12647	15048	15365	17210	17931	21012	23544	26524	27783	32680
0:00:56	30.0	7446	10287	12654	14863	15490	17181	17878	20922	23473	26395	27855	32675
0:01:03	30.0	7339	10056	12609	14865	15599	17272	17967	21089	23864	26354	27588	32793
0:01:10	30.0	7449	10036	12624	14885	15538	17211	17866	21093	23671	26413	27605	32753
0:01:17	30.0	7359	10009	12635	14769	15526	17262	17609	21306	23766	26371	27637	32512
0:01:24	30.0	7458	10029	12607	14865	15430	17256	17919	21110	23642	26145	27954	32740
0:01:31	30.0	7412	10012	12668	14882	15490	17158	17810	21231	23483	26087	27857	32840
0:01:38	30.0	7475	10047	12700	14805	15382	17184	17809	21265	23553	26125	27763	33076
0:01:45	30.0	7423	10075	12648	14624	15239	17112	17706	21215	23500	26252	27818	32903
0:01:52	30.0	7351	10088	12533	14776	15293	17151	17826	21069	23183	25876	27633	32739
0:01:59	30.0	7381	9997	12420	14440	15316	17236	17865	21175	23169	26032	27632	32843
0:02:06	30.0	7354	9931	12665	14521	14995	17176	17878	21205	23222	25905	27701	32723
0:02:13	30.0	7304	9881	12542	14521	15262	17159	17806	21157	23151	25868	27765	32665
0:02:20	30.0	7471	9910	12518	14492	15207	17049	17687	21072	23129	25901	27790	32593
0:02:27	30.0	7383	9960	12340	14423	15013	17198	17480	21357	23386	25894	27609	32828
0:02:34	30.0	7411	9978	12383	14647	15078	17021	17748	21204	23455	25843	27861	32680
0:02:41	30.0	7364	9929	12372	14500	15122	17098	17747	21013	22883	25852	27748	32463
0:02:48	30.0	7334	9776	12530	14344	15073	17111	17569	21047	23237	25575	27782	32571
0:02:55	30.0	7310	9815	12513	14291	15120	17222	17590	21130	23019	25745	27441	32552
0:03:02	30.0	7347	9799	12270	14306	15168	17051	17753	20927	23136	25452	27678	32618
0:03:09	30.0	7397	9765	12333	14236	15000	17086	17670	20954	23082	25366	27447	32248
0:03:16	30.0	7385	9838	12446	14389	14959	16877	17531	20844	23007	25531	27684	32655
0:03:23	30.0	7360	10010	12423	14237	15034	16833	17823	20884	23051	25596	27690	32361
0:03:30	30.0	7360	9835	12237	14077	15113	16975	17498	20783	23237	25667	27503	32531
0:03:37	30.0	7259	9838	12383	14413	14939	16887	17736	20961	23078	25772	27636	32271
0:03:44	30.0	7299	9672	12277	14180	15007	16873	17481	20763	23058	25586	27714	32448
0:03:51	30.0	7332	9740	12370	14243	15026	16976	17588	20984	22835	25491	27370	32563
0:03:58	30.0	7361	9885	12273	14390	14980	16858	17343	20959	23080	25508	27589	32154
0:04:05	30.0	7294	9858	12164	14293	15068	16878	17470	20935	22817	25515	27571	32160
0:04:12	30.0	7273	9789	12340	14205	14999	16929	17482	20937	22912	25568	27429	32331
0:04:19	30.0	7321	9749	12443	14221	14609	16892	17588	20779	23086	25136	27614	32605
0:04:26	30.0	7348	9789	12249	14172	14828	16954	17439	20773	23062	25368	27647	32325
0:04:33	30.0	7286	9750	12332	14085	14847	16965	17357	20872	22885	25468	27323	32468
0:04:40	30.0	7311	9749	12368	14186	14906	16990	17540	20793	23026	25409	27344	32268
0:04:47	30.0	7294	9677	12179	14146	14922	16761	17516	20874	22917	25523	27513	32335
0:04:54	30.0	7306	9789	12354	14096	15169	16890	17414	20754	22971	25471	27476	32149
0:05:01	30.0	7284	9778	12248	14153	14706	16810	17555	21000	22833	25321	27457	32287
0:05:08	30.0	7323	9780	12213	14190	14847	16794	17517	20764	22958	25320	27501	32214
0:05:15	30.0	7304	9816	12301	14159	14750	16992	17488	20631	22954	25273	27682	32120
0:05:22	30.0	7233	9694	12434	13968	14867	16796	17556	21006	23082	25539	27450	31784
0:05:29	30.0	7284	9759	12254	14157	14961	16783	17511	20900	22888	25331	27499	31930
0:05:36	30.0	7218	9658	12363	13941	14822	16702	17386	20916	22704	25434	27553	31975
0:05:43	30.0	7136	9783	12187	14048	14868	16838	17565	20883	23176	25281	27544	32146
0:05:50	30.0	7232	9697	12081	14053	14848	16991	17329	20879	22819	25319	27503	32081
0:05:57	30.0	7292	9784	12274	14099	14769	16712	17465	20908	22891	25262	27544	32166
0:06:04	30.0	7235	9700	12261	14083	14735	16916	17407	20773	22507	25342	27533	32173
0:06:11	30.0	7184	9675	12337	14129	15013	16771	17358	20677	22911	25299	27426	32129
0:06:18	30.0	7213	9645	12255	14124	14967	16693	17389	20535	23042	25298	27527	32304
0:06:25	30.0	7234	9738	12261	14040	14876	16816	17546	20836	22963	25369	27487	32195
0:06:32	30.0	7201	9632	12198	13990	14792	16783	17431	20658	22684	25148	27433	32003
0:06:39	30.0	7227	9522	12236	14239	14896	16829	17411	20812	22904	25328	27450	32054
0:06:46	30.0	7252	9635	12201	14030	14965	16845	17346	20681	22859	25311	27321	31892
0:06:53	30.0	7214	9601	12158	13994	14820	16776	17500	20664	22900	25403	27213	31937
0:07:00	30.0	7259	9739	12052	13969	14864	16722	17294	20944	22801	25346	27336	31803
0:07:07	30.0	7287	9654	12137	13923	14837	16735	17175	20694	22712	25191	27349	31952
0:07:14	30.0	7237	9669	12188	14045	14717	16592	17325	20697	22824	25277	27401	31950
0:07:21	30.0	7266	9650	12171	13949	14795	16836	17199	20823	22671	25344	27427	31725
0:07:28	30.0	7270	9675	12225	13930	14827	16734	17390	20659	22640	25281	27193	31902
0:07:35	30.0	7286	9656	12196	13990	14819	16712	17315	20673	22758	25141	27378	31990
0:07:42	30.0	7209	9577	12108	13947	14681	16781	17469	20874	22730	25408	27380	32143
0:07:49	30.0	7172	9599	12232	14016	14809	16891	17247	20712	22902	24963	27416	31970
0:07:56	30.0	7100	9659	12226	13909	14732	16709	17458	20771	22752	25349	27279	31986
0:08:03	30.0	7233	9650	12176	13842	14877	16741	17251	20688	22925	25291	27345	32094
0:08:10	30.0	7194	9683	12161	14019	14698	16731	17186	20532	22834	25211	27400	31858
0:08:17	30.0	7190	9638	12249	13928	14841	16605	17220	20739	22808	25298	27342	32027
0:08:24	30.0	7186	9530	12258	13990	14717	16672	17389	20676	22793	25081	27256	31994
0:08:31	30.0	7184	9716	12098	13963	14733	16742	17454	20713	22740	25401	27356	31985
0:08:38	30.0	7098	9669	12159	13878	14778	16655	17395	20759	22667	25236	27296	32178
0:08:45	30.0	7179	9579	12106	13950	14782	16919	17361	20595	22890	25105	27291	31586
0:08:52	30.0	7085	9641	12110	14003	14690	16633	17212	20437	22904	25124	27229	32013
0:08:59	30.0	7249	9786	12091	14077	14674	16779	17306	20599	22687	25197	27412	32046
0:09:06	30.0	7158	9583	12180	13962	14647	16706	17175	20599	22807	25386	27266	31557
0:09:13	30.0	7255	9626	12294	13807	14629	16804	17291	20673	22921	25189	27171	31608
0:09:20	30.0	7192	9770	12049	13925	14823	16781	17515	20738	22775	25258	27119	31895
0:09:27	30.0	7170	9628	12206	13908	14658	16816	17224	20314	22614	25463	27060	31694
0:09:34	30.0	7141	9644	12149	13984	14859	16656	17367	20552	22650	25090	27278	31857
0:09:41	30.0	7107	9638	12199	13905	14679	16679	17347	20575	22492	25120	27070	31752
0:09:48	30.0	7221	9757	11984	13740	14858	16468	17398	20469	22821	25079	27183	32032
0:09:55	30.0	7218	9755	12175	13922	14710	16492	17261	20471	22574	25183	27093	31922
0:10:02	30.0	7215	9696	12232	13755	14609	16504	17281	20457	22616	25409	26969	31646
0:10:09	30.0	7102	9458	12034	13924	14745	16796	17306	20454	22652	25327	26993	32014
0:10:16	30.0	7094	9490	12115	13894	14627	16643	17290	20669	22589	25081	27020	31412
0:10:23	30.0	7166	9644	12082	13933	14695	16657	17343	20612	22664	25144	27345	31442
0:10:30	30.0	7180	9759	12139	13851	14484	16681	17341	20574	22668	25234	27125	31650
0:10:37	30.0	7173	9595	12105	13943	14624	16583	17325	20507	22507	25331	27131	31836
0:10:44	30.0	7101	9666	12048	13977	14539	16611	17206	20643	22782	25112	27131	32009
0:10:51	30.0	7147	9559	12082	13903	14508	16811	17361	20577	22473	25101	27390	31823
0:10:58	30.0	7143	9683	12100	14047	14700	16775	17210	20610	22642	25131	27044	31571
0:11:05	30.0	7163	9604	11922	14016	14583	16680	17408	20557	22658	25114	27061	31633
0:11:12	30.0	7125	9624	12083	13852	14539	16731	17229	20431	22554	25012	27262	31619
0:11:19	30.0	7152	9618	12171	13877	14610	16498	17320	20535	22716	25193	26864	31687
0:11:26	30.0	7169	9602	12062	13913	14713	16539	17315	20518	22639	25301	27110	31623
0:11:33	30.0	7114	9526	12087	13962	14588	16672	17152	20298	22579	24899	27077	31893
0:11:40	30.0	7101	9634	12084	13935	14606	16582	17258	20416	22678	25279	26917	31743
0:11:47	30.0	7125	9606	12142	13995	14654	16659	17304	20408	22484	25126	26893	31675
0:11:54	30.0	7182	9619	12071	14069	14760	16695	17127	20398	22733	25035	26954	31443
0:12:01	30.0	7162	9564	12103	13986	14607	16550	17059	20328	22546	25198	26983	31459
0:12:08	30.0	7156	9658	12117	13952	14749	16462	17131	20452	22891	24955	26844	31832
0:12:15	30.0	7092	9617	12165	13947	14721	16343	17302	20308	22681	25006	26945	31395
0:12:22	30.0	7173	9628	12000	14030	14625	16621	17101	20423	22754	25184	26821	31420
0:12:29	30.0	7152	9423	11836	13697	14654	16673	17177	20388	22466	25210	26920	31681
0:12:36	30.0	7083	9578	12039	13956	14535	16413	17191	20218	22704	25185	26794	31549
0:12:43	30.0	7059	9512	11992	13948	14601	16521	17174	20259	22294	24902	27089	31229
0:12:50	30.0	7107	9515	12080	13925	14663	16395	17033	20326	22517	25130	27243	31570
0:12:57	30.0	7082	9580	12067	14010	14521	16559	17200	20254	22517	24969	27032	31236
0:13:04	30.0	7231	9637	12168	14039	14632	16484	17246	20335	22515	25270	26857	31533
0:13:11	30.0	7074	9516	12104	13927	14526	16643	17202	20331	22436	25256	26983	31555
0:13:18	30.0	7046	9541	12006	13992	14623	16512	17251	20371	22517	25083	27176	31462
0:13:25	30.0	7069	9678	11958	14054	14520	16519	17157	20381	22682	25116	27095	31419
0:13:32	30.0	7032	9495	11915	13817	14467	16564	17070	20349	22536	24979	26912	31309
0:13:39	30.0	6981	9552	12061	14010	14480	16551	17100	20438	22393	25109	26871	31372
0:13:46	30.0	7042	9458	12106	14026	14630	16448	17130	20338	22414	25048	26716	31553
0:13:53	30.0	7155	9544	11957	13609	14451	16428	17172	20194	22495	24963	26948	31212
0:14:00	30.0	7107	9565	12099	13925	14516	16535	17245	20417	22338	24927	26868	31422
0:14:07	30.0	7065	9662	11904	13942	14527	16541	17031	20479	22351	24849	26761	31405
0:14:14	30.0	7014	9588	11961	14082	14601	16397	17079	20326	22279	25233	26679	31528
0:14:21	30.0	7049	9544	12063	13983	14660	16524	17126	20285	22513	25141	26902	31228
0:14:28	30.0	7009	9507	11985	13955	14451	16381	17150	20462	22608	25011	26501	31291
0:14:35	30.0	7046	9478	12124	14152	14564	16396	17133	20217	22455	25136	27090	31206
0:14:42	30.0	7071	9407	11954	14014	14549	16594	17022	20283	22385	24861	26911	31512
0:14:49	30.0	7032	9524	11928	14030	14452	16414	17032	20445	22350	25150	26884	31354
0:14:56	30.0	7051	9605	11878	13986	14538	16540	16894	20357	22241	24872	26737	31397
0:15:03	30.0	7017	9466	12063	13846	14405	16333	17164	20203	22627	24876	26689	31288
0:15:10	30.0	6971	9465	11967	14074	14350	16562	16938	20216	22507	25104	26819	31189
0:15:17	30.0	7013	9554	12042	13961	14400	16601	16946	20345	22483	24946	26845	31232
0:15:24	30.0	6982	9372	11852	13942	14407	16421	16830	20170	22443	24898	26821	31349
0:15:31	30.0	7012	9499	11995	14028	14471	16265	17030	20264	22421	24827	26844	31087
