

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:04:00 (HH:MM:SS), Interval 0:00:02, 121 Reads
    Read	Fluorescence Endpoint
	G4
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G				SPL1									Well ID
H													Well ID

295,335

Time	T° 295,335	G4
0:00:00	30.0	1300
0:00:02	30.0	1247
0:00:04	30.0	1244
0:00:06	30.0	1248
0:00:08	30.0	1226
0:00:10	30.0	1216
0:00:12	30.0	1183
0:00:14	30.0	1210
0:00:16	30.0	1188
0:00:18	30.0	1156
0:00:20	30.0	1132
0:00:22	30.0	1178
0:00:24	30.0	1132
0:00:26	30.0	1151
0:00:28	30.0	1085
0:00:30	30.0	1103
0:00:32	30.0	1121
0:00:34	30.0	1116
0:00:36	30.0	1027
0:00:38	30.0	1086
0:00:40	30.0	1090
0:00:42	30.0	1098
0:00:44	30.0	1040
0:00:46	30.0	1080
0:00:48	30.0	1060
0:00:50	30.0	1020
0:00:52	30.0	998
0:00:54	30.0	1019
0:00:56	30.0	1036
0:00:58	30.0	1011
0:01:00	30.0	1014
0:01:02	30.0	1026
0:01:04	30.0	1008
0:01:06	30.0	1040
0:01:08	30.0	1017
0:01:10	30.0	1003
0:01:12	30.0	1034
0:01:14	30.0	998
0:01:16	30.0	1007
0:01:18	30.0	1018
0:01:20	30.0	990
0:01:22	30.0	997
0:01:24	30.0	987
0:01:26	30.0	1003
0:01:28	30.0	995
0:01:30	30.0	978
0:01:32	30.0	1015
0:01:34	30.0	1019
0:01:36	30.0	1009
0:01:38	30.0	988
0:01:40	30.0	985
0:01:42	30.0	989
0:01:44	30.0	1014
0:01:46	30.0	1001
0:01:48	30.0	1003
0:01:50	30.0	1013
0:01:52	30.0	1000
0:01:54	30.0	1036
0:01:56	30.0	986
0:01:58	30.0	993
0:02:00	30.0	1023
0:02:02	30.0	1035
0:02:04	30.0	1027
0:02:06	30.0	984
0:02:08	30.0	1018
0:02:10	30.0	1002
0:02:12	30.0	1018
0:02:14	30.0	1000
0:02:16	30.0	991
0:02:18	30.0	1030
0:02:20	30.0	1024
0:02:22	30.0	1023
0:02:24	30.0	1042
0:02:26	30.0	975
0:02:28	30.0	1016
0:02:30	30.0	1006
0:02:32	30.0	997
0:02:34	30.0	1000
0:02:36	30.0	983
0:02:38	30.0	943
0:02:40	30.0	1028
0:02:42	30.0	971
0:02:44	30.0	1006
0:02:46	30.0	999
0:02:48	30.0	990
0:02:50	30.0	1006
0:02:52	30.0	1005
0:02:54	30.0	1011
0:02:56	30.0	1024
0:02:58	30.0	1023
0:03:00	30.0	1000
0:03:02	30.0	1028
0:03:04	30.0	1008
0:03:06	30.0	1001
0:03:08	30.0	1034
0:03:10	30.0	986
0:03:12	30.0	991
0:03:14	30.0	1017
0:03:16	30.0	1028
0:03:18	30.0	1011
0:03:20	30.0	1021
0:03:22	30.0	1026
0:03:24	30.0	1027
0:03:26	30.0	1044
0:03:28	30.0	1024
0:03:30	30.0	1013
0:03:32	30.0	1007
0:03:34	30.0	1006
0:03:36	30.0	1000
0:03:38	30.0	993
0:03:40	30.0	994
0:03:42	30.0	989
0:03:44	30.0	987
0:03:46	30.0	1016
0:03:48	30.0	1010
0:03:50	30.0	980
0:03:52	30.0	1006
0:03:54	30.0	994
0:03:56	30.0	965
0:03:58	30.0	1010
0:04:00	30.0	989

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G				-2670000.000									Max V [295,335]
				1.000									R-Squared [295,335]
				0:00:35									t at Max V [295,335]
				0:00:30									Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

