

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	G5
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G					SPL1								Well ID
H													Well ID

295,335

Time	T° 295,335	G5
0:00:00	30.0	1952
0:00:02	30.0	1848
0:00:04	30.0	1860
0:00:06	30.0	1809
0:00:08	30.0	1815
0:00:10	30.0	1801
0:00:12	30.0	1755
0:00:14	30.0	1684
0:00:16	30.0	1750
0:00:18	30.0	1720
0:00:20	30.0	1674
0:00:22	30.0	1712
0:00:24	30.0	1649
0:00:26	30.0	1636
0:00:28	30.0	1613
0:00:30	30.0	1645
0:00:32	30.0	1590
0:00:34	30.0	1596
0:00:36	30.0	1584
0:00:38	30.0	1560
0:00:40	30.0	1549
0:00:42	30.0	1550
0:00:44	30.0	1532
0:00:46	30.0	1543
0:00:48	30.0	1526
0:00:50	30.0	1523
0:00:52	30.0	1530
0:00:54	30.0	1493
0:00:56	30.0	1492
0:00:58	30.0	1447
0:01:00	30.0	1461
0:01:02	30.0	1489
0:01:04	30.0	1459
0:01:06	30.0	1485
0:01:08	30.0	1474
0:01:10	30.0	1470
0:01:12	30.0	1421
0:01:14	30.0	1419
0:01:16	30.0	1424
0:01:18	30.0	1451
0:01:20	30.0	1400
0:01:22	30.0	1418
0:01:24	30.0	1428
0:01:26	30.0	1440
0:01:28	30.0	1450
0:01:30	30.0	1416
0:01:32	30.0	1396
0:01:34	30.0	1374
0:01:36	30.0	1425
0:01:38	30.0	1403
0:01:40	30.0	1404
0:01:42	30.0	1404
0:01:44	30.0	1417
0:01:46	30.0	1404
0:01:48	30.0	1380
0:01:50	30.0	1348
0:01:52	30.0	1398
0:01:54	30.0	1386
0:01:56	30.0	1361
0:01:58	30.0	1388
0:02:00	30.0	1398
0:02:02	30.0	1399
0:02:04	30.0	1378
0:02:06	30.0	1364
0:02:08	30.0	1354
0:02:10	30.0	1365
0:02:12	30.0	1384
0:02:14	30.0	1346
0:02:16	30.0	1369
0:02:18	30.0	1369
0:02:20	30.0	1372
0:02:22	30.0	1367
0:02:24	30.0	1389
0:02:26	30.0	1382
0:02:28	30.0	1349
0:02:30	30.0	1384
0:02:32	30.0	1370
0:02:34	30.0	1347
0:02:36	30.0	1414
0:02:38	30.0	1382
0:02:40	30.0	1367
0:02:42	30.0	1385
0:02:44	30.0	1365
0:02:46	30.0	1332
0:02:48	30.0	1375
0:02:50	30.0	1379
0:02:52	30.0	1358
0:02:54	30.0	1352
0:02:56	30.0	1401
0:02:58	30.0	1359
0:03:00	30.0	1345
0:03:02	30.0	1344
0:03:04	30.0	1364
0:03:06	30.0	1363
0:03:08	30.0	1389
0:03:10	30.0	1319
0:03:12	30.0	1362
0:03:14	30.0	1368
0:03:16	30.0	1333
0:03:18	30.0	1364
0:03:20	30.0	1381
0:03:22	30.0	1372
0:03:24	30.0	1381
0:03:26	30.0	1389
0:03:28	30.0	1375
0:03:30	30.0	1369
0:03:32	30.0	1355
0:03:34	30.0	1378
0:03:36	30.0	1352
0:03:38	30.0	1389
0:03:40	30.0	1366
0:03:42	30.0	1364
0:03:44	30.0	1337
0:03:46	30.0	1373
0:03:48	30.0	1357
0:03:50	30.0	1370
0:03:52	30.0	1366
0:03:54	30.0	1337
0:03:56	30.0	1359
0:03:58	30.0	1373
0:04:00	30.0	1364
0:04:02	30.0	1379
0:04:04	30.0	1391
0:04:06	30.0	1369
0:04:08	30.0	1342
0:04:10	30.0	1414
0:04:12	30.0	1347
0:04:14	30.0	1343
0:04:16	30.0	1381
0:04:18	30.0	1340
0:04:20	30.0	1336
0:04:22	30.0	1348
0:04:24	30.0	1365
0:04:26	30.0	1370
0:04:28	30.0	1360
0:04:30	30.0	1355
0:04:32	30.0	1381
0:04:34	30.0	1325
0:04:36	30.0	1350
0:04:38	30.0	1380
0:04:40	30.0	1354
0:04:42	30.0	1377
0:04:44	30.0	1370
0:04:46	30.0	1358
0:04:48	30.0	1353
0:04:50	30.0	1409
0:04:52	30.0	1356
0:04:54	30.0	1360
0:04:56	30.0	1395
0:04:58	30.0	1381
0:05:00	30.0	1388

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G					-3120000.000								Max V [295,335]
					1.000								R-Squared [295,335]
					0:00:01								t at Max V [295,335]
					0:00:00								Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

