

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:04:00 (HH:MM:SS), Interval 0:00:02, 121 Reads
    Read	Fluorescence Endpoint
	G6
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G						SPL1							Well ID
H													Well ID

295,335

Time	T° 295,335	G6
0:00:00	30.1	1155
0:00:02	30.1	1105
0:00:04	30.1	1085
0:00:06	30.0	1079
0:00:08	30.1	1061
0:00:10	30.0	1042
0:00:12	30.0	1058
0:00:14	30.1	1034
0:00:16	30.1	992
0:00:18	30.1	1000
0:00:20	30.1	966
0:00:22	30.0	999
0:00:24	30.1	948
0:00:26	30.1	948
0:00:28	30.1	959
0:00:30	30.1	958
0:00:32	30.0	917
0:00:34	30.0	924
0:00:36	30.0	957
0:00:38	30.1	907
0:00:40	30.1	895
0:00:42	30.1	901
0:00:44	30.1	918
0:00:46	30.1	865
0:00:48	30.1	877
0:00:50	30.1	885
0:00:52	30.1	898
0:00:54	30.1	878
0:00:56	30.1	882
0:00:58	30.1	884
0:01:00	30.1	864
0:01:02	30.1	873
0:01:04	30.0	858
0:01:06	30.0	869
0:01:08	30.1	826
0:01:10	30.1	852
0:01:12	30.1	828
0:01:14	30.1	868
0:01:16	30.1	828
0:01:18	30.1	859
0:01:20	30.0	864
0:01:22	30.0	848
0:01:24	30.1	838
0:01:26	30.1	858
0:01:28	30.1	843
0:01:30	30.1	841
0:01:32	30.1	824
0:01:34	30.1	852
0:01:36	30.1	845
0:01:38	30.1	847
0:01:40	30.1	851
0:01:42	30.1	813
0:01:44	30.1	834
0:01:46	30.1	844
0:01:48	30.1	819
0:01:50	30.1	870
0:01:52	30.1	836
0:01:54	30.1	846
0:01:56	30.1	828
0:01:58	30.0	833
0:02:00	30.1	836
0:02:02	30.0	835
0:02:04	30.0	835
0:02:06	30.0	812
0:02:08	30.1	844
0:02:10	30.1	824
0:02:12	30.1	817
0:02:14	30.1	818
0:02:16	30.1	830
0:02:18	30.1	846
0:02:20	30.1	837
0:02:22	30.1	834
0:02:24	30.1	823
0:02:26	30.1	849
0:02:28	30.1	795
0:02:30	30.1	816
0:02:32	30.1	822
0:02:34	30.1	843
0:02:36	30.1	846
0:02:38	30.1	819
0:02:40	30.1	829
0:02:42	30.1	848
0:02:44	30.0	837
0:02:46	30.0	830
0:02:48	30.0	814
0:02:50	30.1	801
0:02:52	30.0	801
0:02:54	30.0	816
0:02:56	30.1	832
0:02:58	30.1	824
0:03:00	30.1	855
0:03:02	30.1	823
0:03:04	30.1	822
0:03:06	30.1	849
0:03:08	30.1	865
0:03:10	30.1	834
0:03:12	30.1	837
0:03:14	30.1	818
0:03:16	30.1	811
0:03:18	30.1	816
0:03:20	30.1	837
0:03:22	30.1	863
0:03:24	30.1	843
0:03:26	30.1	859
0:03:28	30.1	812
0:03:30	30.1	847
0:03:32	30.0	837
0:03:34	30.0	841
0:03:36	30.0	809
0:03:38	30.0	834
0:03:40	30.0	828
0:03:42	30.0	808
0:03:44	30.1	829
0:03:46	30.1	824
0:03:48	30.1	830
0:03:50	30.1	829
0:03:52	30.1	806
0:03:54	30.1	829
0:03:56	30.1	827
0:03:58	30.1	849
0:04:00	30.1	824

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G						-1620000.000							Max V [295,335]
						1.000							R-Squared [295,335]
						0:02:27							t at Max V [295,335]
						0:02:15							Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

