

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	G8
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G								SPL1					Well ID
H													Well ID

295,335

Time	T° 295,335	G8
0:00:00	30.1	2616
0:00:02	30.1	2562
0:00:04	30.1	2518
0:00:06	30.1	2520
0:00:08	30.1	2466
0:00:10	30.1	2460
0:00:12	30.1	2411
0:00:14	30.1	2483
0:00:16	30.1	2443
0:00:18	30.1	2360
0:00:20	30.1	2420
0:00:22	30.1	2320
0:00:24	30.1	2323
0:00:26	30.1	2300
0:00:28	30.1	2325
0:00:30	30.1	2229
0:00:32	30.1	2279
0:00:34	30.1	2243
0:00:36	30.1	2218
0:00:38	30.1	2181
0:00:40	30.1	2177
0:00:42	30.1	2202
0:00:44	30.1	2167
0:00:46	30.1	2141
0:00:48	30.1	2169
0:00:50	30.1	2187
0:00:52	30.1	2125
0:00:54	30.1	2169
0:00:56	30.1	2132
0:00:58	30.1	2088
0:01:00	30.1	2068
0:01:02	30.1	2071
0:01:04	30.1	2023
0:01:06	30.1	2061
0:01:08	30.1	2041
0:01:10	30.1	2036
0:01:12	30.1	2024
0:01:14	30.1	2024
0:01:16	30.1	1983
0:01:18	30.1	2006
0:01:20	30.1	2063
0:01:22	30.1	1999
0:01:24	30.1	1993
0:01:26	30.1	1959
0:01:28	30.1	1984
0:01:30	30.1	1961
0:01:32	30.1	1941
0:01:34	30.1	1940
0:01:36	30.1	1975
0:01:38	30.1	1944
0:01:40	30.1	1962
0:01:42	30.1	1935
0:01:44	30.1	1915
0:01:46	30.1	1920
0:01:48	30.1	1904
0:01:50	30.1	1884
0:01:52	30.1	1911
0:01:54	30.1	1899
0:01:56	30.1	1916
0:01:58	30.1	1888
0:02:00	30.1	1898
0:02:02	30.1	1918
0:02:04	30.1	1870
0:02:06	30.1	1833
0:02:08	30.1	1882
0:02:10	30.1	1822
0:02:12	30.1	1875
0:02:14	30.1	1859
0:02:16	30.1	1845
0:02:18	30.1	1852
0:02:20	30.1	1828
0:02:22	30.1	1876
0:02:24	30.1	1802
0:02:26	30.1	1795
0:02:28	30.1	1820
0:02:30	30.1	1825
0:02:32	30.1	1797
0:02:34	30.1	1825
0:02:36	30.1	1813
0:02:38	30.1	1834
0:02:40	30.1	1784
0:02:42	30.1	1799
0:02:44	30.1	1827
0:02:46	30.1	1816
0:02:48	30.1	1800
0:02:50	30.1	1819
0:02:52	30.1	1762
0:02:54	30.1	1753
0:02:56	30.1	1770
0:02:58	30.1	1807
0:03:00	30.1	1782
0:03:02	30.1	1780
0:03:04	30.1	1759
0:03:06	30.1	1751
0:03:08	30.1	1796
0:03:10	30.1	1786
0:03:12	30.1	1802
0:03:14	30.1	1748
0:03:16	30.1	1795
0:03:18	30.1	1782
0:03:20	30.1	1771
0:03:22	30.1	1783
0:03:24	30.1	1720
0:03:26	30.1	1751
0:03:28	30.1	1785
0:03:30	30.1	1757
0:03:32	30.1	1752
0:03:34	30.1	1752
0:03:36	30.1	1747
0:03:38	30.1	1748
0:03:40	30.1	1776
0:03:42	30.1	1750
0:03:44	30.1	1785
0:03:46	30.1	1754
0:03:48	30.1	1722
0:03:50	30.1	1770
0:03:52	30.1	1756
0:03:54	30.1	1758
0:03:56	30.1	1743
0:03:58	30.1	1769
0:04:00	30.1	1743
0:04:02	30.1	1720
0:04:04	30.1	1736
0:04:06	30.1	1717
0:04:08	30.1	1723
0:04:10	30.1	1686
0:04:12	30.1	1738
0:04:14	30.1	1724
0:04:16	30.1	1753
0:04:18	30.1	1719
0:04:20	30.1	1725
0:04:22	30.1	1722
0:04:24	30.1	1736
0:04:26	30.1	1728
0:04:28	30.1	1755
0:04:30	30.1	1748
0:04:32	30.1	1752
0:04:34	30.1	1707
0:04:36	30.1	1729
0:04:38	30.1	1720
0:04:40	30.1	1723
0:04:42	30.1	1744
0:04:44	30.1	1710
0:04:46	30.1	1744
0:04:48	30.1	1747
0:04:50	30.1	1719
0:04:52	30.1	1745
0:04:54	30.1	1718
0:04:56	30.1	1742
0:04:58	30.1	1699
0:05:00	30.1	1713

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G								-3000000.000					Max V [295,335]
								1.000					R-Squared [295,335]
								0:00:21					t at Max V [295,335]
								0:00:16					Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

