

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:04:00 (HH:MM:SS), Interval 0:00:01, 241 Reads
    Read	Fluorescence Endpoint
	E2
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E		SPL1											Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E2
0:00:00	30.0	417
0:00:01	30.0	430
0:00:02	30.0	392
0:00:03	30.0	372
0:00:04	30.0	380
0:00:05	30.0	386
0:00:06	30.0	397
0:00:07	30.0	382
0:00:08	30.0	386
0:00:09	30.0	367
0:00:10	30.0	358
0:00:11	30.0	379
0:00:12	30.0	370
0:00:13	30.0	358
0:00:14	30.0	378
0:00:15	30.0	376
0:00:16	30.0	373
0:00:17	30.0	366
0:00:18	30.0	364
0:00:19	30.0	363
0:00:20	30.0	348
0:00:21	30.0	341
0:00:22	30.0	373
0:00:23	30.0	352
0:00:24	30.0	377
0:00:25	30.0	362
0:00:26	30.0	322
0:00:27	30.0	350
0:00:28	30.0	343
0:00:29	30.0	343
0:00:30	30.0	335
0:00:31	30.0	353
0:00:32	30.0	314
0:00:33	30.0	326
0:00:34	30.0	350
0:00:35	30.0	317
0:00:36	30.0	335
0:00:37	30.0	321
0:00:38	30.0	357
0:00:39	30.0	347
0:00:40	30.0	325
0:00:41	30.0	336
0:00:42	30.0	344
0:00:43	30.0	341
0:00:44	30.0	352
0:00:45	30.0	334
0:00:46	30.0	336
0:00:47	30.0	339
0:00:48	30.0	332
0:00:49	30.0	340
0:00:50	30.0	345
0:00:51	30.0	342
0:00:52	30.0	331
0:00:53	30.0	341
0:00:54	30.0	333
0:00:55	30.0	328
0:00:56	30.0	345
0:00:57	30.0	331
0:00:58	30.0	352
0:00:59	30.0	339
0:01:00	30.0	330
0:01:01	30.0	332
0:01:02	30.0	325
0:01:03	30.0	326
0:01:04	30.0	354
0:01:05	30.0	348
0:01:06	30.0	352
0:01:07	30.0	322
0:01:08	30.0	335
0:01:09	30.0	325
0:01:10	30.0	343
0:01:11	30.0	320
0:01:12	30.0	339
0:01:13	30.0	317
0:01:14	30.0	345
0:01:15	30.0	322
0:01:16	30.0	336
0:01:17	30.0	335
0:01:18	30.0	339
0:01:19	30.0	331
0:01:20	30.0	323
0:01:21	30.0	329
