

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:04:00 (HH:MM:SS), Interval 0:00:02, 121 Reads
    Read	Fluorescence Endpoint
	E3
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E			SPL1										Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E3
0:00:00	30.0	894
0:00:02	30.0	868
0:00:04	30.0	850
0:00:06	30.0	849
0:00:08	30.0	806
0:00:10	30.0	851
0:00:12	30.0	853
0:00:14	30.0	808
0:00:16	30.0	780
0:00:18	30.0	815
0:00:20	30.0	810
0:00:22	30.0	760
0:00:24	30.0	787
0:00:26	30.0	729
0:00:28	30.0	801
0:00:30	30.0	749
0:00:32	30.0	733
0:00:34	30.0	724
0:00:36	30.0	717
0:00:38	30.0	733
0:00:40	30.0	719
0:00:42	30.0	691
0:00:44	30.0	721
0:00:46	30.0	696
0:00:48	30.0	705
0:00:50	30.0	680
0:00:52	30.0	680
0:00:54	30.0	670
0:00:56	30.0	701
0:00:58	30.0	706
0:01:00	30.0	683
0:01:02	30.0	684
0:01:04	30.0	661
0:01:06	30.0	675
0:01:08	30.0	668
0:01:10	30.0	646
0:01:12	30.0	699
0:01:14	30.0	664
0:01:16	30.0	689
0:01:18	30.0	687
0:01:20	30.0	670
0:01:22	30.0	642
0:01:24	30.0	656
0:01:26	30.0	649
0:01:28	30.0	659
0:01:30	30.0	670
0:01:32	30.0	652
0:01:34	30.0	661
0:01:36	30.0	675
0:01:38	30.0	673
0:01:40	30.0	679
0:01:42	30.0	644
0:01:44	30.0	683
0:01:46	30.0	664
0:01:48	30.0	637
0:01:50	30.0	627
0:01:52	30.0	647
0:01:54	30.0	686
0:01:56	30.0	678
0:01:58	30.0	652
0:02:00	30.0	664
0:02:02	30.0	663
0:02:04	30.0	661
0:02:06	30.0	673
0:02:08	30.0	615
0:02:10	30.0	652
0:02:12	30.0	633
0:02:14	30.0	642
0:02:16	30.0	643
0:02:18	30.0	664
0:02:20	30.0	672
0:02:22	30.0	642
0:02:24	30.0	649
0:02:26	30.0	658
0:02:28	30.0	667
0:02:30	30.0	644
0:02:32	30.0	647
0:02:34	30.0	656
0:02:36	30.0	645
0:02:38	30.0	644
0:02:40	30.0	632
0:02:42	30.0	652
0:02:44	30.0	667
0:02:46	30.0	618
0:02:48	30.0	646
0:02:50	30.0	624
0:02:52	30.0	670
0:02:54	30.0	625
0:02:56	30.0	634
0:02:58	30.0	637
0:03:00	30.0	665
0:03:02	30.0	670
0:03:04	30.0	658
0:03:06	30.0	649
0:03:08	30.0	660
0:03:10	30.0	669
0:03:12	30.0	641
0:03:14	30.0	647
0:03:16	30.0	663
0:03:18	30.0	623
0:03:20	30.0	634
0:03:22	30.0	649
0:03:24	30.0	659
0:03:26	30.0	633
0:03:28	30.0	638
0:03:30	30.0	656
0:03:32	30.0	643
0:03:34	30.0	640
0:03:36	30.0	669
0:03:38	30.0	638
0:03:40	30.0	620
0:03:42	30.0	652
0:03:44	30.0	644
0:03:46	30.0	641
0:03:48	30.0	644
0:03:50	30.0	630
0:03:52	30.0	664
0:03:54	30.0	656
0:03:56	30.0	663
0:03:58	30.0	662
0:04:00	30.0	664

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E			2160000.000										Max V [295,335]
			1.000										R-Squared [295,335]
			0:00:27										t at Max V [295,335]
			0:00:31										Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

