

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:06:00 (HH:MM:SS), Interval 0:00:02, 181 Reads
    Read	Fluorescence Endpoint
	E5
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E					SPL1								Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E5
0:00:00	30.0	1482
0:00:02	30.0	1515
0:00:04	30.0	1517
0:00:06	30.0	1505
0:00:08	30.0	1508
0:00:10	30.0	1415
0:00:12	30.0	1464
0:00:14	30.0	1510
0:00:16	30.0	1453
0:00:18	30.0	1423
0:00:20	30.0	1402
0:00:22	30.0	1369
0:00:24	30.0	1426
0:00:26	30.0	1346
0:00:28	30.0	1440
0:00:30	30.0	1364
0:00:32	30.0	1351
0:00:34	30.0	1339
0:00:36	30.0	1322
0:00:38	30.0	1344
0:00:40	30.0	1297
0:00:42	30.0	1314
0:00:44	30.0	1313
0:00:46	30.0	1324
0:00:48	30.0	1291
0:00:50	30.0	1281
0:00:52	30.0	1300
0:00:54	30.0	1242
0:00:56	30.0	1258
0:00:58	30.0	1244
0:01:00	30.0	1265
0:01:02	30.0	1219
0:01:04	30.0	1204
0:01:06	30.0	1204
0:01:08	30.0	1211
0:01:10	30.0	1219
0:01:12	30.0	1201
0:01:14	30.0	1207
0:01:16	30.0	1166
0:01:18	30.0	1220
0:01:20	30.0	1192
0:01:22	30.0	1190
0:01:24	30.0	1169
0:01:26	30.0	1151
0:01:28	30.0	1133
0:01:30	30.0	1152
0:01:32	30.0	1172
0:01:34	30.0	1157
0:01:36	30.0	1144
0:01:38	30.0	1127
0:01:40	30.0	1146
0:01:42	30.0	1104
0:01:44	30.0	1122
0:01:46	30.0	1146
0:01:48	30.0	1113
0:01:50	30.0	1112
0:01:52	30.0	1121
0:01:54	30.0	1135
0:01:56	30.0	1102
0:01:58	30.0	1096
0:02:00	30.0	1142
0:02:02	30.0	1107
0:02:04	30.0	1073
0:02:06	30.0	1112
0:02:08	30.0	1143
0:02:10	30.1	1089
0:02:12	30.1	1094
0:02:14	30.0	1083
0:02:16	30.0	1087
0:02:18	30.0	1082
0:02:20	30.0	1046
0:02:22	30.0	1066
0:02:24	30.0	1077
0:02:26	30.0	1074
0:02:28	30.0	1095
0:02:30	30.0	1102
0:02:32	30.0	1102
0:02:34	30.0	1057
0:02:36	30.0	1060
0:02:38	30.0	1076
0:02:40	30.0	1080
0:02:42	30.0	1059
0:02:44	30.0	1048
0:02:46	30.0	1070
0:02:48	30.0	1060
0:02:50	30.0	1044
0:02:52	30.0	1051
0:02:54	30.0	1083
0:02:56	30.0	1057
0:02:58	30.1	1034
0:03:00	30.1	1057
0:03:02	30.1	1057
0:03:04	30.1	1045
0:03:06	30.0	1071
0:03:08	30.0	1046
0:03:10	30.0	1068
0:03:12	30.0	1049
0:03:14	30.0	1036
0:03:16	30.0	1076
0:03:18	30.0	1040
0:03:20	30.0	1018
0:03:22	30.0	1056
0:03:24	30.0	1049
0:03:26	30.0	1064
0:03:28	30.0	1070
0:03:30	30.0	1070
0:03:32	30.0	1083
0:03:34	30.0	1067
0:03:36	30.0	1040
0:03:38	30.0	1031
0:03:40	30.0	1044
0:03:42	30.0	1031
0:03:44	30.0	1038
0:03:46	30.0	1042
0:03:48	30.0	1052
0:03:50	30.0	1066
0:03:52	30.0	1052
0:03:54	30.0	1022
0:03:56	30.0	1045
0:03:58	30.0	1065
0:04:00	30.0	1072
0:04:02	30.0	1025
0:04:04	30.0	1042
0:04:06	30.0	1070
0:04:08	30.0	1018
0:04:10	30.0	1077
0:04:12	30.0	1042
0:04:14	30.0	1015
0:04:16	30.0	1084
0:04:18	30.0	1034
0:04:20	30.0	1065
0:04:22	30.0	1043
0:04:24	30.0	1064
0:04:26	30.0	1052
0:04:28	30.0	1030
0:04:30	30.0	1007
0:04:32	30.0	1059
0:04:34	30.0	1041
0:04:36	30.0	1049
0:04:38	30.0	1050
0:04:40	30.0	1052
0:04:42	30.0	1037
0:04:44	30.0	1033
0:04:46	30.0	1076
0:04:48	30.0	1055
0:04:50	30.0	1036
0:04:52	30.0	1021
0:04:54	30.0	1048
0:04:56	30.0	1032
0:04:58	30.0	1026
0:05:00	30.0	1036
0:05:02	30.0	1052
0:05:04	30.0	1039
0:05:06	30.0	1004
0:05:08	30.0	1035
0:05:10	30.0	1062
0:05:12	30.0	1037
0:05:14	30.0	1040
0:05:16	30.0	1046
0:05:18	30.0	1077
0:05:20	30.0	1042
