

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:07:00 (HH:MM:SS), Interval 0:00:02, 211 Reads
    Read	Fluorescence Endpoint
	E8
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E								SPL1					Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E8
0:00:00	30.1	2038
0:00:02	30.1	2015
0:00:04	30.1	1977
0:00:06	30.1	1975
0:00:08	30.1	1975
0:00:10	30.1	1922
0:00:12	30.1	1915
0:00:14	30.1	1896
0:00:16	30.1	1925
0:00:18	30.1	1883
0:00:20	30.1	1853
0:00:22	30.1	1887
0:00:24	30.1	1902
0:00:26	30.1	1877
0:00:28	30.1	1823
0:00:30	30.1	1842
0:00:32	30.1	1791
0:00:34	30.1	1839
0:00:36	30.1	1777
0:00:38	30.1	1773
0:00:40	30.1	1792
0:00:42	30.1	1722
0:00:44	30.1	1752
0:00:46	30.1	1749
0:00:48	30.1	1782
0:00:50	30.1	1722
0:00:52	30.1	1759
0:00:54	30.1	1702
0:00:56	30.1	1728
0:00:58	30.1	1697
0:01:00	30.1	1652
0:01:02	30.1	1691
0:01:04	30.1	1703
0:01:06	30.1	1659
0:01:08	30.1	1726
0:01:10	30.1	1645
0:01:12	30.1	1610
0:01:14	30.1	1642
0:01:16	30.1	1655
0:01:18	30.1	1634
0:01:20	30.1	1658
0:01:22	30.1	1632
0:01:24	30.1	1620
0:01:26	30.1	1628
0:01:28	30.1	1614
0:01:30	30.1	1569
0:01:32	30.1	1617
0:01:34	30.1	1594
0:01:36	30.1	1566
0:01:38	30.1	1595
0:01:40	30.1	1621
0:01:42	30.1	1589
0:01:44	30.1	1563
0:01:46	30.1	1572
0:01:48	30.1	1554
0:01:50	30.1	1586
0:01:52	30.1	1548
0:01:54	30.1	1572
0:01:56	30.1	1554
0:01:58	30.1	1525
0:02:00	30.1	1487
0:02:02	30.1	1540
0:02:04	30.1	1555
0:02:06	30.1	1547
0:02:08	30.1	1542
0:02:10	30.1	1506
0:02:12	30.1	1525
0:02:14	30.1	1497
0:02:16	30.1	1501
0:02:18	30.1	1490
0:02:20	30.1	1515
0:02:22	30.1	1472
0:02:24	30.1	1494
0:02:26	30.1	1501
0:02:28	30.1	1473
0:02:30	30.1	1431
0:02:32	30.1	1474
0:02:34	30.1	1431
0:02:36	30.1	1489
0:02:38	30.1	1451
0:02:40	30.1	1484
0:02:42	30.1	1480
0:02:44	30.1	1424
0:02:46	30.1	1432
0:02:48	30.1	1464
0:02:50	30.1	1439
0:02:52	30.1	1480
0:02:54	30.1	1434
0:02:56	30.1	1453
0:02:58	30.1	1455
0:03:00	30.1	1427
0:03:02	30.1	1460
0:03:04	30.1	1467
0:03:06	30.1	1429
0:03:08	30.1	1394
0:03:10	30.1	1398
0:03:12	30.1	1432
0:03:14	30.1	1421
0:03:16	30.1	1465
0:03:18	30.1	1415
0:03:20	30.1	1445
0:03:22	30.1	1387
0:03:24	30.1	1411
0:03:26	30.1	1400
0:03:28	30.1	1391
0:03:30	30.1	1378
0:03:32	30.1	1398
0:03:34	30.1	1399
0:03:36	30.1	1373
0:03:38	30.1	1395
0:03:40	30.1	1359
0:03:42	30.1	1350
0:03:44	30.1	1348
0:03:46	30.1	1364
0:03:48	30.1	1393
0:03:50	30.1	1367
0:03:52	30.1	1362
0:03:54	30.1	1391
0:03:56	30.1	1362
0:03:58	30.1	1372
0:04:00	30.1	1370
0:04:02	30.1	1378
0:04:04	30.1	1336
0:04:06	30.1	1341
0:04:08	30.1	1330
0:04:10	30.0	1368
0:04:12	30.1	1367
0:04:14	30.1	1326
0:04:16	30.1	1364
0:04:18	30.1	1382
0:04:20	30.1	1327
0:04:22	30.1	1336
0:04:24	30.1	1370
0:04:26	30.1	1344
0:04:28	30.1	1361
0:04:30	30.1	1356
0:04:32	30.1	1368
0:04:34	30.1	1371
0:04:36	30.1	1329
0:04:38	30.1	1371
0:04:40	30.1	1340
0:04:42	30.1	1317
0:04:44	30.1	1363
0:04:46	30.1	1351
0:04:48	30.1	1350
0:04:50	30.1	1338
0:04:52	30.1	1339
0:04:54	30.1	1343
0:04:56	30.1	1348
0:04:58	30.1	1348
0:05:00	30.1	1334
0:05:02	30.1	1344
0:05:04	30.1	1310
0:05:06	30.1	1352
0:05:08	30.1	1358
0:05:10	30.1	1332
0:05:12	30.1	1303
0:05:14	30.1	1373
0:05:16	30.1	1344
0:05:18	30.1	1335
0:05:20	30.1	1343
0:05:22	30.1	1356
0:05:24	30.1	1321
0:05:26	30.1	1325
0:05:28	30.1	1305
0:05:30	30.1	1336
0:05:32	30.1	1295
0:05:34	30.1	1342
0:05:36	30.1	1309
0:05:38	30.1	1364
0:05:40	30.1	1325
0:05:42	30.1	1310
0:05:44	30.1	1317
0:05:46	30.1	1319
0:05:48	30.1	1346
0:05:50	30.1	1339
0:05:52	30.1	1324
0:05:54	30.1	1311
0:05:56	30.1	1350
0:05:58	30.1	1295
0:06:00	30.1	1350
0:06:02	30.1	1344
0:06:04	30.1	1289
0:06:06	30.1	1287
0:06:08	30.1	1333
0:06:10	30.1	1325
0:06:12	30.1	1335
0:06:14	30.1	1306
0:06:16	30.1	1294
0:06:18	30.1	1306
0:06:20	30.1	1309
0:06:22	30.1	1309
0:06:24	30.1	1303
0:06:26	30.1	1288
0:06:28	30.1	1280
0:06:30	30.1	1283
0:06:32	30.1	1333
0:06:34	30.1	1320
0:06:36	30.1	1317
0:06:38	30.1	1329
0:06:40	30.1	1349
0:06:42	30.1	1313
0:06:44	30.1	1339
0:06:46	30.1	1301
0:06:48	30.1	1331
0:06:50	30.1	1338
0:06:52	30.1	1294
0:06:54	30.1	1311
0:06:56	30.1	1323
0:06:58	30.1	1351
0:07:00	30.1	1342

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
