

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:04, 901 Reads
    Read	Fluorescence Endpoint
	A2..A8
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A		SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7					Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A2	A3	A4	A5	A6	A7	A8
0:00:00	30.0	14570	15126	15699	16313	16352	16605	16915
0:00:04	30.0	14563	15191	15674	16149	16281	16529	17086
0:00:08	30.0	14734	15065	15622	16257	16285	16835	16829
0:00:12	30.0	14758	15218	15607	16165	16339	16443	17088
0:00:16	30.0	14846	15147	15546	16282	15886	16640	17064
0:00:20	30.0	14634	15256	15665	16084	16243	16292	17051
0:00:24	30.1	14717	15071	15654	16176	16274	16311	17119
0:00:28	30.0	14708	15155	15497	16162	16426	16307	17379
0:00:32	30.0	14777	15076	15431	16150	16034	16260	17070
0:00:36	30.0	14711	15189	15761	16328	16246	16345	17146
0:00:40	30.0	14884	15137	15535	16119	15989	16062	17253
0:00:44	30.0	14818	14981	15352	16156	15957	16158	17204
0:00:48	30.0	14772	15141	15472	15872	16054	16137	16937
0:00:52	30.0	14616	15097	15542	16040	16035	16183	17101
0:00:56	30.0	14762	14945	15562	15870	16160	16203	17187
0:01:00	30.0	14620	15042	15422	15945	15899	16083	17064
0:01:04	30.0	14669	14931	15248	15957	15991	16038	17261
0:01:08	30.0	14640	14888	15330	15915	15906	15958	17045
0:01:12	30.0	14519	14876	15340	15647	15849	16004	17068
0:01:16	30.0	14666	15032	15329	15832	15842	15782	17224
0:01:20	30.0	14516	15029	15262	15677	15863	15878	17190
0:01:24	30.0	14660	14938	15148	15754	15763	15652	17034
0:01:28	30.0	14579	14838	15396	15721	15655	15795	17339
0:01:32	30.0	14710	14735	15264	15719	15628	15862	16959
0:01:36	30.0	14550	14794	15315	15607	15689	15666	17115
0:01:40	30.0	14513	14938	15166	15628	15740	15645	17117
0:01:44	30.0	14457	14825	15105	15400	15715	15379	17278
0:01:48	30.0	14488	14805	14996	15562	15789	15655	17114
0:01:52	30.0	14407	14789	15022	15749	15417	15638	16900
0:01:56	30.0	14577	14824	15263	15447	15612	15526	17037
0:02:00	30.0	14476	14808	14950	15507	15330	15369	16991
0:02:04	30.0	14533	14883	15036	15345	15485	15407	17134
0:02:08	30.0	14514	14580	15017	15330	15449	15186	17068
0:02:12	30.0	14472	14895	14923	15412	15462	15370	17173
0:02:16	30.0	14471	14683	15025	15347	15757	15406	17030
0:02:20	30.0	14403	14568	15024	15589	15550	15318	17198
0:02:24	30.0	14374	14604	14845	15505	15404	15200	17067
0:02:28	30.0	14578	14535	15059	15438	15387	15144	17121
0:02:32	30.0	14437	14756	14875	15297	15302	15175	16987
0:02:36	30.0	14540	14551	14789	15206	15149	15142	17076
