

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:49:55 (HH:MM:SS), Interval 0:00:03, 999 Reads
    Read	Fluorescence Endpoint
	G2..G6
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 59
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G		SPL1	SPL2	SPL3	SPL4	SPL5							Well ID
H													Well ID

295,335

Time	T° 295,335	G2	G3	G4	G5	G6
0:00:00	30.0	4726	6769	8398	10717	18776
0:00:03	30.0	4754	6796	8422	10702	18921
0:00:06	30.0	4743	6827	8487	10789	18934
0:00:09	30.0	4774	6835	8507	10828	18901
0:00:12	30.0	4790	6825	8490	10818	18731
0:00:15	30.0	4787	6858	8579	10805	18979
0:00:18	30.0	4808	6864	8566	10806	19048
0:00:21	30.0	4822	6842	8497	10841	18959
0:00:24	30.0	4765	6852	8531	10925	18933
0:00:27	30.0	4844	6875	8521	10871	19135
0:00:30	30.0	4782	6866	8530	10889	19083
0:00:33	30.0	4818	6817	8544	10864	19020
0:00:36	30.0	4784	6867	8548	10818	19183
0:00:39	30.0	4783	6828	8497	10871	19108
0:00:42	30.0	4791	6880	8561	10812	19030
0:00:45	30.0	4776	6828	8545	10862	19146
0:00:48	30.0	4797	6771	8535	10780	18979
0:00:51	30.0	4797	6870	8618	10769	18926
0:00:54	30.0	4802	6867	8500	10744	18808
0:00:57	30.0	4767	6826	8552	10798	18881
0:01:00	30.0	4782	6790	8467	10839	18867
0:01:03	30.0	4793	6803	8556	10839	18893
0:01:06	30.0	4776	6802	8551	10815	18782
0:01:09	30.0	4797	6836	8574	10774	18995
0:01:12	30.0	4806	6806	8558	10745	18781
0:01:15	30.0	4745	6816	8449	10755	18945
0:01:18	30.0	4749	6816	8515	10877	18885
0:01:21	30.0	4791	6838	8529	10770	18899
0:01:24	30.0	4749	6826	8516	10742	18990
0:01:27	30.0	4773	6799	8479	10778	18862
0:01:30	30.0	4791	6801	8482	10796	18932
0:01:33	30.0	4749	6747	8493	10750	18844
0:01:36	30.0	4744	6768	8515	10775	18748
0:01:39	30.0	4722	6801	8534	10777	18893
0:01:42	30.0	4734	6825	8543	10754	18984
0:01:45	30.0	4703	6721	8418	10811	18802
0:01:48	30.0	4732	6807	8467	10779	18762
0:01:51	30.0	4675	6721	8482	10719	18800
0:01:54	30.0	4709	6773	8475	10697	18761
0:01:57	30.0	4689	6769	8504	10745	18924
0:02:00	30.0	4668	6779	8474	10713	18911
0:02:03	30.0	4731	6769	8391	10732	18836
0:02:06	30.0	4730	6741	8487	10689	18998
0:02:09	30.0	4710	6728	8415	10808	18859
0:02:12	30.0	4696	6676	8433	10700	18862
0:02:15	30.0	4714	6732	8489	10622	18870
0:02:18	30.0	4734	6686	8454	10616	18806
0:02:21	30.0	4707	6708	8401	10652	18756
0:02:24	30.0	4686	6668	8416	10644	18745
0:02:27	30.0	4691	6797	8481	10593	18876
0:02:30	30.0	4733	6696	8432	10703	18742
0:02:33	30.0	4736	6667	8388	10621	18792
0:02:36	30.1	4700	6731	8407	10637	18648
0:02:39	30.0	4714	6710	8356	10679	18828
0:02:42	30.0	4736	6691	8346	10612	18760
0:02:45	30.0	4656	6694	8375	10592	18735
0:02:48	30.0	4687	6641	8418	10627	18808
0:02:51	30.0	4646	6699	8396	10596	18762
0:02:54	30.0	4686	6694	8402	10524	18689
0:02:57	30.0	4641	6639	8353	10678	18659
0:03:00	30.0	4621	6666	8365	10561	18758
0:03:03	30.0	4608	6647	8444	10676	18708
0:03:06	30.0	4625	6776	8331	10638	18834
0:03:09	30.0	4620	6668	8353	10612	18616
0:03:12	30.0	4583	6641	8371	10561	18525
0:03:15	30.0	4639	6652	8370	10577	18669
0:03:18	30.0	4586	6642	8333	10571	18681
0:03:21	30.0	4554	6623	8365	10552	18548
0:03:24	30.0	4593	6622	8343	10502	18753
0:03:27	30.1	4580	6600	8327	10539	18613
0:03:30	30.1	4587	6608	8318	10588	18557
0:03:33	30.1	4619	6593	8377	10576	18534
0:03:36	30.0	4609	6606	8326	10475	18566
0:03:39	30.0	4624	6581	8285	10527	18664
0:03:42	30.0	4634	6541	8356	10495	18539
0:03:45	30.0	4664	6626	8343	10555	18607
0:03:48	30.0	4640	6552	8257	10471	18578
0:03:51	30.0	4613	6551	8309	10485	18650
0:03:54	30.0	4616	6590	8256	10495	18624
0:03:57	30.0	4599	6556	8283	10460	18615
0:04:00	30.0	4609	6552	8272	10465	18490
0:04:03	30.0	4662	6577	8330	10491	18581
0:04:06	30.0	4576	6563	8276	10486	18479
0:04:09	30.0	4572	6528	8294	10455	18503
0:04:12	30.0	4603	6598	8272	10399	18456
0:04:15	30.0	4625	6632	8293	10456	18570
0:04:18	30.0	4610	6586	8214	10415	18470
0:04:21	30.0	4570	6586	8325	10451	18543
0:04:24	30.0	4646	6622	8300	10554	18469
