

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:25:00 (HH:MM:SS), Interval 0:00:03, 501 Reads
    Read	Fluorescence Endpoint
	G3..G8
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 59
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G			SPL1	SPL2	SPL3	SPL4	SPL5	SPL6					Well ID
H													Well ID

295,335

Time	T° 295,335	G3	G4	G5	G6	G7	G8
0:00:00	30.0	614	694	691	678	724	549
0:00:03	30.0	609	696	696	678	734	543
0:00:06	30.0	616	696	729	685	724	548
0:00:09	30.0	614	694	721	671	735	547
0:00:12	30.0	635	696	716	670	728	555
0:00:15	30.0	648	703	707	678	731	551
0:00:18	30.0	643	694	712	686	727	550
0:00:21	30.0	654	708	703	673	735	541
0:00:24	30.0	644	702	708	677	723	539
0:00:27	30.0	648	696	697	673	732	533
0:00:30	30.0	641	702	717	673	727	544
0:00:33	30.0	644	714	702	668	726	542
0:00:36	30.0	635	689	697	681	713	530
0:00:39	30.0	636	696	699	672	719	531
0:00:42	30.0	643	694	689	667	711	528
0:00:45	30.0	622	699	681	675	717	532
0:00:48	30.0	623	693	685	668	714	527
0:00:51	30.0	630	687	675	666	717	524
0:00:54	30.0	620	706	686	669	719	520
0:00:57	30.0	623	690	699	660	700	510
0:01:00	30.0	631	690	679	669	703	517
0:01:03	30.0	632	697	687	662	697	511
0:01:06	30.0	633	690	669	657	705	515
0:01:09	30.0	630	691	672	657	693	510
0:01:12	30.0	631	685	663	668	691	507
0:01:15	30.0	620	689	661	649	706	494
0:01:18	30.0	633	679	666	658	681	512
0:01:21	30.0	630	696	662	668	697	506
0:01:24	30.0	624	684	655	646	678	502
0:01:27	30.0	623	692	649	651	681	496
0:01:30	30.0	627	685	661	668	689	490
0:01:33	30.0	631	683	677	663	690	488
0:01:36	30.0	634	690	663	653	682	496
0:01:39	30.0	635	682	672	640	676	486
0:01:42	30.0	626	686	647	649	662	489
0:01:45	30.0	622	678	668	641	673	491
0:01:48	30.0	642	689	657	650	668	485
0:01:51	30.0	635	688	652	635	666	486
0:01:54	30.0	609	690	643	642	676	480
0:01:57	30.0	630	693	651	641	664	483
0:02:00	30.0	619	684	658	638	657	478
0:02:03	30.0	628	681	643	645	664	482
0:02:06	30.0	638	685	652	638	673	470
0:02:09	30.0	635	683	656	628	657	481
0:02:12	30.0	632	678	645	629	660	471
0:02:15	30.0	635	688	633	637	660	467
0:02:18	30.0	631	677	633	643	649	470
0:02:21	30.0	640	676	644	633	656	463
0:02:24	30.0	626	683	647	626	631	456
0:02:27	30.0	636	672	642	639	658	456
0:02:30	30.0	621	684	646	627	645	477
0:02:33	30.0	633	664	637	644	646	469
0:02:36	30.0	637	675	638	625	638	454
0:02:39	30.0	630	666	638	622	651	461
0:02:42	30.0	619	666	637	618	639	447
0:02:45	30.0	621	664	637	618	634	452
0:02:48	30.0	624	665	615	628	648	459
0:02:51	30.0	618	680	641	620	625	441
0:02:54	30.0	616	682	632	631	641	448
0:02:57	30.0	626	661	636	615	635	445
0:03:00	30.0	629	679	629	622	634	448
0:03:03	30.0	622	670	619	612	618	448
0:03:06	30.0	632	664	617	611	628	444
0:03:09	30.0	626	659	624	613	624	437
0:03:12	30.0	626	678	630	608	620	435
0:03:15	30.0	612	664	622	607	620	429
0:03:18	30.0	631	662	614	617	613	436
0:03:21	30.0	628	661	616	608	603	444
0:03:24	30.0	623	654	614	603	624	436
0:03:27	30.0	624	665	610	594	620	420
0:03:30	30.0	617	657	603	605	614	433
0:03:33	30.0	616	665	617	598	605	428
0:03:36	30.0	624	646	613	608	598	430
0:03:39	30.0	611	663	608	598	601	430
0:03:42	30.0	632	650	607	602	604	437
0:03:45	30.0	617	664	618	594	598	420
0:03:48	30.0	623	663	599	605	606	432
0:03:51	30.0	625	667	611	598	596	427
0:03:54	30.0	629	656	605	588	603	429
0:03:57	30.0	630	655	606	588	597	431
0:04:00	30.0	623	656	601	595	602	422
0:04:03	30.0	615	657	609	595	592	418
0:04:06	30.0	628	656	601	582	584	411
0:04:09	30.0	625	656	597	586	584	410
0:04:12	30.0	604	648	616	588	586	415
0:04:15	30.0	615	641	589	592	586	413
0:04:18	30.0	620	642	592	582	594	411
0:04:21	30.0	632	648	593	587	590	402
0:04:24	30.0	634	643	600	588	588	411
