



Software Version	3.03.14



Procedure Details



Plate Type	96 WELL PLATE

Set Temperature	Setpoint 30°C

	Preheat before moving to next step

Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads

    Read	Fluorescence Endpoint

	C1..C4

	Filter Set 1

	    Excitation: 295,  Emission: 335

	    Optics: Top,  Gain: 67

	Light Source: Xenon Flash,  Lamp Energy: High

	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5

	Read Height: 8 mm

End Kinetic	



Layout

	1	2	3	4	5	6	7	8	9	10	11	12

A													Well ID

B													Well ID

C	SPL1	SPL2	SPL3	SPL4									Well ID

D													Well ID

E													Well ID

F													Well ID

G													Well ID

H													Well ID



295,335



Time	T° 295,335	C1	C2	C3	C4
0:00:00	30.0	46763	391	42344	50994
0:00:05	30.0	46825	391	42499	51180
0:00:10	30.0	47358	393	42557	50806
0:00:15	30.0	46987	398	42546	51308
0:00:20	30.0	47245	389	42605	50767
0:00:25	30.0	47040	384	42559	51324
0:00:30	30.0	47352	383	42483	50634
0:00:35	30.0	46960	374	42825	50930
0:00:40	30.0	47268	376	42748	50990
0:00:45	30.0	47036	366	42207	50840
0:00:50	30.0	47045	371	42293	50887
0:00:55	30.0	46904	372	42286	51143
0:01:00	30.0	47415	357	42524	50900
0:01:05	30.0	46750	365	42511	50633
0:01:10	30.0	46957	353	42298	50424
0:01:15	30.0	46823	340	42165	50636
0:01:20	30.0	47058	351	42211	50826
0:01:25	30.0	46802	339	42307	50999
0:01:30	30.0	46541	341	42004	50538
0:01:35	30.0	46694	333	41895	50794
0:01:40	30.0	46689	334	42108	50633
0:01:45	30.0	46628	337	41987	51129
0:01:50	30.0	46606	341	42045	50736
0:01:55	30.0	46626	328	42045	50393
0:02:00	30.0	46756	331	41505	50706
0:02:05	30.0	46598	321	41886	50755
0:02:10	30.0	46784	322	41642	50589
0:02:15	30.0	46668	326	41711	50121
0:02:20	30.0	46576	319	41761	50298
0:02:25	30.0	46602	311	41703	50541
0:02:30	30.0	46399	311	41453	50716
0:02:35	30.0	46123	311	41607	50136
0:02:40	30.0	46417	313	41267	50000
0:02:45	30.0	46469	293	41271	49843
0:02:50	30.0	46106	300	41184	49972
0:02:55	30.0	46455	297	41222	50191
0:03:00	30.0	46076	293	41236	50238
0:03:05	30.0	46363	302	41134	50072
0:03:10	30.0	46159	292	41250	49751
0:03:15	30.0	46189	300	41230	50262
0:03:20	30.0	46047	302	41052	49729
0:03:25	30.0	46058	283	41501	49923
0:03:30	30.0	46021	287	41310	49853
0:03:35	30.0	45962	281	41308	49768
0:03:40	30.0	45995	303	41390	49522
0:03:45	30.0	46168	291	41239	49659
0:03:50	30.0	46253	288	40946	49443
0:03:55	30.0	45651	288	40722	49633
0:04:00	30.0	45531	273	40889	49492
0:04:05	30.0	45879	283	41005	49446
0:04:10	30.0	46035	281	41166	49928
0:04:15	30.0	45868	278	41092	49407
0:04:20	30.0	45600	281	40807	49532
0:04:25	30.0	45724	272	40960	49857
0:04:30	30.0	45379	269	41084	49533
0:04:35	30.0	46002	269	40876	49567
0:04:40	30.0	45507	277	40659	49245
0:04:45	30.0	45736	276	40592	49053
0:04:50	30.0	45413	269	40525	49365
0:04:55	30.0	45696	266	40693	48956
0:05:00	30.0	45536	272	40709	48722
0:05:05	30.0	45730	268	40650	48525
0:05:10	30.0	45460	268	40607	48490
0:05:15	30.0	45590	256	40534	48375
0:05:20	30.0	45662	278	40728	48447
0:05:25	30.0	45596	265	40819	48280
0:05:30	30.0	45419	261	40426	48281
0:05:35	30.0	45732	253	40692	48660
0:05:40	30.0	45433	266	40227	48989
0:05:45	30.0	45165	254	40179	48726
0:05:50	30.0	45391	264	40508	48636
0:05:55	30.0	45286	255	40549	48546
0:06:00	30.0	45342	255	40340	48919
0:06:05	30.0	45539	259	40218	48909
0:06:10	30.0	45231	259	40028	48874
0:06:15	30.0	45508	257	39987	48635
0:06:20	30.0	45317	255	39809	48608
0:06:25	30.0	45191	249	40012	49025
0:06:30	30.0	45140	255	40090	48543
0:06:35	30.0	45162	261	40189	48761
0:06:40	30.0	45071	253	40073	49164
0:06:45	30.0	45058	251	39901	48536
0:06:50	30.0	44962	252	40177	48612
0:06:55	30.0	44836	255	39958	48502
0:07:00	30.0	44730	242	40243	48193
