

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 67
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	127	223	371	558	792	1623	2620	3828	4899	5945	6746	6753
0:00:05	30.0	126	229	368	567	810	1631	2617	3878	4936	5949	6774	7062
0:00:10	30.0	121	215	380	542	808	1617	2649	3797	4952	5936	6787	7033
0:00:15	30.0	126	215	365	549	805	1615	2651	3885	4914	5967	6866	7019
0:00:20	30.0	123	221	368	540	802	1603	2606	3849	4903	5988	6827	6989
0:00:25	30.0	127	213	365	539	798	1583	2629	3828	4925	5955	6817	6947
0:00:30	30.0	119	208	376	542	785	1619	2657	3853	4978	5917	6894	6960
0:00:35	30.0	125	207	370	531	777	1613	2657	3794	4976	5999	6822	7042
0:00:40	30.0	122	209	367	533	777	1607	2645	3815	4948	5940	6889	7029
0:00:45	30.0	136	214	367	536	783	1589	2644	3845	4958	5869	6830	6975
0:00:50	30.0	114	208	356	535	769	1595	2667	3794	4944	5916	6843	7067
0:00:55	30.0	118	196	358	535	774	1585	2642	3863	4900	5963	6803	6995
0:01:00	30.0	112	196	352	533	769	1606	2632	3825	4936	5940	6847	7022
0:01:05	30.0	113	205	354	521	764	1596	2633	3808	4910	5898	6808	7026
0:01:10	30.0	122	199	350	521	764	1631	2624	3794	4977	5957	6757	7010
0:01:15	30.0	115	202	351	534	757	1621	2631	3809	4909	5925	6846	6986
0:01:20	30.0	116	198	362	529	756	1566	2611	3835	4885	5927	6804	6941
0:01:25	30.0	118	196	358	536	755	1570	2632	3795	4938	5930	6759	6990
