Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL005C	A180T	-1.7332583246577	0.646052470996053	-2.6828445094954	36	0.0109555550059925	0.328666650179776	NA	0.732919254658385	0.472049689440994
YAL036C	A180T	-0.553245231327011	0.824100776141823	-0.671332011015848	30	0.507145764572327	0.993271906600393	NA	0.916666666666667	0.392857142857143
YBL039C	A180T	-0.477961816568314	0.642436007283549	-0.743983542562175	35	0.46185228244535	0.993271906600393	NA	0.834920634920635	0.746031746031746
YBL056W	A180T	0.03176775060703	0.973173336077748	0.0326434658958762	25	0.974218135158603	0.993271906600393	NA	0.928571428571429	0.452380952380952
YBR081C	A180T	0.235912388503126	0.964898567679663	0.244494495489237	19	0.809468795800458	0.993271906600393	NA	0.714285714285714	0.142857142857143
YBR117C	A180T	0.307966080239475	1.12984061361482	0.272574800842189	36	0.786737509985873	0.993271906600393	NA	0.392857142857143	0.392857142857143
YBR121C	A180T	-0.324138167759763	0.514207743772199	-0.63036422863239	36	0.532437623355009	0.993271906600393	NA	0.795918367346939	0.714285714285714
YBR231C	A180T	-0.721874619730165	1.92642934627529	-0.374721565120409	32	0.710339550644266	0.993271906600393	NA	0.738095238095238	0.404761904761905
YCL043C	A180T	-0.493347732391487	0.438393248580954	-1.12535431142796	36	0.267885875340672	0.993271906600393	NA	0.822660098522167	0.753694581280788
YCL050C	A180T	-0.743619427993358	0.580561809101783	-1.28086177274363	31	0.209742254101786	0.993271906600393	NA	0.857142857142857	0.714285714285714
YCL054W	A180T	-0.488397690695764	0.617737886527781	-0.790622853717099	6	0.459264541225038	0.993271906600393	NA	0.880952380952381	0.261904761904762
YDL089W	A180T	-1.72803335405857	1.37019893301208	-1.26115508662663	28	0.217659931137509	0.993271906600393	NA	0.769230769230769	0.58974358974359
YDL156W	A180T	0.426786740003951	0.575651868902414	0.741397297671764	17	0.46857162324401	0.993271906600393	NA	0.744047619047619	0.386904761904762
YDL164C	A180T	0.0581850631406606	0.725540528720023	0.0801954692225244	29	0.93663267172336	0.993271906600393	NA	0.941176470588235	0.697478991596639
YDR002W	A180T	0.914289953393628	0.431643884059881	2.11815801672934	36	0.0411328788811001	0.528851299899858	NA	0.596273291925466	0.552795031055901
YDR037W	A180T	-1.11530472637391	0.671603368732322	-1.66065981544895	35	0.105715854067477	0.8333625314221	NA	0.75187969924812	0.609022556390977
YDR071C	A180T	-0.204521574970774	0.82044614446214	-0.24928092642187	31	0.804787822710906	0.993271906600393	NA	0.907142857142857	0.635714285714286
YDR143C	A180T	0.176189685950625	0.771510946247815	0.228369651535744	23	0.821377077046348	0.993271906600393	NA	0.964285714285714	0.488095238095238
YDR171W	A180T	-1.42883407100293	1.51650912532051	-0.942186266568592	28	0.35415605918061	0.993271906600393	NA	0.904761904761905	0.412698412698413
