Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL005C	A180T	-1.87491220454357	0.818163275461669	-2.29161129663954	36	0.0278840968419818	0.666139649704999	NA	0.732919254658385	0.472049689440994
YAL036C	A180T	-0.704500245897894	0.893112099889815	-0.78881502779417	30	0.436409829486685	0.986967360078041	NA	0.916666666666667	0.392857142857143
YBL039C	A180T	-0.559819918917925	0.773190263950466	-0.724039017327551	35	0.473853910328196	0.986967360078041	NA	0.834920634920635	0.746031746031746
YBL056W	A180T	-0.0092990819954447	1.33772195267379	-0.00695143110783074	25	0.994508779817709	0.995117613306893	NA	0.928571428571429	0.452380952380952
YBR081C	A180T	0.0282425392501673	0.992090772768329	0.028467696732386	19	0.977586025262566	0.995117613306893	NA	0.714285714285714	0.142857142857143
YBR117C	A180T	0.235207235896119	1.11425552815581	0.211089135259134	36	0.834008110011533	0.986967360078041	NA	0.392857142857143	0.392857142857143
YBR121C	A180T	-0.358586727272962	0.685267733253605	-0.523279748734726	36	0.603985921230559	0.986967360078041	NA	0.795918367346939	0.714285714285714
YBR231C	A180T	-0.763508605732521	1.97736853573513	-0.386123573797371	32	0.701960550698177	0.986967360078041	NA	0.738095238095238	0.404761904761905
YCL043C	A180T	-0.550129111210431	0.556330062024604	-0.988853827543299	36	0.329334717502311	0.986967360078041	NA	0.822660098522167	0.753694581280788
YCL050C	A180T	-0.802891267847705	0.650526651494627	-1.23421733145446	31	0.226396820899603	0.986967360078041	NA	0.857142857142857	0.714285714285714
YCL054W	A180T	-0.828172057189461	0.691708094615986	-1.19728547870939	6	0.276347348502074	0.986967360078041	NA	0.880952380952381	0.261904761904762
YDL089W	A180T	-1.81406214176451	1.48458095244974	-1.22193548204367	28	0.231919842803005	0.986967360078041	NA	0.769230769230769	0.58974358974359
YDL156W	A180T	0.262877770551071	0.686960027644707	0.382668219361127	17	0.706708074156162	0.986967360078041	NA	0.744047619047619	0.386904761904762
YDL164C	A180T	0.109528686950601	0.95813125608823	0.114314908583375	29	0.909775960281071	0.986967360078041	NA	0.941176470588235	0.697478991596639
YDR002W	A180T	0.85233286355241	0.548745039231463	1.55324021652411	36	0.129113907064797	0.986967360078041	NA	0.596273291925466	0.552795031055901
YDR037W	A180T	-1.28286423282056	0.830466815615712	-1.54475074584339	35	0.131401409532894	0.986967360078041	NA	0.75187969924812	0.609022556390977
YDR071C	A180T	-0.334018008752541	1.02679286065474	-0.32530223139607	31	0.747137790618921	0.986967360078041	NA	0.907142857142857	0.635714285714286
