node1	node2	pearson	greater_fdr
scc4-4	pab1-5001	0.1092	0.006949763033175356
scc4-4	smc1-2	0.3476	0
scc4-4	smc1-259	0.3859	0
scc4-4	tub2-430	0.0876	0.03869666666666667
scc4-4	nup145-r4	0.1051	0.013357894736842105
scc4-4	spc105-15	0.2619	0
scc4-4	spc105-4	0.2604	0
scc4-4	srm1-g282s	0.1629	0
scc4-4	cse1-5002	0.123	0.002221818181818182
scc4-4	irr1-1	0.117	0.005554545454545454
scc4-4	cct2-5001	0.088	0.04295313351498637
scc4-4	dsn1-7	0.2634	0
scc4-4	dsn1-8	0.2381	0
scc4-4	nup82-5004	0.0913	0.035309915014164306
scc4-4	smc3-1	0.3539	0
scc4-4	smc3-42	0.3438	0
scc4-4	nnf1-77	0.0976	0.02493877551020408
scc4-4	kap95-e126k	0.1717	0
scc4-4	rna1-1	0.2411	0
scc4-4	rna1-s116f	0.1122	0.00836986301369863
scc4-4	ipl1-2	0.1495	0
scc4-4	cet1-2	0.0932	0.03342529411764706
scc4-4	tfb4-5001	0.1641	0
scc4-4	nup60	0.108	0.00836986301369863
scc4-4	rxt2	0.0936	0.036042134831460675
scc4-4	ume6	0.1076	0.006949763033175356
scc4-4	chl4	0.1085	0.00836986301369863
scc4-4	sum1	0.1394	0
scc4-4	mcm21	0.2105	0
scc4-4	mad1	0.1885	0
scc4-4	sds3	0.0922	0.03466418338108883
scc4-4	mad2	0.2294	0
scc4-4	ctf3	0.1049	0.012119008264462812
scc4-4	caf40	0.1077	0.00836986301369863
scc4-4	bub3	0.1956	0
scc4-4	ctf19	0.158	0
scc4-4	cin2	0.1528	0
pab1-5001	pab1-5002	0.5252	0
pab1-5001	smc1-2	0.0879	0.02538781163434903
pab1-5001	smc1-259	0.1181	0.00200327868852459
pab1-5001	tub2-430	0.0834	0.033910499999999996
pab1-5001	nup145-r4	0.112	0.0035081339712918665
pab1-5001	spc105-15	0.0804	0.04674765100671141
pab1-5001	ceg1-ts	0.0981	0.01348695652173913
pab1-5001	ceg1-34	0.1767	0
pab1-5001	cse1-5002	0.1254	0
