node1	node2	pearson	greater_fdr
scc4-4	pab1-5001	0.1092	0.006949763033175356
scc4-4	pab1-5002	0.0464	0.2798416918429003
scc4-4	smc1-2	0.3476	0
scc4-4	smc1-259	0.3859	0
scc4-4	tub2-430	0.0876	0.03869666666666667
scc4-4	act1-3	-0.02	0.9434444522968197
scc4-4	act1-119	-0.0242	0.9673607142857142
scc4-4	act1-155	-0.0531	1
scc4-4	act1-125	-0.0347	0.9889540157480314
scc4-4	act1-136	0.0335	0.4259150561797752
scc4-4	act1-112	-0.0885	1
scc4-4	act1-124	-0.0569	1
scc4-4	act1-121	-0.043	0.9987556019070323
scc4-4	nup145-r4	0.1051	0.013357894736842105
scc4-4	spc105-15	0.2619	0
scc4-4	spc105-4	0.2604	0
scc4-4	srm1-g282s	0.1629	0
scc4-4	srm1-ts	0.0111	0.6796270324189525
scc4-4	cdc20-1	0.0358	0.41107091757387243
scc4-4	ceg1-ts	-0.0545	1
scc4-4	ceg1-34	0.0748	0.09780559701492537
scc4-4	cse1-5002	0.123	0.002221818181818182
scc4-4	nup57-5001	-0.0095	0.8749845611285265
scc4-4	nup57-e17	0.0613	0.18621724137931034
scc4-4	med6-ts	-0.0342	0.9889540157480314
scc4-4	med6-5001	-0.061	1
scc4-4	irr1-1	0.117	0.005554545454545454
scc4-4	arc15-10	-0.0894	1
scc4-4	rho3-1	-0.0046	0.8338795566502464
scc4-4	cct2-5001	0.088	0.04295313351498637
scc4-4	dsn1-7	0.2634	0
scc4-4	dsn1-8	0.2381	0
scc4-4	nup82-5005	-0.0604	1
scc4-4	nup82-5004	0.0913	0.035309915014164306
scc4-4	smc3-1	0.3539	0
scc4-4	smc3-42	0.3438	0
scc4-4	nnf1-77	0.0976	0.02493877551020408
scc4-4	cof1-8	-0.044	0.9987556019070323
scc4-4	ssl1-t242i	0.0238	0.5435004987531172
scc4-4	smc4-1	-0.0079	0.8659395071542131
scc4-4	kap95-e126k	0.1717	0
scc4-4	med11-ts	0.0647	0.16387924528301887
scc4-4	rna1-1	0.2411	0
scc4-4	rna1-s116f	0.1122	0.00836986301369863
scc4-4	srp1-5001	0.0855	0.05210558375634518
scc4-4	med7-141	-0.0083	0.8683319857312722
scc4-4	med7-163	-0.0398	0.9930298617511522
scc4-4	dbp5-1	-0.0156	0.9134596387762625
scc4-4	mex67-ts5	0.0413	0.35606184668989543
scc4-4	ipl1-2	0.1495	0
scc4-4	cet1-2	0.0932	0.03342529411764706
scc4-4	cet1-15	0.0041	0.7548923076923078
scc4-4	nsl1-6	0.0869	0.05007680412371134
scc4-4	tfb4-5001	0.1641	0
scc4-4	sgv1-23	0.0098	0.6965578742077035
scc4-4	sgv1-80	0.0793	0.08146666666666666
scc4-4	sgv1-35	0.0462	0.31368148148148145
scc4-4	nup60	0.108	0.00836986301369863
scc4-4	rxt2	0.0936	0.036042134831460675
scc4-4	sus1	0.0698	0.12075506756756757
scc4-4	ccz1	0.0125	0.6694677141409022
scc4-4	ypt10	0.0736	0.10389205776173284
scc4-4	rxt3	-0.0708	1
scc4-4	asm4	0.0484	0.27692805755395683
scc4-4	nup84	0.061	0.17447537826685006
scc4-4	nup42	0.0337	0.419410518292683
scc4-4	ume6	0.1076	0.006949763033175356
scc4-4	chl4	0.1085	0.00836986301369863
scc4-4	sum1	0.1394	0
scc4-4	mcm21	0.2105	0
scc4-4	nup157	0.0203	0.5744123076923076
scc4-4	gle2	0.0635	0.1423745283018868
scc4-4	boi2	-0.0542	1
scc4-4	deg1	0.0032	0.7627325832583258
scc4-4	mad1	0.1885	0
scc4-4	arc1	-0.022	0.9534680672268908
scc4-4	mon1	0.0271	0.5075443054641211
scc4-4	soh1	2e-4	0.7909922910350801
scc4-4	hos2	0.0014	0.779448
scc4-4	lst7	-0.0176	0.9262591814559942
scc4-4	srb2	-0.0386	0.9896484243369735
scc4-4	uba4	0.0411	0.3531409090909091
scc4-4	mpc2	-0.0439	0.9987556019070323
scc4-4	thp2	0.023	0.5524816901408451
scc4-4	iki1	-0.0203	0.93884091233072
scc4-4	urm1	0.0737	0.1012707182320442
scc4-4	cap2	-0.0131	0.8989802040045335
scc4-4	fis1	-0.0462	0.9987556019070323
scc4-4	sds3	0.0922	0.03466418338108883
scc4-4	mad2	0.2294	0
scc4-4	mog1	-0.0015	0.8049666101694916
scc4-4	cap1	0.005	0.7434816551724137
scc4-4	nup100	0.049	0.27523316168898043
scc4-4	zrt3	0.0763	0.08372962962962963
scc4-4	nup133	0.0434	0.32983974475843203
scc4-4	dnm1	0.0465	0.2972235059760956
scc4-4	ssa2	-1e-4	0.7935346004319654
scc4-4	pom34	0.0136	0.651796879875195
scc4-4	dcs1	0.0432	0.321495652173913
scc4-4	nup2	0.0374	0.38698307816277194
scc4-4	arc18	-0.0706	1
scc4-4	ctf3	0.1049	0.012119008264462812
scc4-4	cdc73	-0.0725	1
scc4-4	ypt7	-0.0767	1
scc4-4	nup188	-0.0167	0.92084043715847
scc4-4	sub1	0.0167	0.6255651175505741
scc4-4	pom152	0.0201	0.5897108013937283
scc4-4	cin4	-0.014	0.9052719278466742
scc4-4	nup53	-0.0351	0.9889540157480314
scc4-4	sap30	0.0812	0.07074736842105263
scc4-4	pho23	0.0819	0.06595373831775701
scc4-4	bni1	-0.0824	1
scc4-4	caf40	0.1077	0.00836986301369863
scc4-4	bub3	0.1956	0
scc4-4	ctf19	0.158	0
scc4-4	elp4	-0.005	0.8343104039167686
scc4-4	cin2	0.1528	0
scc4-4	crm1_damp	-0.0178	0.9318956209619527
scc4-4	yrb2_damp	-0.0112	0.8883649270913276
pab1-5001	pab1-5002	0.5252	0
pab1-5001	smc1-2	0.0879	0.02538781163434903
pab1-5001	smc1-259	0.1181	0.00200327868852459
pab1-5001	tub2-430	0.0834	0.033910499999999996
pab1-5001	act1-3	-0.0794	1
pab1-5001	act1-119	-0.0179	1
pab1-5001	act1-155	-0.0295	1
pab1-5001	act1-125	-0.0375	1
pab1-5001	act1-136	0.0032	0.817430925836161
pab1-5001	act1-112	-0.0466	1
pab1-5001	act1-124	0.0171	0.6275077192982457
pab1-5001	act1-121	-0.004	0.886312252964427
pab1-5001	nup145-r4	0.112	0.0035081339712918665
pab1-5001	spc105-15	0.0804	0.04674765100671141
pab1-5001	spc105-4	0.0453	0.2798892215568862
