Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
R0030W	A180T	-0.0384572883924265	0.680871931386333	-0.0564824111843222	32	0.955308715236498	0.971054442836436	NA	0.791666666666667	0.625
YAL001C	A180T	-2.22853155633527	0.551421227169316	-4.0414322962779	40	0.000234664483739433	0.000768285090598965	NA	0.767857142857143	0.720238095238095
YAL013W	A180T	-1.41726673998109	1.1170229626578	-1.26878926160022	42	0.211503263247721	0.285589152068956	NA	0.5	0.0833333333333333
YAL035W	A180T	-0.821716754266875	0.7978868758054	-1.02986623691162	32	0.310794473829082	0.393015234101326	NA	0.886904761904762	0.31547619047619
YAL059W	A180T	-0.102779631195594	0.560168175987451	-0.183479954059184	12	0.857485164841145	0.908473951535848	NA	0.9375	0.1875
YBL002W	A180T	-1.49200554111924	0.509120070565694	-2.9305573034303	45	0.00529921768482611	0.0114288758423234	NA	0.425	0.225
YBL008W	A180T	-2.41330430116135	0.904372716787498	-2.66848419502731	40	0.0109517639158503	0.021631996494944	NA	0.844827586206897	0.426724137931034
YBL039C	A180T	0.583861188992148	0.649601945992676	0.898798398917867	45	0.373544380080076	0.462575683104343	NA	0.891666666666667	0.802777777777778
YBL103C	A180T	-3.08938732402738	0.708054108799282	-4.36320796057008	38	9.47835922029405e-05	0.000344115276068456	NA	0.71875	0.265625
YBR031W	A180T	-0.42157683001957	0.246434345826154	-1.71070647074888	46	0.0938723411153921	0.138490676089992	NA	0.375	0.208333333333333
YBR049C	A180T	-1.41299732282311	0.677611667597434	-2.08526120548232	42	0.0431609772663193	0.0698521815973921	NA	0.59375	0.290178571428571
YBR060C	A180T	-0.923011524614865	0.655209168636987	-1.40872803494948	39	0.16683878550064	0.231828312410773	NA	0.864583333333333	0.552083333333333
YBR081C	A180T	-2.57279594503811	0.667895235579192	-3.85209507117836	43	0.000384933188590786	0.00114998790091497	NA	0.785714285714286	0.5
YBR087W	A180T	-1.38162162261659	0.347609859106971	-3.97463301577825	46	0.000246687552108771	0.000786110999386616	NA	0.6375	0.4875
YBR117C	A180T	2.43588580099941	0.791626897748024	3.07706295469353	46	0.0035160545824231	0.00815861208931185	NA	0.40625	0.40625
YBR154C	A180T	-3.01555242319783	0.372542344319424	-8.09452259368468	46	2.14656958874571e-10	5.70033479678026e-09	NA	0.595588235294118	0.477941176470588
YBR198C	A180T	-1.60376408255944	0.336071796660512	-4.77208768630918	46	1.8807046725744e-05	8.17251666809601e-05	NA	0.720394736842105	0.694078947368421
YBR215W	A180T	-1.83320562630066	0.639001439707347	-2.86885993111415	44	0.00630553405267498	0.0133364835273391	NA	0.823863636363636	0.778409090909091
YBR231C	A180T	-0.512289831488513	1.2446487749119	-0.411593890432886	45	0.682590991187594	0.779190714053053	NA	0.778846153846154	0.625
YBR245C	A180T	-2.25471259573464	0.456528631633244	-4.93881969169894	45	1.12744930755859e-05	5.38920769013007e-05	NA	0.635922330097087	0.577669902912621
YBR289W	A180T	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.9609375	0.1640625
YCL011C	A180T	-0.47954145539313	0.39156803488995	-1.22466956611487	27	0.231277684914898	0.305388766268844	NA	0.791666666666667	0.347222222222222
YCL035C	A180T	0.829807237591997	0.709687771130514	1.16925677931597	28	0.252158125705768	0.327531478498253	NA	0.85	0.35
YCL050C	A180T	0.0887493165862545	0.752765442108923	0.117897703084798	40	0.906738762210751	0.938140970425841	NA	0.875	0.434210526315789
YCL054W	A180T	0.297666014603981	0.363411506719391	0.819088028585248	20	0.42238967694469	0.515056799947862	NA	0.923076923076923	0.730769230769231
