name	cluster_number	ORF	description	name_meaning
AAD4	1	YDL243C	Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family	Aryl-Alcohol Dehydrogenase
ABF1	2	YKL112W	DNA binding protein with possible chromatin-reorganizing activity; involved in transcriptional activation, gene silencing, and DNA replication and repair	ARS-Binding Factor 1
ABP1	3	YCR088W	Actin-binding protein of the cortical actin cytoskeleton; important for activation of actin nucleation mediated by the Arp2/Arp3 complex; inhibits actin filament elongation at the barbed-end; phosphorylation within its proline-rich region, mediated by Cdc28p and Pho85p, protects Abp1p from PEST sequence-mediated proteolysis; mammalian homolog of HIP-55 (hematopoietic progenitor kinase 1 [HPK1]-interacting protein of 55 kDa)	Actin Binding Protein
ACB1	4	YGR037C	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress	Acyl-CoA-Binding
ACE2	5	YLR131C	Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit during M/G1 transition, causing localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of RAM network that regulates cellular polarity and morphogenesis; ACE2 has a paralog, SWI5, that arose from the whole genome duplication	Activator of CUP1 Expression
ACK1	6	YDL203C	Protein that functions in the cell wall integrity pathway; functions upstream of Pkc1p; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria	Activator of C Kinase 1
ADA2	7	YDR448W	Transcription coactivator; component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes	transcriptional ADAptor
ADD66	8	YKL206C	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; interaction with Pba1p-Add66p may affect function of the mature proteasome and its role in maintaining respiratory metabolism; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly	Alpha1-proteinase inhibitor-Degradation Deficient
AEP2	9	YMR282C	Mitochondrial protein; likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader	ATPase ExPression
AGE2	10	YIL044C	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector; involved in Trans-Golgi-Network (TGN) transport; contains C2C2H2 cysteine/histidine motif	ArfGAP Effector
AGP2	11	YBR132C	Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes	high-Affinity Glutamine Permease
AGX1	12	YFL030W	Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; similar to mammalian and plant alanine:glyoxylate aminotransferases; human homolog AGXT complements yeast null mutant	Alanine:Glyoxylate aminotrans(X)ferase
AHC1	13	YOR023C	Subunit of the Ada histone acetyltransferase complex; required for structural integrity of the complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; Ahc2p may tether Ahc1p to the complex	Ada Histone acetyltransferase complex Component
AHC2	14	YCR082W	Component of the ADA histone acetyltransferase complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ahc1p to the complex	Ada Histone acetyltransferase complex Component
AIM21	3	YIR003W	Subunit of a complex that associates with actin filaments; forms a complex with Tda2p that inhibits barbed end F-actin assembly; elevates actin monomer pools to increase endocytotic efficiency and to regulate the distribution of actin between cables and patches; Aim21p/Tda2p forms a larger complex with actin capping proteins Cap1p and Cap2p; involved in mitochondrial migration along actin filaments; recruited to cortical actin patches by SH3 domain-containing proteins Bbc1p and Abp1p	Altered Inheritance rate of Mitochondria
AIM22	15	YJL046W	Putative lipoate-protein ligase; required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss	Altered Inheritance rate of Mitochondria
AIM26	16	YKL037W	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT	Altered Inheritance rate of Mitochondria
AIM27	17	YKL207W	Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111	ER Membrane protein Complex
AIM29	18	YKR074W	Protein of unknown function; epitope-tagged protein localizes to the cytoplasm; YKR074W is not an essential gene; null mutant displays elevated frequency of mitochondrial genome loss	Altered Inheritance rate of Mitochondria
AIM3	19	YBR108W	Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss	Altered Inheritance rate of Mitochondria
AIM32	20	YML050W	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss	Altered Inheritance rate of Mitochondria
AIM34	21	YMR003W	Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss	Altered Inheritance rate of Mitochondria
AIM4	22	YBR194W	Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress	Altered Inheritance rate of Mitochondria
AIM44	23	YPL158C	Protein that regulates Cdc42p and Rho1p; functions in the late steps of cytokinesis and cell separation; sustains Rho1p at the cell division site after actomyosin ring contraction; inhibits the activation of Cdc42-Cla4 at the cell division site to prevent budding inside the old bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss; relocalizes from bud neck to cytoplasm upon DNA replication stress	Altered Inheritance rate of Mitochondria
AIP1	24	YMR092C	Actin cortical patch component; interacts with the actin depolymerizing factor cofilin; inhibits elongation of aged ADP-actin filaments decorated with cofilin to maintain a high level of assembly-competent actin species; required to restrict cofilin localization to cortical patches; putative regulator of cytokinesis; contains WD repeats; protein increases in abundance and relocalizes from cytoplasm to plasma membrane upon DNA replication stress	Actin Interacting Protein
AIR1	25	YIL079C	Zinc knuckle protein; involved in nuclear RNA processing and degradation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; AIR1 has a paralog, AIR2, that arose from the whole genome duplication; although Air1p and Air2p are homologous TRAMP subunits, they have nonredundant roles in regulation of substrate specificity of the exosome	Arginine methyltransferase-Interacting RING finger protein
AIR2	26	YDL175C	RNA-binding subunit of the TRAMP nuclear RNA surveillance complex; involved in nuclear RNA processing and degradation; involved in TRAMP complex assembly as a bridge between Mtr4p and Trf4p; stimulates the poly(A) polymerase activity of Pap2p in vitro; has 5 zinc knuckle motifs; AIR2 has a paralog, AIR1, that arose from the whole genome duplication; Air2p and Air1p have nonredundant roles in regulation of substrate specificity of the exosome	Arginine methyltransferase-Interacting RING finger protein
